,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.fit_intercept,Condensing Ratio,model.init.max_iter,Metric,model.init.modified,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
c02581354f7dc25b83068d2e1e313421,train,deckard.base.experiment.Experiment,c02581354f7dc25b83068d2e1e313421,DDoS,cpu,c02581354f7dc25b83068d2e1e313421,c02581354f7dc25b83068d2e1e313421,k-Logistic,c02581354f7dc25b83068d2e1e313421,c02581354f7dc25b83068d2e1e313421,1.0,9.992007221626413e-16,cpu,1725827184.9395022,1725826950.9998198,230.66674981,0.576666874525,cpu,1725826950.999509,1725826795.5041072,151.9132258,0.3038264516,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,400,500,deckard.base.files.FileConfig,data,cc55b9c4cb3be6dd0d90a8d7a1f80430,.pkl,ddos,c02581354f7dc25b83068d2e1e313421,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,400,500,Label,5.734692880777398,,True,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0003346271891202,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
be4e63fd5af4eaa58ff09cc9c63c51e1,train,deckard.base.experiment.Experiment,be4e63fd5af4eaa58ff09cc9c63c51e1,DDoS,cpu,be4e63fd5af4eaa58ff09cc9c63c51e1,be4e63fd5af4eaa58ff09cc9c63c51e1,k-Logistic,be4e63fd5af4eaa58ff09cc9c63c51e1,be4e63fd5af4eaa58ff09cc9c63c51e1,0.9875,0.4317427009106865,cpu,1725822326.0309424,1725822099.6189978,222.90145168,0.5572536292,cpu,1725822099.6185925,1725821944.198068,152.0939457,0.3041878914,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,500,deckard.base.files.FileConfig,data,61bd5c0c96a65f835ca870a8bc4677a2,.pkl,ddos,be4e63fd5af4eaa58ff09cc9c63c51e1,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,500,Label,4.048237406958944,,True,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001389519300247,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
bbfdd1b065376d5cbad3e940768c6d1a,train,deckard.base.experiment.Experiment,bbfdd1b065376d5cbad3e940768c6d1a,DDoS,cpu,bbfdd1b065376d5cbad3e940768c6d1a,bbfdd1b065376d5cbad3e940768c6d1a,k-Logistic,bbfdd1b065376d5cbad3e940768c6d1a,bbfdd1b065376d5cbad3e940768c6d1a,1.0,9.992007221626413e-16,cpu,1725823967.402758,1725823733.1652558,231.4874236,0.578718559,cpu,1725823733.164942,1725823580.6727142,152.98284,0.30596568,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,400,500,deckard.base.files.FileConfig,data,cc55b9c4cb3be6dd0d90a8d7a1f80430,.pkl,ddos,bbfdd1b065376d5cbad3e940768c6d1a,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,400,500,Label,2.9200667655835506,,True,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0004541739178471,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
bb49f1f51f40c0e850a0625e80698b72,train,deckard.base.experiment.Experiment,bb49f1f51f40c0e850a0625e80698b72,DDoS,cpu,bb49f1f51f40c0e850a0625e80698b72,bb49f1f51f40c0e850a0625e80698b72,k-Logistic,bb49f1f51f40c0e850a0625e80698b72,bb49f1f51f40c0e850a0625e80698b72,1.0,9.992007221626413e-16,cpu,1725827989.2750049,1725827753.0869234,233.19187124,0.5829796781,cpu,1725827753.0865178,1725827596.1485026,153.74029075,0.3074805815,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,400,500,deckard.base.files.FileConfig,data,cc55b9c4cb3be6dd0d90a8d7a1f80430,.pkl,ddos,bb49f1f51f40c0e850a0625e80698b72,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,400,500,Label,1.1670401233971262,,True,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0005774926442967,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
bb3506f88ad195ee1b287ddc6ec111b5,train,deckard.base.experiment.Experiment,bb3506f88ad195ee1b287ddc6ec111b5,DDoS,cpu,bb3506f88ad195ee1b287ddc6ec111b5,bb3506f88ad195ee1b287ddc6ec111b5,k-Logistic,bb3506f88ad195ee1b287ddc6ec111b5,bb3506f88ad195ee1b287ddc6ec111b5,1.0,9.992007221626413e-16,cpu,1725826387.5388713,1725826150.112441,235.13299852,0.5878324963,cpu,1725826150.1121264,1725825995.3787725,155.72159624,0.31144319248,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,400,500,deckard.base.files.FileConfig,data,cc55b9c4cb3be6dd0d90a8d7a1f80430,.pkl,ddos,bb3506f88ad195ee1b287ddc6ec111b5,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,400,500,Label,4.409235603009889,,True,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0004183727245536,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
bb0c7a895531e82e0bf229df4402e565,train,deckard.base.experiment.Experiment,bb0c7a895531e82e0bf229df4402e565,DDoS,cpu,bb0c7a895531e82e0bf229df4402e565,bb0c7a895531e82e0bf229df4402e565,k-Logistic,bb0c7a895531e82e0bf229df4402e565,bb0c7a895531e82e0bf229df4402e565,1.0,9.992007221626413e-16,cpu,1725827582.3907838,1725827347.6848364,232.85336587,0.582133414675,cpu,1725827347.684575,1725827198.785229,149.77150764,0.29954301528,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,400,500,deckard.base.files.FileConfig,data,cc55b9c4cb3be6dd0d90a8d7a1f80430,.pkl,ddos,bb0c7a895531e82e0bf229df4402e565,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,400,500,Label,9.68893639650054,,True,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0002474006341661,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
bad69d6c0f041233802b51a7dd6f3407,train,deckard.base.experiment.Experiment,bad69d6c0f041233802b51a7dd6f3407,DDoS,cpu,bad69d6c0f041233802b51a7dd6f3407,bad69d6c0f041233802b51a7dd6f3407,k-Logistic,bad69d6c0f041233802b51a7dd6f3407,bad69d6c0f041233802b51a7dd6f3407,0.99,0.3453957599234097,cpu,1725821473.7849374,1725821249.5176342,225.41568705,0.563539217625,cpu,1725821249.5173297,1725821098.3627524,147.85520936,0.29571041872,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3,True,True,400,500,deckard.base.files.FileConfig,data,98bedae5352741b251b23b58c98d4536,.pkl,ddos,bad69d6c0f041233802b51a7dd6f3407,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3,True,True,400,500,Label,5.111632923700999,,True,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,4.982880650009915e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b84d951f5af32641b622bac0046d24b1,train,deckard.base.experiment.Experiment,b84d951f5af32641b622bac0046d24b1,DDoS,cpu,b84d951f5af32641b622bac0046d24b1,b84d951f5af32641b622bac0046d24b1,k-Logistic,b84d951f5af32641b622bac0046d24b1,b84d951f5af32641b622bac0046d24b1,1.0,9.992007221626413e-16,cpu,1725828389.1228912,1725828149.2672207,237.67092522,0.59417731305,cpu,1725828149.266877,1725827995.581814,150.15284766,0.30030569532,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,400,500,deckard.base.files.FileConfig,data,cc55b9c4cb3be6dd0d90a8d7a1f80430,.pkl,ddos,b84d951f5af32641b622bac0046d24b1,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,400,500,Label,2.4828923130325187,,True,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0004157283536786,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b8159f54e938719fff93f42233ceb4b7,train,deckard.base.experiment.Experiment,b8159f54e938719fff93f42233ceb4b7,DDoS,cpu,b8159f54e938719fff93f42233ceb4b7,b8159f54e938719fff93f42233ceb4b7,k-Logistic,b8159f54e938719fff93f42233ceb4b7,b8159f54e938719fff93f42233ceb4b7,1.0,9.992007221626413e-16,cpu,1725828383.5722675,1725828147.948853,233.12988274,0.58282470685,cpu,1725828147.948539,1725827995.5719705,148.88972512,0.29777945024,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,400,500,deckard.base.files.FileConfig,data,cc55b9c4cb3be6dd0d90a8d7a1f80430,.pkl,ddos,b8159f54e938719fff93f42233ceb4b7,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,400,500,Label,4.183010978767661,,True,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0004040857928949,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
b2a25d4df6eef3bb92d915fa675717fd,train,deckard.base.experiment.Experiment,b2a25d4df6eef3bb92d915fa675717fd,DDoS,cpu,b2a25d4df6eef3bb92d915fa675717fd,b2a25d4df6eef3bb92d915fa675717fd,k-Logistic,b2a25d4df6eef3bb92d915fa675717fd,b2a25d4df6eef3bb92d915fa675717fd,1.0,9.992007221626413e-16,cpu,1725826783.853796,1725826548.1990938,232.78464497,0.581961612425,cpu,1725826548.1986923,1725826393.266066,151.72510279,0.30345020558,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,400,500,deckard.base.files.FileConfig,data,cc55b9c4cb3be6dd0d90a8d7a1f80430,.pkl,ddos,b2a25d4df6eef3bb92d915fa675717fd,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,400,500,Label,2.196777090128132,,True,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0004566885660675,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
