,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
2bca3afb5c27bd435b32f7e2962efc53,train,deckard.base.experiment.Experiment,2bca3afb5c27bd435b32f7e2962efc53,DDoS,cpu,2bca3afb5c27bd435b32f7e2962efc53,2bca3afb5c27bd435b32f7e2962efc53,k-KNN,2bca3afb5c27bd435b32f7e2962efc53,2bca3afb5c27bd435b32f7e2962efc53,0.3925,20.9825705270602,cpu,1725752698.7250867,1725752690.3686423,8.54875547,0.021371888675,cpu,1725752690.3685029,1725752690.091405,0.2748019,0.013740095,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3,True,True,400,20,deckard.base.files.FileConfig,data,bb3beefca13377b8dba11939878aa45b,.pkl,ddos,2bca3afb5c27bd435b32f7e2962efc53,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3,True,True,400,20,Label,brute,1,1,Jaro,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
307d2dd8ad146448f5b20b36c5515828,train,deckard.base.experiment.Experiment,307d2dd8ad146448f5b20b36c5515828,DDoS,cpu,307d2dd8ad146448f5b20b36c5515828,307d2dd8ad146448f5b20b36c5515828,k-KNN,307d2dd8ad146448f5b20b36c5515828,307d2dd8ad146448f5b20b36c5515828,0.7375,9.066606714092272,cpu,1725752899.4549334,1725752891.204935,8.41413798,0.02103534495,cpu,1725752891.204827,1725752890.942572,0.25903448,0.012951724,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,20,deckard.base.files.FileConfig,data,df45166677a7bb0a6724436b1c3563c9,.pkl,ddos,307d2dd8ad146448f5b20b36c5515828,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,20,Label,brute,3,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
31e828298b2456ce9c61f25fe27c1ee5,train,deckard.base.experiment.Experiment,31e828298b2456ce9c61f25fe27c1ee5,DDoS,cpu,31e828298b2456ce9c61f25fe27c1ee5,31e828298b2456ce9c61f25fe27c1ee5,k-KNN,31e828298b2456ce9c61f25fe27c1ee5,31e828298b2456ce9c61f25fe27c1ee5,0.3625,22.018581895395783,cpu,1725752976.42091,1725752893.6099298,89.18291504,0.2229572876,cpu,1725752893.6098008,1725752890.940777,2.70912057,0.1354560285,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,10,True,True,400,20,deckard.base.files.FileConfig,data,be3e5921be6ebe2012eac1144d20cd62,.pkl,ddos,31e828298b2456ce9c61f25fe27c1ee5,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,10,True,True,400,20,Label,brute,11,1,SeqRatio,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
3207a94f0e28474b800f3e6dd9d9d0b8,train,deckard.base.experiment.Experiment,3207a94f0e28474b800f3e6dd9d9d0b8,DDoS,cpu,3207a94f0e28474b800f3e6dd9d9d0b8,3207a94f0e28474b800f3e6dd9d9d0b8,k-KNN,3207a94f0e28474b800f3e6dd9d9d0b8,3207a94f0e28474b800f3e6dd9d9d0b8,0.7875,7.339659898372437,cpu,1725753133.0066411,1725753125.7163303,7.57338275,0.018933456875,cpu,1725753125.7161224,1725753125.4374657,0.29071516,0.014535758,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,400,20,deckard.base.files.FileConfig,data,cc4c200c01b6677a5dfa2f1e14851d10,.pkl,ddos,3207a94f0e28474b800f3e6dd9d9d0b8,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,400,20,Label,brute,1,1,ZSTD,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
2148fd015647b86a29c0f5522351a0fb,train,deckard.base.experiment.Experiment,2148fd015647b86a29c0f5522351a0fb,DDoS,cpu,2148fd015647b86a29c0f5522351a0fb,2148fd015647b86a29c0f5522351a0fb,k-KNN,2148fd015647b86a29c0f5522351a0fb,2148fd015647b86a29c0f5522351a0fb,0.515,16.751310549518834,cpu,1725753243.716838,1725753235.021966,8.87792885,0.022194822125,cpu,1725753235.0218408,1725753234.732528,0.28795556,0.014397778,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,400,20,deckard.base.files.FileConfig,data,f0588d372f4af93080b2cf05136f6106,.pkl,ddos,2148fd015647b86a29c0f5522351a0fb,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,400,20,Label,brute,5,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
32cbb338843bf8ad1ce52a79ca775511,train,deckard.base.experiment.Experiment,32cbb338843bf8ad1ce52a79ca775511,DDoS,cpu,32cbb338843bf8ad1ce52a79ca775511,32cbb338843bf8ad1ce52a79ca775511,k-KNN,32cbb338843bf8ad1ce52a79ca775511,32cbb338843bf8ad1ce52a79ca775511,0.9225,2.6768151404128435,cpu,1725753113.108657,1725753103.8677237,9.89555132,0.0247388783,cpu,1725753103.867417,1725753103.5132213,0.36588465,0.0182942325,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3,True,True,400,20,deckard.base.files.FileConfig,data,bb3beefca13377b8dba11939878aa45b,.pkl,ddos,32cbb338843bf8ad1ce52a79ca775511,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3,True,True,400,20,Label,brute,1,1,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
3845fdccddf4412c13e9ff792a2df3a4,train,deckard.base.experiment.Experiment,3845fdccddf4412c13e9ff792a2df3a4,DDoS,cpu,3845fdccddf4412c13e9ff792a2df3a4,3845fdccddf4412c13e9ff792a2df3a4,k-KNN,3845fdccddf4412c13e9ff792a2df3a4,3845fdccddf4412c13e9ff792a2df3a4,0.465,18.47846725956409,cpu,1725753112.1672444,1725753103.7947712,8.55073605,0.021376840125,cpu,1725753103.7946663,1725753103.5210643,0.27440325,0.0137201625,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,20,deckard.base.files.FileConfig,data,df45166677a7bb0a6724436b1c3563c9,.pkl,ddos,3845fdccddf4412c13e9ff792a2df3a4,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,20,Label,brute,5,1,Jaro,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
3906112fb9d42c97f46ce8d291352fcb,train,deckard.base.experiment.Experiment,3906112fb9d42c97f46ce8d291352fcb,DDoS,cpu,3906112fb9d42c97f46ce8d291352fcb,3906112fb9d42c97f46ce8d291352fcb,k-KNN,3906112fb9d42c97f46ce8d291352fcb,3906112fb9d42c97f46ce8d291352fcb,0.815,6.389821558583065,cpu,1725753076.3117557,1725753068.1776328,8.29911287,0.020747782175,cpu,1725753068.1773164,1725753067.9084716,0.26653521,0.0133267605,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3,True,True,400,20,deckard.base.files.FileConfig,data,bb3beefca13377b8dba11939878aa45b,.pkl,ddos,3906112fb9d42c97f46ce8d291352fcb,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3,True,True,400,20,Label,brute,3,1,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
39bbbf41bf1aea84a50314973176e4c0,train,deckard.base.experiment.Experiment,39bbbf41bf1aea84a50314973176e4c0,DDoS,cpu,39bbbf41bf1aea84a50314973176e4c0,39bbbf41bf1aea84a50314973176e4c0,k-KNN,39bbbf41bf1aea84a50314973176e4c0,39bbbf41bf1aea84a50314973176e4c0,0.5,17.26978799617044,cpu,1725753338.087302,1725753330.1830244,8.08057675,0.020201441875,cpu,1725753330.1829162,1725753329.924977,0.25674393,0.0128371965,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,10,True,True,400,20,deckard.base.files.FileConfig,data,be3e5921be6ebe2012eac1144d20cd62,.pkl,ddos,39bbbf41bf1aea84a50314973176e4c0,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,10,True,True,400,20,Label,brute,11,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
3bf80ac4577bd2e579af8e66c9650190,train,deckard.base.experiment.Experiment,3bf80ac4577bd2e579af8e66c9650190,DDoS,cpu,3bf80ac4577bd2e579af8e66c9650190,3bf80ac4577bd2e579af8e66c9650190,k-KNN,3bf80ac4577bd2e579af8e66c9650190,3bf80ac4577bd2e579af8e66c9650190,0.8,6.907779266905043,cpu,1725753607.1150577,1725753597.9737625,10.96420904,0.0274105226,cpu,1725753597.973603,1725753597.6309762,0.37837016,0.018918508,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,1,True,True,400,20,deckard.base.files.FileConfig,data,a1ad486a4c075c5f5709387902eb959a,.pkl,ddos,3bf80ac4577bd2e579af8e66c9650190,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,1,True,True,400,20,Label,brute,7,1,BZ2,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
