,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.gamma,model.init.kernel,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
0c932ccbca47fceee37b59458b38bf54,train,deckard.base.experiment.Experiment,0c932ccbca47fceee37b59458b38bf54,DDoS,cpu,0c932ccbca47fceee37b59458b38bf54,0c932ccbca47fceee37b59458b38bf54,k-SVC,0c932ccbca47fceee37b59458b38bf54,0c932ccbca47fceee37b59458b38bf54,0.63,12.779629124211096,cpu,1725789338.8036585,1725789207.5694797,133.93240639,0.334831015975,cpu,1725789207.568908,1725789156.6191597,51.96937292,0.1732312430666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,0c932ccbca47fceee37b59458b38bf54,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,25.682914759204845,,scale,rbf,1,Jaro-Winkler,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
0ae72ecc24cb22f11f838aaff47c6b28,train,deckard.base.experiment.Experiment,0ae72ecc24cb22f11f838aaff47c6b28,DDoS,cpu,0ae72ecc24cb22f11f838aaff47c6b28,0ae72ecc24cb22f11f838aaff47c6b28,k-SVC,0ae72ecc24cb22f11f838aaff47c6b28,0ae72ecc24cb22f11f838aaff47c6b28,0.6425,12.347702515891465,cpu,1725791911.538123,1725790696.7629972,1306.07399251,3.265184981275,cpu,1725790696.761951,1725790119.0873184,608.67053777,2.028901792566667,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3,True,True,400,300,deckard.base.files.FileConfig,data,09df8a4903e067ef87e924b2c71a0173,.pkl,ddos,0ae72ecc24cb22f11f838aaff47c6b28,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3,True,True,400,300,Label,34.52884120468812,,scale,rbf,1,SeqRatio,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
0aade2e4549a84d20d9e5845e8a79bbe,train,deckard.base.experiment.Experiment,0aade2e4549a84d20d9e5845e8a79bbe,DDoS,cpu,0aade2e4549a84d20d9e5845e8a79bbe,0aade2e4549a84d20d9e5845e8a79bbe,k-SVC,0aade2e4549a84d20d9e5845e8a79bbe,0aade2e4549a84d20d9e5845e8a79bbe,0.9975,0.0863489399808532,cpu,1725785362.521432,1725785222.321696,149.24295124,0.3731073781,cpu,1725785222.3211572,1725785168.3382757,57.43608988,0.1914536329333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,0aade2e4549a84d20d9e5845e8a79bbe,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,11.972528384190944,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
049f86fb4d153c0e13494280a199122a,train,deckard.base.experiment.Experiment,049f86fb4d153c0e13494280a199122a,DDoS,cpu,049f86fb4d153c0e13494280a199122a,049f86fb4d153c0e13494280a199122a,k-SVC,049f86fb4d153c0e13494280a199122a,049f86fb4d153c0e13494280a199122a,0.9975,0.0863489399808532,cpu,1725788920.8196225,1725788794.6685183,133.72544537,0.334313613425,cpu,1725788794.6674223,1725788745.0312405,52.62575479,0.1754191826333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,049f86fb4d153c0e13494280a199122a,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,14.608976678902494,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
2e6a58c9c445aaf89d73c58ad0713659,train,deckard.base.experiment.Experiment,2e6a58c9c445aaf89d73c58ad0713659,DDoS,cpu,2e6a58c9c445aaf89d73c58ad0713659,2e6a58c9c445aaf89d73c58ad0713659,k-SVC,2e6a58c9c445aaf89d73c58ad0713659,2e6a58c9c445aaf89d73c58ad0713659,0.9975,0.0863489399808532,cpu,1725786730.6698525,1725786599.00757,139.84023533,0.349600588325,cpu,1725786599.006933,1725786546.0345154,56.36330193,0.1878776731,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,2e6a58c9c445aaf89d73c58ad0713659,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,12.619782672543137,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
984db5b2cff3d38f0f951ea51c8946f1,train,deckard.base.experiment.Experiment,984db5b2cff3d38f0f951ea51c8946f1,DDoS,cpu,984db5b2cff3d38f0f951ea51c8946f1,984db5b2cff3d38f0f951ea51c8946f1,k-SVC,984db5b2cff3d38f0f951ea51c8946f1,984db5b2cff3d38f0f951ea51c8946f1,0.9975,0.0863489399808532,cpu,1725790309.62307,1725790171.912253,146.63829232,0.3665957308,cpu,1725790171.9106336,1725790119.1001165,56.22131401,0.1874043800333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,984db5b2cff3d38f0f951ea51c8946f1,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,19.387090243686732,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
597526c7a3a7b933f4c5e6b5c69fd88e,train,deckard.base.experiment.Experiment,597526c7a3a7b933f4c5e6b5c69fd88e,DDoS,cpu,597526c7a3a7b933f4c5e6b5c69fd88e,597526c7a3a7b933f4c5e6b5c69fd88e,k-SVC,597526c7a3a7b933f4c5e6b5c69fd88e,597526c7a3a7b933f4c5e6b5c69fd88e,0.9975,0.0863489399808532,cpu,1725789719.8874223,1725789587.2062805,141.04332862,0.35260832155,cpu,1725789587.2055287,1725789534.957647,55.45774425,0.1848591475,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,597526c7a3a7b933f4c5e6b5c69fd88e,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,16.79135367837213,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
5d7467eb7a074598ff9fc1217d5b778b,train,deckard.base.experiment.Experiment,5d7467eb7a074598ff9fc1217d5b778b,DDoS,cpu,5d7467eb7a074598ff9fc1217d5b778b,5d7467eb7a074598ff9fc1217d5b778b,k-SVC,5d7467eb7a074598ff9fc1217d5b778b,5d7467eb7a074598ff9fc1217d5b778b,0.9975,0.0863489399808532,cpu,1725789717.8253868,1725789586.4106743,139.66893109,0.349172327725,cpu,1725789586.410072,1725789534.9867988,54.61987845,0.1820662615,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,5d7467eb7a074598ff9fc1217d5b778b,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,13.881386136217948,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
968c03aa0f395173b5b9003c00083bf8,train,deckard.base.experiment.Experiment,968c03aa0f395173b5b9003c00083bf8,DDoS,cpu,968c03aa0f395173b5b9003c00083bf8,968c03aa0f395173b5b9003c00083bf8,k-SVC,968c03aa0f395173b5b9003c00083bf8,968c03aa0f395173b5b9003c00083bf8,0.9975,0.0863489399808532,cpu,1725785942.4979787,1725785808.613387,142.25503122,0.35563757805,cpu,1725785808.6128554,1725785755.800108,55.99826398,0.1866608799333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,968c03aa0f395173b5b9003c00083bf8,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,16.516065105632723,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
91a0107aa7baf708881ebe2b488903c3,train,deckard.base.experiment.Experiment,91a0107aa7baf708881ebe2b488903c3,DDoS,cpu,91a0107aa7baf708881ebe2b488903c3,91a0107aa7baf708881ebe2b488903c3,k-SVC,91a0107aa7baf708881ebe2b488903c3,91a0107aa7baf708881ebe2b488903c3,0.9975,0.0863489399808532,cpu,1725790116.466666,1725789975.4985836,149.86016472,0.3746504118,cpu,1725789975.497859,1725789921.7385037,57.10511227,0.1903503742333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,91a0107aa7baf708881ebe2b488903c3,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,10.639887122045137,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
913c6dbe4a109df6960e086d639cc24f,train,deckard.base.experiment.Experiment,913c6dbe4a109df6960e086d639cc24f,DDoS,cpu,913c6dbe4a109df6960e086d639cc24f,913c6dbe4a109df6960e086d639cc24f,k-SVC,913c6dbe4a109df6960e086d639cc24f,913c6dbe4a109df6960e086d639cc24f,0.63,12.779629124211096,cpu,1725789338.2504387,1725789208.0065973,132.96484449,0.332412111225,cpu,1725789208.0060575,1725789156.6181366,52.46991887,0.1748997295666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,913c6dbe4a109df6960e086d639cc24f,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,21.105143280544816,,scale,rbf,1,Jaro-Winkler,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
8ee8ad67d31c522181981e4a88d410cd,train,deckard.base.experiment.Experiment,8ee8ad67d31c522181981e4a88d410cd,DDoS,cpu,8ee8ad67d31c522181981e4a88d410cd,8ee8ad67d31c522181981e4a88d410cd,k-SVC,8ee8ad67d31c522181981e4a88d410cd,8ee8ad67d31c522181981e4a88d410cd,0.6525,12.002244787167218,cpu,1725785555.160588,1725785421.3208992,136.5888935,0.34147223375,cpu,1725785421.320608,1725785369.5347226,52.83598174,0.1761199391333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,8ee8ad67d31c522181981e4a88d410cd,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,30.05539971976145,,scale,rbf,1,Ratio,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
8e8d15d053f4eae0a318031aef017255,train,deckard.base.experiment.Experiment,8e8d15d053f4eae0a318031aef017255,DDoS,cpu,8e8d15d053f4eae0a318031aef017255,8e8d15d053f4eae0a318031aef017255,k-SVC,8e8d15d053f4eae0a318031aef017255,8e8d15d053f4eae0a318031aef017255,0.9975,0.0863489399808532,cpu,1725785559.4927125,1725785422.4555302,145.66584262,0.36416460655,cpu,1725785422.4547894,1725785369.5346096,56.31437237,0.1877145745666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,400,300,deckard.base.files.FileConfig,data,815b7b6897de31d69480e38ca6bdc9ac,.pkl,ddos,8e8d15d053f4eae0a318031aef017255,predictions.json,reports/modified//gzip_svc/300/modified_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,400,300,Label,16.745902735735704,,scale,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
