,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,Condensing Method,model.init.distance_matrix,model.init.k,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers
6f19ff0908204367fea3acb50b7ee984,train,deckard.base.experiment.Experiment,6f19ff0908204367fea3acb50b7ee984,KDD NSL,cpu,6f19ff0908204367fea3acb50b7ee984,6f19ff0908204367fea3acb50b7ee984,k-KNN,6f19ff0908204367fea3acb50b7ee984,6f19ff0908204367fea3acb50b7ee984,0.4725,18.21942843559584,cpu,1727103672.22521,1727103573.674623,102.52511797,0.256312794925,cpu,1727103573.6745298,1727103573.6007109,0.07368024,7.368024e-05,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,6f19ff0908204367fea3acb50b7ee984,predictions.json,reports/condense/knn/jaro_winkler/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,Random,kdd_nsl/models/jaro_winkler/symmetry_true/modified_true/1000-400-0.npz,3,0.9,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
69a1e0d73cb504b6ac4acd2689369488,train,deckard.base.experiment.Experiment,69a1e0d73cb504b6ac4acd2689369488,KDD NSL,cpu,69a1e0d73cb504b6ac4acd2689369488,69a1e0d73cb504b6ac4acd2689369488,k-KNN,69a1e0d73cb504b6ac4acd2689369488,69a1e0d73cb504b6ac4acd2689369488,0.4625,18.56484018746785,cpu,1727103148.6137223,1727103039.733117,113.50413747,0.283760343675,cpu,1727103039.7330222,1727103039.639503,0.09279809,9.279809e-05,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,69a1e0d73cb504b6ac4acd2689369488,predictions.json,reports/condense/knn/jaro_winkler/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,Medoid,kdd_nsl/models/jaro_winkler/symmetry_true/modified_true/1000-400-0.npz,3,0.9,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
5e50e187ff6a98fd89f1bd02b9b70264,train,deckard.base.experiment.Experiment,5e50e187ff6a98fd89f1bd02b9b70264,KDD NSL,cpu,5e50e187ff6a98fd89f1bd02b9b70264,5e50e187ff6a98fd89f1bd02b9b70264,k-KNN,5e50e187ff6a98fd89f1bd02b9b70264,5e50e187ff6a98fd89f1bd02b9b70264,0.4425,19.25563170731467,cpu,1727103232.8063655,1727103176.1978838,59.1996483,0.14799912075,cpu,1727103176.1977973,1727103176.126328,0.07103499,7.103499e-05,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,5e50e187ff6a98fd89f1bd02b9b70264,predictions.json,reports/condense/knn/jaro_winkler/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,SVC,kdd_nsl/models/jaro_winkler/symmetry_true/modified_true/1000-400-0.npz,3,0.9,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
30df0dc3db22a3bf38d286817cdc9c98,train,deckard.base.experiment.Experiment,30df0dc3db22a3bf38d286817cdc9c98,KDD NSL,cpu,30df0dc3db22a3bf38d286817cdc9c98,30df0dc3db22a3bf38d286817cdc9c98,k-KNN,30df0dc3db22a3bf38d286817cdc9c98,30df0dc3db22a3bf38d286817cdc9c98,0.5175,16.66514551694692,cpu,1727103372.8170695,1727103274.0230997,103.068066,0.257670165,cpu,1727103274.0230052,1727103273.9487646,0.07405884,7.405884e-05,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,30df0dc3db22a3bf38d286817cdc9c98,predictions.json,reports/condense/knn/jaro_winkler/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,Sum,kdd_nsl/models/jaro_winkler/symmetry_true/modified_true/1000-400-0.npz,3,0.9,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
176b097a8910eafa5d542b945e69bdf3,train,deckard.base.experiment.Experiment,176b097a8910eafa5d542b945e69bdf3,KDD NSL,cpu,176b097a8910eafa5d542b945e69bdf3,176b097a8910eafa5d542b945e69bdf3,k-KNN,176b097a8910eafa5d542b945e69bdf3,176b097a8910eafa5d542b945e69bdf3,0.4625,18.56484018746785,cpu,1727103538.206828,1727103436.2742877,106.57355567,0.266433889175,cpu,1727103436.2741687,1727103436.143962,0.12979773,0.00012979773,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,176b097a8910eafa5d542b945e69bdf3,predictions.json,reports/condense/knn/jaro_winkler/0.9/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,Medoid,kdd_nsl/models/jaro_winkler/symmetry_true/modified_true/1000-400-0.npz,3,0.9,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
f1b76893ad01ab3f48f116e1dedac438,train,deckard.base.experiment.Experiment,f1b76893ad01ab3f48f116e1dedac438,KDD NSL,cpu,f1b76893ad01ab3f48f116e1dedac438,f1b76893ad01ab3f48f116e1dedac438,k-KNN,f1b76893ad01ab3f48f116e1dedac438,f1b76893ad01ab3f48f116e1dedac438,0.45,18.99659088435284,cpu,1727114940.1590471,1727114874.1713514,69.22237834,0.17305594585,cpu,1727114874.1712496,1727114874.0647871,0.106124,0.000106124,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,f1b76893ad01ab3f48f116e1dedac438,predictions.json,reports/condense/knn/jaro_winkler/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,Medoid,kdd_nsl/models/jaro_winkler/symmetry_true/modified_true/1000-400-0.npz,3,0.5,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
c8e9ce87824597848ca5d1c255842b96,train,deckard.base.experiment.Experiment,c8e9ce87824597848ca5d1c255842b96,KDD NSL,cpu,c8e9ce87824597848ca5d1c255842b96,c8e9ce87824597848ca5d1c255842b96,k-KNN,c8e9ce87824597848ca5d1c255842b96,c8e9ce87824597848ca5d1c255842b96,0.4425,19.25563170731467,cpu,1727115201.0975316,1727115147.5567746,56.05135335,0.140128383375,cpu,1727115147.5566664,1727115147.4853823,0.07066871,7.066871e-05,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,c8e9ce87824597848ca5d1c255842b96,predictions.json,reports/condense/knn/jaro_winkler/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,SVC,kdd_nsl/models/jaro_winkler/symmetry_true/modified_true/1000-400-0.npz,3,0.5,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
869cf52d706b2e1c5da293d0c7f9829b,train,deckard.base.experiment.Experiment,869cf52d706b2e1c5da293d0c7f9829b,KDD NSL,cpu,869cf52d706b2e1c5da293d0c7f9829b,869cf52d706b2e1c5da293d0c7f9829b,k-KNN,869cf52d706b2e1c5da293d0c7f9829b,869cf52d706b2e1c5da293d0c7f9829b,0.45,18.99659088435284,cpu,1727115346.1668873,1727115290.9390678,57.50797838,0.14376994595,cpu,1727115290.9389806,1727115290.8618624,0.07638272,7.638272e-05,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,869cf52d706b2e1c5da293d0c7f9829b,predictions.json,reports/condense/knn/jaro_winkler/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,Medoid,kdd_nsl/models/jaro_winkler/symmetry_true/modified_true/1000-400-0.npz,3,0.5,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
5536c26e126600a7b5cd196bd4af71ab,train,deckard.base.experiment.Experiment,5536c26e126600a7b5cd196bd4af71ab,KDD NSL,cpu,5536c26e126600a7b5cd196bd4af71ab,5536c26e126600a7b5cd196bd4af71ab,k-KNN,5536c26e126600a7b5cd196bd4af71ab,5536c26e126600a7b5cd196bd4af71ab,0.44,19.341978648301943,cpu,1727115280.9833195,1727115221.8577693,61.68053457,0.154201336425,cpu,1727115221.8576758,1727115220.9995904,0.78127017,0.00078127017,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,5536c26e126600a7b5cd196bd4af71ab,predictions.json,reports/condense/knn/jaro_winkler/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,KNN,kdd_nsl/models/jaro_winkler/symmetry_true/modified_true/1000-400-0.npz,3,0.5,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
454491401035a13f074d34dc5a5f8872,train,deckard.base.experiment.Experiment,454491401035a13f074d34dc5a5f8872,KDD NSL,cpu,454491401035a13f074d34dc5a5f8872,454491401035a13f074d34dc5a5f8872,k-KNN,454491401035a13f074d34dc5a5f8872,454491401035a13f074d34dc5a5f8872,0.44,19.341978648301943,cpu,1727115022.702331,1727114959.254074,66.03001026,0.16507502565,cpu,1727114959.2539756,1727114953.3336258,5.91986002,0.00591986002,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,0,True,400,1000,deckard.base.files.FileConfig,data,abea94e5362b96112a9fb02e9eed66c1,.pkl,kdd_nsl,454491401035a13f074d34dc5a5f8872,predictions.json,reports/condense/knn/jaro_winkler/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,0,True,400,1000,label,brute,Hardness,kdd_nsl/models/jaro_winkler/symmetry_true/modified_true/1000-400-0.npz,3,0.5,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
