,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.gamma,model.init.kernel,Condensing Ratio,Metric,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified
026e56fe9719dca5b74e643209e51389,train,deckard.base.experiment.Experiment,026e56fe9719dca5b74e643209e51389,KDD NSL,cpu,026e56fe9719dca5b74e643209e51389,026e56fe9719dca5b74e643209e51389,k-SVC,026e56fe9719dca5b74e643209e51389,026e56fe9719dca5b74e643209e51389,0.97,1.0361792837959254,cpu,1725626813.4326472,1725626812.835714,0.63081957,0.0063081957,cpu,1725626812.835574,1725626812.5978043,0.25150275,0.0125751375,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,100,20,deckard.base.files.FileConfig,data,d6e64c71dd1be0865cac9026df3eaa1b,.pkl,kdd_nsl,026e56fe9719dca5b74e643209e51389,predictions.json,reports/gzip_svc/20/symmetry_false,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,100,20,label,16.494803701368582,,auto,rbf,1,ZSTD,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
03799cb28cb42f0693b7c2a54cfd7d64,train,deckard.base.experiment.Experiment,03799cb28cb42f0693b7c2a54cfd7d64,KDD NSL,cpu,03799cb28cb42f0693b7c2a54cfd7d64,03799cb28cb42f0693b7c2a54cfd7d64,k-SVC,03799cb28cb42f0693b7c2a54cfd7d64,03799cb28cb42f0693b7c2a54cfd7d64,0.95,1.726962807668441,cpu,1725626763.0396774,1725626762.5046172,0.57840857,0.0057840857,cpu,1725626762.504514,1725626762.2924464,0.2218233,0.011091165,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,100,20,deckard.base.files.FileConfig,data,d6e64c71dd1be0865cac9026df3eaa1b,.pkl,kdd_nsl,03799cb28cb42f0693b7c2a54cfd7d64,predictions.json,reports/gzip_svc/20/symmetry_false,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,100,20,label,78.94977112121244,,auto,rbf,1,ZSTD,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
050cd8d72fc66de66885621183582665,train,deckard.base.experiment.Experiment,050cd8d72fc66de66885621183582665,KDD NSL,cpu,050cd8d72fc66de66885621183582665,050cd8d72fc66de66885621183582665,k-SVC,050cd8d72fc66de66885621183582665,050cd8d72fc66de66885621183582665,0.97,1.0361792837959254,cpu,1725626806.261376,1725626805.7112577,0.60339418,0.0060339418,cpu,1725626805.7111025,1725626805.488981,0.23316528,0.011658264,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,100,20,deckard.base.files.FileConfig,data,d6e64c71dd1be0865cac9026df3eaa1b,.pkl,kdd_nsl,050cd8d72fc66de66885621183582665,predictions.json,reports/gzip_svc/20/symmetry_false,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,100,20,label,20.21970089803169,,auto,rbf,1,ZSTD,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
07a11baa9f116ca086715ec0f976d91d,train,deckard.base.experiment.Experiment,07a11baa9f116ca086715ec0f976d91d,KDD NSL,cpu,07a11baa9f116ca086715ec0f976d91d,07a11baa9f116ca086715ec0f976d91d,k-SVC,07a11baa9f116ca086715ec0f976d91d,07a11baa9f116ca086715ec0f976d91d,0.96,1.38155905177073,cpu,1725626825.6881702,1725626825.051231,0.69003014,0.0069003014,cpu,1725626825.0511053,1725626824.788956,0.27654677,0.0138273385,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,100,20,deckard.base.files.FileConfig,data,d6e64c71dd1be0865cac9026df3eaa1b,.pkl,kdd_nsl,07a11baa9f116ca086715ec0f976d91d,predictions.json,reports/gzip_svc/20/symmetry_false,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,100,20,label,14.733948787528442,,auto,rbf,1,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
0a58c001d6f3d06a4f985ce8fcf05c15,train,deckard.base.experiment.Experiment,0a58c001d6f3d06a4f985ce8fcf05c15,KDD NSL,cpu,0a58c001d6f3d06a4f985ce8fcf05c15,0a58c001d6f3d06a4f985ce8fcf05c15,k-SVC,0a58c001d6f3d06a4f985ce8fcf05c15,0a58c001d6f3d06a4f985ce8fcf05c15,0.94,2.07235856759185,cpu,1725626791.9834025,1725626791.426762,0.58929834,0.0058929834,cpu,1725626791.426643,1725626791.206525,0.23294452,0.011647226,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,100,20,deckard.base.files.FileConfig,data,d6e64c71dd1be0865cac9026df3eaa1b,.pkl,kdd_nsl,0a58c001d6f3d06a4f985ce8fcf05c15,predictions.json,reports/gzip_svc/20/symmetry_false,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,100,20,label,7.033404881679619,,auto,rbf,1,ZSTD,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
0dcba2dcddc482e31d74b07e237eaf73,train,deckard.base.experiment.Experiment,0dcba2dcddc482e31d74b07e237eaf73,KDD NSL,cpu,0dcba2dcddc482e31d74b07e237eaf73,0dcba2dcddc482e31d74b07e237eaf73,k-SVC,0dcba2dcddc482e31d74b07e237eaf73,0dcba2dcddc482e31d74b07e237eaf73,0.96,1.3815750437193344,cpu,1725626763.104393,1725626762.5512202,0.5938975,0.005938975,cpu,1725626762.5510104,1725626762.3420863,0.22365771,0.0111828855,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,100,20,deckard.base.files.FileConfig,data,d6e64c71dd1be0865cac9026df3eaa1b,.pkl,kdd_nsl,0dcba2dcddc482e31d74b07e237eaf73,predictions.json,reports/gzip_svc/20/symmetry_false,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,100,20,label,9.747818934648116,,auto,rbf,1,ZSTD,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
0ee355866193c6a74ee388214fc088bf,train,deckard.base.experiment.Experiment,0ee355866193c6a74ee388214fc088bf,KDD NSL,cpu,0ee355866193c6a74ee388214fc088bf,0ee355866193c6a74ee388214fc088bf,k-SVC,0ee355866193c6a74ee388214fc088bf,0ee355866193c6a74ee388214fc088bf,0.9,3.4538936314396733,cpu,1725626855.0099158,1725626854.4558415,0.59628248,0.0059628248,cpu,1725626854.4557266,1725626854.199276,0.26528358,0.013264179,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,3,True,100,20,deckard.base.files.FileConfig,data,8c9c338874db71c4c5166b28cb624412,.pkl,kdd_nsl,0ee355866193c6a74ee388214fc088bf,predictions.json,reports/gzip_svc/20/symmetry_false,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,3,True,100,20,label,17.743293203578748,,auto,rbf,1,ZSTD,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
0fd58031e47ec057a7ee2767de9fbe42,train,deckard.base.experiment.Experiment,0fd58031e47ec057a7ee2767de9fbe42,KDD NSL,cpu,0fd58031e47ec057a7ee2767de9fbe42,0fd58031e47ec057a7ee2767de9fbe42,k-SVC,0fd58031e47ec057a7ee2767de9fbe42,0fd58031e47ec057a7ee2767de9fbe42,0.91,3.1084898755419617,cpu,1725626770.1661131,1725626769.629761,0.57500583,0.0057500583,cpu,1725626769.62959,1725626769.4166489,0.22923197,0.0114615985,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,100,20,deckard.base.files.FileConfig,data,0a89673688bf82295298b4737709b8c8,.pkl,kdd_nsl,0fd58031e47ec057a7ee2767de9fbe42,predictions.json,reports/gzip_svc/20/symmetry_false,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,100,20,label,5.596434660733734,,auto,rbf,1,ZSTD,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
15b915f9b9b26dd62e31c7fabf3cf986,train,deckard.base.experiment.Experiment,15b915f9b9b26dd62e31c7fabf3cf986,KDD NSL,cpu,15b915f9b9b26dd62e31c7fabf3cf986,15b915f9b9b26dd62e31c7fabf3cf986,k-SVC,15b915f9b9b26dd62e31c7fabf3cf986,15b915f9b9b26dd62e31c7fabf3cf986,0.97,1.0361792837959254,cpu,1725626777.4796326,1725626776.918865,0.60627986,0.0060627986,cpu,1725626776.9187453,1725626776.72447,0.20906432,0.010453216,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,100,20,deckard.base.files.FileConfig,data,d6e64c71dd1be0865cac9026df3eaa1b,.pkl,kdd_nsl,15b915f9b9b26dd62e31c7fabf3cf986,predictions.json,reports/gzip_svc/20/symmetry_false,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,100,20,label,18.18764813367052,,auto,rbf,1,ZSTD,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
18a8bcbcb0889f4678eafec26029ef15,train,deckard.base.experiment.Experiment,18a8bcbcb0889f4678eafec26029ef15,KDD NSL,cpu,18a8bcbcb0889f4678eafec26029ef15,18a8bcbcb0889f4678eafec26029ef15,k-SVC,18a8bcbcb0889f4678eafec26029ef15,18a8bcbcb0889f4678eafec26029ef15,0.95,1.726962807668441,cpu,1725626741.1602898,1725626740.6321404,0.57377672,0.0057377672,cpu,1725626740.6320212,1725626740.4052875,0.23553205,0.0117766025,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,100,20,deckard.base.files.FileConfig,data,d6e64c71dd1be0865cac9026df3eaa1b,.pkl,kdd_nsl,18a8bcbcb0889f4678eafec26029ef15,predictions.json,reports/gzip_svc/20/symmetry_false,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,100,20,label,54.46521870217945,,auto,rbf,1,ZSTD,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
