,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,train_time,train_time_per_sample,train_start_time,train_end_time,train_device,predict_time,predict_time_per_sample,predict_start_time,predict_end_time,predict_device,accuracy,log_loss,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,files.data_dir,files.data_file,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.fit_intercept,Condensing Ratio,Metric,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers
d4684bcc8ba83be6daa368955874d1d3,train,deckard.base.experiment.Experiment,d4684bcc8ba83be6daa368955874d1d3,KDD NSL,cpu,d4684bcc8ba83be6daa368955874d1d3,d4684bcc8ba83be6daa368955874d1d3,k-Logistic,d4684bcc8ba83be6daa368955874d1d3,d4684bcc8ba83be6daa368955874d1d3,7.11733078,0.0711733078,1723819165.040211,1723819171.6142333,cpu,7.56893549,0.0756893549,1723819171.6145575,1723819178.3997245,cpu,0.5,17.269388197455342,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,100,100,deckard.base.files.FileConfig,.pkl,kdd_nsl,d4684bcc8ba83be6daa368955874d1d3,predictions.json,reports/gzip_logistic/100/symmetry_true,score_dict.json,train,data,0c056c8becabd33e7d45e15475c03694,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,100,100,label,306.04632214591715,balanced,False,1,ZSTD,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0018708162346526,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
d4f623f0b5189bd5a36f490cbd1f3419,train,deckard.base.experiment.Experiment,d4f623f0b5189bd5a36f490cbd1f3419,KDD NSL,cpu,d4f623f0b5189bd5a36f490cbd1f3419,d4f623f0b5189bd5a36f490cbd1f3419,k-Logistic,d4f623f0b5189bd5a36f490cbd1f3419,d4f623f0b5189bd5a36f490cbd1f3419,6.62846584,0.0662846584,1723650805.7648494,1723650811.9437108,cpu,7.23513199,0.0723513199,1723650811.9438796,1723650819.063905,cpu,0.5,17.269388197455342,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,7,True,100,100,deckard.base.files.FileConfig,.pkl,kdd_nsl,d4f623f0b5189bd5a36f490cbd1f3419,predictions.json,reports/gzip_logistic/100/symmetry_true,score_dict.json,train,data,f73e381464c653304892a3b29e1fb64d,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,7,True,100,100,label,28.27819881894064,,True,1,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0057545661923667,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
d4fbb7efbc75769224860c258a4967cb,train,deckard.base.experiment.Experiment,d4fbb7efbc75769224860c258a4967cb,KDD NSL,cpu,d4fbb7efbc75769224860c258a4967cb,d4fbb7efbc75769224860c258a4967cb,k-Logistic,d4fbb7efbc75769224860c258a4967cb,d4fbb7efbc75769224860c258a4967cb,6.4914128,0.064914128,1723650896.1766274,1723650902.2362845,cpu,7.15484527,0.0715484527,1723650902.2363875,1723650909.2844036,cpu,0.5,17.26978799617044,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,8,True,100,100,deckard.base.files.FileConfig,.pkl,kdd_nsl,d4fbb7efbc75769224860c258a4967cb,predictions.json,reports/gzip_logistic/100/symmetry_true,score_dict.json,train,data,e18d09f3a85ba0225ebd22ec7eb89b97,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,8,True,100,100,label,0.252876322468104,balanced,True,1,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0050453110345014,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
c0daf5b00c705265d299aa5eaa5b1b68,train,deckard.base.experiment.Experiment,c0daf5b00c705265d299aa5eaa5b1b68,KDD NSL,cpu,c0daf5b00c705265d299aa5eaa5b1b68,c0daf5b00c705265d299aa5eaa5b1b68,k-Logistic,c0daf5b00c705265d299aa5eaa5b1b68,c0daf5b00c705265d299aa5eaa5b1b68,14.58882116,0.1458882116,1723650515.6851308,1723650529.5504074,cpu,19.79749276,0.1979749276,1723650529.5504773,1723650548.03345,cpu,0.5,17.269388197455342,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,5,True,100,100,deckard.base.files.FileConfig,.pkl,kdd_nsl,c0daf5b00c705265d299aa5eaa5b1b68,predictions.json,reports/gzip_logistic/100/symmetry_true,score_dict.json,train,data,01667f95698b9b88b80e4ed283f6dbf5,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,5,True,100,100,label,14.651743835792615,,False,1,LZMA,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0011943220337577,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
c353b0036a76c95f7bfea7e7cafe1eb6,train,deckard.base.experiment.Experiment,c353b0036a76c95f7bfea7e7cafe1eb6,KDD NSL,cpu,c353b0036a76c95f7bfea7e7cafe1eb6,c353b0036a76c95f7bfea7e7cafe1eb6,k-Logistic,c353b0036a76c95f7bfea7e7cafe1eb6,c353b0036a76c95f7bfea7e7cafe1eb6,7.0952955,0.070952955,1723650719.2417903,1723650725.8108072,cpu,7.88709153,0.0788709153,1723650725.8109248,1723650732.8609753,cpu,0.5,17.269388197455342,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,100,100,deckard.base.files.FileConfig,.pkl,kdd_nsl,c353b0036a76c95f7bfea7e7cafe1eb6,predictions.json,reports/gzip_logistic/100/symmetry_true,score_dict.json,train,data,b4328857a7ea9fc83862dd4d4fcd45c5,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,100,100,label,0.1286980731181751,balanced,True,1,GZIP,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,2.3113897648614288e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
c41ff41ebcedba482ca20f0d8da3fd6c,train,deckard.base.experiment.Experiment,c41ff41ebcedba482ca20f0d8da3fd6c,KDD NSL,cpu,c41ff41ebcedba482ca20f0d8da3fd6c,c41ff41ebcedba482ca20f0d8da3fd6c,k-Logistic,c41ff41ebcedba482ca20f0d8da3fd6c,c41ff41ebcedba482ca20f0d8da3fd6c,7.30307325,0.0730307325,1723650597.987881,1723650604.7925148,cpu,7.76495619,0.0776495619,1723650604.7926922,1723650612.402537,cpu,0.5,17.26978799617044,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,9,True,100,100,deckard.base.files.FileConfig,.pkl,kdd_nsl,c41ff41ebcedba482ca20f0d8da3fd6c,predictions.json,reports/gzip_logistic/100/symmetry_true,score_dict.json,train,data,60bb77f4e667aa53d2656431810efd28,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,9,True,100,100,label,3.186425481632369,,True,1,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.4337631069969092e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
c52988019e02b9506777724b070da5d4,train,deckard.base.experiment.Experiment,c52988019e02b9506777724b070da5d4,KDD NSL,cpu,c52988019e02b9506777724b070da5d4,c52988019e02b9506777724b070da5d4,k-Logistic,c52988019e02b9506777724b070da5d4,c52988019e02b9506777724b070da5d4,7.33158715,0.0733158715,1723650597.9873226,1723650604.8033717,cpu,7.72796713,0.0772796713,1723650604.803566,1723650612.3620613,cpu,0.5,17.269388197455342,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,3,True,100,100,deckard.base.files.FileConfig,.pkl,kdd_nsl,c52988019e02b9506777724b070da5d4,predictions.json,reports/gzip_logistic/100/symmetry_true,score_dict.json,train,data,39ef589fb6e50f6ed812aa1467405654,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,3,True,100,100,label,0.0536052989510802,,False,1,Hamming,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0074954939376832,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
c5efa40a600d1e5cb609c922784d9742,train,deckard.base.experiment.Experiment,c5efa40a600d1e5cb609c922784d9742,KDD NSL,cpu,c5efa40a600d1e5cb609c922784d9742,c5efa40a600d1e5cb609c922784d9742,k-Logistic,c5efa40a600d1e5cb609c922784d9742,c5efa40a600d1e5cb609c922784d9742,7.11097518,0.0711097518,1723819263.0544202,1723819269.634063,cpu,7.91801466,0.0791801466,1723819269.6341813,1723819276.8742251,cpu,0.5,17.269388197455342,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,4,True,100,100,deckard.base.files.FileConfig,.pkl,kdd_nsl,c5efa40a600d1e5cb609c922784d9742,predictions.json,reports/gzip_logistic/100/symmetry_true,score_dict.json,train,data,55880dea63871aac9a8217827ae97528,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,4,True,100,100,label,459.5104579762446,balanced,False,1,ZSTD,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0079268917264751,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
c605cdcd014c09cb0f3bf73a6cf2d2d9,train,deckard.base.experiment.Experiment,c605cdcd014c09cb0f3bf73a6cf2d2d9,KDD NSL,cpu,c605cdcd014c09cb0f3bf73a6cf2d2d9,c605cdcd014c09cb0f3bf73a6cf2d2d9,k-Logistic,c605cdcd014c09cb0f3bf73a6cf2d2d9,c605cdcd014c09cb0f3bf73a6cf2d2d9,7.00469447,0.0700469447,1723819055.1481392,1723819061.6687143,cpu,7.21438258,0.0721438258,1723819061.6689167,1723819068.7517233,cpu,0.5,17.269388197455342,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,100,100,deckard.base.files.FileConfig,.pkl,kdd_nsl,c605cdcd014c09cb0f3bf73a6cf2d2d9,predictions.json,reports/gzip_logistic/100/symmetry_true,score_dict.json,train,data,fc5bd4929fc2b9a2e0aca3efb10c8e43,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,100,100,label,13.471232787890608,balanced,False,1,Ratio,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0433473034900643,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
c958b215417cd7aab73c2ef5d633022f,train,deckard.base.experiment.Experiment,c958b215417cd7aab73c2ef5d633022f,KDD NSL,cpu,c958b215417cd7aab73c2ef5d633022f,c958b215417cd7aab73c2ef5d633022f,k-Logistic,c958b215417cd7aab73c2ef5d633022f,c958b215417cd7aab73c2ef5d633022f,6.55025223,0.0655025223,1723819095.4482343,1723819101.5193768,cpu,6.93515896,0.0693515896,1723819101.5195522,1723819108.3631291,cpu,0.5,17.269388197455342,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,5,True,100,100,deckard.base.files.FileConfig,.pkl,kdd_nsl,c958b215417cd7aab73c2ef5d633022f,predictions.json,reports/gzip_logistic/100/symmetry_true,score_dict.json,train,data,01667f95698b9b88b80e4ed283f6dbf5,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,5,True,100,100,label,75.75978656357067,balanced,False,1,Ratio,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0038554144820012,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
