,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified
df0dab6af987b612cea707c7d474b4c0,train,deckard.base.experiment.Experiment,df0dab6af987b612cea707c7d474b4c0,KDD NSL,cpu,df0dab6af987b612cea707c7d474b4c0,df0dab6af987b612cea707c7d474b4c0,k-KNN,df0dab6af987b612cea707c7d474b4c0,df0dab6af987b612cea707c7d474b4c0,0.89,3.7993533591574975,cpu,1725625973.7918162,1725625973.4121382,0.39228557,0.0039228557,cpu,1725625973.4120193,1725625973.3111248,0.10364966,0.005182483,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,4,True,100,20,deckard.base.files.FileConfig,data,1bdd2ae9cd909e0820855a35fd451cbd,.pkl,kdd_nsl,df0dab6af987b612cea707c7d474b4c0,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,4,True,100,20,label,brute,1,1,Levenshtein,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
af5199027e707702a8ef0cc9625e5249,train,deckard.base.experiment.Experiment,af5199027e707702a8ef0cc9625e5249,KDD NSL,cpu,af5199027e707702a8ef0cc9625e5249,af5199027e707702a8ef0cc9625e5249,k-KNN,af5199027e707702a8ef0cc9625e5249,af5199027e707702a8ef0cc9625e5249,0.97,1.0361792837959252,cpu,1725626050.205541,1725626049.60931,0.64938858,0.0064938858,cpu,1725626049.6090655,1725626049.4152913,0.21013566,0.010506783,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,100,20,deckard.base.files.FileConfig,data,0a89673688bf82295298b4737709b8c8,.pkl,kdd_nsl,af5199027e707702a8ef0cc9625e5249,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,100,20,label,brute,5,1,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
adb1df96a60e66d426a817bc4b9c1d84,train,deckard.base.experiment.Experiment,adb1df96a60e66d426a817bc4b9c1d84,KDD NSL,cpu,adb1df96a60e66d426a817bc4b9c1d84,adb1df96a60e66d426a817bc4b9c1d84,k-KNN,adb1df96a60e66d426a817bc4b9c1d84,adb1df96a60e66d426a817bc4b9c1d84,0.18,28.322140470721735,cpu,1725626008.33768,1725626007.989926,0.35746584,0.0035746584,cpu,1725626007.989652,1725626007.8822873,0.10225235,0.0051126175,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,1,True,100,20,deckard.base.files.FileConfig,data,44051cfcbe1f92c4287a3fdedd6bfff4,.pkl,kdd_nsl,adb1df96a60e66d426a817bc4b9c1d84,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,1,True,100,20,label,brute,1,1,Ratio,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
ab71f4854dc78c681700ef11d3fb17fd,train,deckard.base.experiment.Experiment,ab71f4854dc78c681700ef11d3fb17fd,KDD NSL,cpu,ab71f4854dc78c681700ef11d3fb17fd,ab71f4854dc78c681700ef11d3fb17fd,k-KNN,ab71f4854dc78c681700ef11d3fb17fd,ab71f4854dc78c681700ef11d3fb17fd,0.19,27.976744710798336,cpu,1725626033.3466752,1725626031.6647384,1.73169087,0.0173169087,cpu,1725626031.6646116,1725626031.3960955,0.26410828,0.013205414,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,7,True,100,20,deckard.base.files.FileConfig,data,24978e7498207e1fdd6237afc604c4a2,.pkl,kdd_nsl,ab71f4854dc78c681700ef11d3fb17fd,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,7,True,100,20,label,brute,11,1,SeqRatio,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
ab4ec5413330717ee2bb323734fddd42,train,deckard.base.experiment.Experiment,ab4ec5413330717ee2bb323734fddd42,KDD NSL,cpu,ab4ec5413330717ee2bb323734fddd42,ab4ec5413330717ee2bb323734fddd42,k-KNN,ab4ec5413330717ee2bb323734fddd42,ab4ec5413330717ee2bb323734fddd42,0.91,3.1085618393106795,cpu,1725625954.3334043,1725625953.9299371,0.43395041,0.0043395041,cpu,1725625953.9296567,1725625953.8163643,0.11550144,0.005775072,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,4,True,100,20,deckard.base.files.FileConfig,data,1bdd2ae9cd909e0820855a35fd451cbd,.pkl,kdd_nsl,ab4ec5413330717ee2bb323734fddd42,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,4,True,100,20,label,brute,3,1,Levenshtein,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
a2e7a81fb1082fed885fbcaa67b9b080,train,deckard.base.experiment.Experiment,a2e7a81fb1082fed885fbcaa67b9b080,KDD NSL,cpu,a2e7a81fb1082fed885fbcaa67b9b080,a2e7a81fb1082fed885fbcaa67b9b080,k-KNN,a2e7a81fb1082fed885fbcaa67b9b080,a2e7a81fb1082fed885fbcaa67b9b080,0.9,3.453901627413975,cpu,1725625944.6791196,1725625944.0748956,0.72781953,0.0072781953,cpu,1725625944.074787,1725625943.888244,0.20102468,0.010051234,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,9,True,100,20,deckard.base.files.FileConfig,data,e18ee9480eeaf760257eba62db94a616,.pkl,kdd_nsl,a2e7a81fb1082fed885fbcaa67b9b080,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,9,True,100,20,label,brute,1,1,BZ2,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
a255389b847bd1e13d7157325fd18d6d,train,deckard.base.experiment.Experiment,a255389b847bd1e13d7157325fd18d6d,KDD NSL,cpu,a255389b847bd1e13d7157325fd18d6d,a255389b847bd1e13d7157325fd18d6d,k-KNN,a255389b847bd1e13d7157325fd18d6d,a255389b847bd1e13d7157325fd18d6d,0.89,3.799273399414477,cpu,1725625944.440231,1725625944.0572717,0.39167744,0.0039167744,cpu,1725625944.0571396,1725625943.958887,0.10063849,0.0050319245,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,100,20,deckard.base.files.FileConfig,data,f2fa6ca59659a8ff8ed8d0cdadd9dabe,.pkl,kdd_nsl,a255389b847bd1e13d7157325fd18d6d,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,100,20,label,brute,5,1,Levenshtein,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
a13751996179e9da6ec97d432e75af0c,train,deckard.base.experiment.Experiment,a13751996179e9da6ec97d432e75af0c,KDD NSL,cpu,a13751996179e9da6ec97d432e75af0c,a13751996179e9da6ec97d432e75af0c,k-KNN,a13751996179e9da6ec97d432e75af0c,a13751996179e9da6ec97d432e75af0c,0.26,25.5590623470518,cpu,1725625944.472121,1725625944.056628,0.43917784,0.0043917784,cpu,1725625944.0565133,1725625943.9438062,0.10778891,0.0053894455,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,3,True,100,20,deckard.base.files.FileConfig,data,8c9c338874db71c4c5166b28cb624412,.pkl,kdd_nsl,a13751996179e9da6ec97d432e75af0c,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,3,True,100,20,label,brute,7,1,Jaro,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
9dc33e058ae20b56469d6984f2d845d4,train,deckard.base.experiment.Experiment,9dc33e058ae20b56469d6984f2d845d4,KDD NSL,cpu,9dc33e058ae20b56469d6984f2d845d4,9dc33e058ae20b56469d6984f2d845d4,k-KNN,9dc33e058ae20b56469d6984f2d845d4,9dc33e058ae20b56469d6984f2d845d4,0.16,29.01293199056856,cpu,1725626061.5115235,1725626059.773766,1.78181512,0.0178181512,cpu,1725626059.773485,1725626059.495335,0.27303757,0.0136518785,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,4,True,100,20,deckard.base.files.FileConfig,data,1bdd2ae9cd909e0820855a35fd451cbd,.pkl,kdd_nsl,9dc33e058ae20b56469d6984f2d845d4,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,4,True,100,20,label,brute,5,1,SeqRatio,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
95f18548f11b920879db35f275d88e48,train,deckard.base.experiment.Experiment,95f18548f11b920879db35f275d88e48,KDD NSL,cpu,95f18548f11b920879db35f275d88e48,95f18548f11b920879db35f275d88e48,k-KNN,95f18548f11b920879db35f275d88e48,95f18548f11b920879db35f275d88e48,0.92,2.7631101075671576,cpu,1725625927.9526324,1725625927.5778575,0.389201,0.00389201,cpu,1725625927.5777097,1725625927.4716368,0.10005327,0.0050026635,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,8,True,100,20,deckard.base.files.FileConfig,data,213154e84ad20c52ebdd33f4ec02fb42,.pkl,kdd_nsl,95f18548f11b920879db35f275d88e48,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,8,True,100,20,label,brute,5,1,Levenshtein,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
