,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.fit_intercept,Condensing Ratio,model.init.max_iter,Metric,model.init.modified,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
57f1717f04b54e8dbe8e3cba2977fe0f,train,deckard.base.experiment.Experiment,57f1717f04b54e8dbe8e3cba2977fe0f,Truthseeker,cpu,57f1717f04b54e8dbe8e3cba2977fe0f,57f1717f04b54e8dbe8e3cba2977fe0f,k-Logistic,57f1717f04b54e8dbe8e3cba2977fe0f,57f1717f04b54e8dbe8e3cba2977fe0f,0.555,15.369917414214868,cpu,1727418661.3962948,1727418402.3776417,264.12299972,0.6603074993,cpu,1727418402.3766744,1727418234.6588042,171.2288797,0.3424577594,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,500,deckard.base.files.FileConfig,data,bb6edce29ee76b848c2884c654f5d3e2,.pkl,truthseeker,57f1717f04b54e8dbe8e3cba2977fe0f,predictions.json,reports/modified/gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,500,BotScoreBinary,25.919336713836287,balanced,True,1,1000,SeqRatio,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001058202519816,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
59e774e66468672a1bc935fff47d0ccd,train,deckard.base.experiment.Experiment,59e774e66468672a1bc935fff47d0ccd,Truthseeker,cpu,59e774e66468672a1bc935fff47d0ccd,59e774e66468672a1bc935fff47d0ccd,k-Logistic,59e774e66468672a1bc935fff47d0ccd,59e774e66468672a1bc935fff47d0ccd,0.53,16.233398818049086,cpu,1725880054.4780974,1725880014.557124,38.53279373,0.096331984325,cpu,1725880014.5570464,1725879990.1937118,26.40603111,0.05281206222,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,400,500,deckard.base.files.FileConfig,data,d67fa1fdd7c1be9bc23eb961e7cdf3dc,.pkl,truthseeker,59e774e66468672a1bc935fff47d0ccd,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,400,500,BotScoreBinary,0.9845243863976118,balanced,True,1,1000,ZSTD,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,8.030226932713571e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
5a4e2ba55eb9169b02f32c354c8fae9e,train,deckard.base.experiment.Experiment,5a4e2ba55eb9169b02f32c354c8fae9e,Truthseeker,cpu,5a4e2ba55eb9169b02f32c354c8fae9e,5a4e2ba55eb9169b02f32c354c8fae9e,k-Logistic,5a4e2ba55eb9169b02f32c354c8fae9e,5a4e2ba55eb9169b02f32c354c8fae9e,0.5625,15.110882588233762,cpu,1727419304.3057747,1727419289.663657,15.0412133,0.03760303325,cpu,1727419289.6635845,1727419278.208471,11.85252237,0.02370504474,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,500,deckard.base.files.FileConfig,data,bb6edce29ee76b848c2884c654f5d3e2,.pkl,truthseeker,5a4e2ba55eb9169b02f32c354c8fae9e,predictions.json,reports/modified/gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,500,BotScoreBinary,44.28546254626099,balanced,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.2693947016761472e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
5b48ba772c5461666b0f6a82df7e04a5,train,deckard.base.experiment.Experiment,5b48ba772c5461666b0f6a82df7e04a5,Truthseeker,cpu,5b48ba772c5461666b0f6a82df7e04a5,5b48ba772c5461666b0f6a82df7e04a5,k-Logistic,5b48ba772c5461666b0f6a82df7e04a5,5b48ba772c5461666b0f6a82df7e04a5,0.5675,14.938178711291334,cpu,1725879298.7665985,1725879268.390374,31.06299541,0.077657488525,cpu,1725879268.390299,1725879241.917139,22.60099876,0.04520199752,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,400,500,deckard.base.files.FileConfig,data,acf9ca615b64cb1134d8bd7f0e9cc677,.pkl,truthseeker,5b48ba772c5461666b0f6a82df7e04a5,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,400,500,BotScoreBinary,0.7484936422806168,balanced,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.3680355172253724e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
5bf68acc93c4ea3ddcfc0ca0dda367ee,train,deckard.base.experiment.Experiment,5bf68acc93c4ea3ddcfc0ca0dda367ee,Truthseeker,cpu,5bf68acc93c4ea3ddcfc0ca0dda367ee,5bf68acc93c4ea3ddcfc0ca0dda367ee,k-Logistic,5bf68acc93c4ea3ddcfc0ca0dda367ee,5bf68acc93c4ea3ddcfc0ca0dda367ee,0.565,15.024531649259336,cpu,1727419435.0168564,1727419420.524341,14.8842808,0.037210702,cpu,1727419420.524264,1727419408.8591518,12.05651302,0.02411302604,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,8,True,True,400,500,deckard.base.files.FileConfig,data,a463fe31d236837f5e74f8928704bff6,.pkl,truthseeker,5bf68acc93c4ea3ddcfc0ca0dda367ee,predictions.json,reports/modified/gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,8,True,True,400,500,BotScoreBinary,126.44566572429696,,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,3.932986438720853e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
5c07389b9a19fbb84af2b65bf9c0c2fa,train,deckard.base.experiment.Experiment,5c07389b9a19fbb84af2b65bf9c0c2fa,Truthseeker,cpu,5c07389b9a19fbb84af2b65bf9c0c2fa,5c07389b9a19fbb84af2b65bf9c0c2fa,k-Logistic,5c07389b9a19fbb84af2b65bf9c0c2fa,5c07389b9a19fbb84af2b65bf9c0c2fa,0.565,15.024533648252914,cpu,1725878429.895131,1725878397.6605055,28.351994,0.070879985,cpu,1725878397.6604283,1725878375.8149033,22.45453024,0.04490906048,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,500,deckard.base.files.FileConfig,data,bb6edce29ee76b848c2884c654f5d3e2,.pkl,truthseeker,5c07389b9a19fbb84af2b65bf9c0c2fa,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,500,BotScoreBinary,0.5401693742599615,balanced,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.3819018217996038e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
5d638b19b7de7d39dfd720be63f58fe7,train,deckard.base.experiment.Experiment,5d638b19b7de7d39dfd720be63f58fe7,Truthseeker,cpu,5d638b19b7de7d39dfd720be63f58fe7,5d638b19b7de7d39dfd720be63f58fe7,k-Logistic,5d638b19b7de7d39dfd720be63f58fe7,5d638b19b7de7d39dfd720be63f58fe7,0.45,18.99655490246848,cpu,1725880666.7420547,1725880635.8886552,31.60544398,0.07901360995,cpu,1725880635.8883696,1725880605.131496,22.22728032,0.04445456064,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,6,True,True,400,500,deckard.base.files.FileConfig,data,da135e52b0fd0956c3dc3e502da68f6e,.pkl,truthseeker,5d638b19b7de7d39dfd720be63f58fe7,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,6,True,True,400,500,BotScoreBinary,2.069836905130532,balanced,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.7679220604679535e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
5e517d8177c07c4f4cf983a65ecf5db5,train,deckard.base.experiment.Experiment,5e517d8177c07c4f4cf983a65ecf5db5,Truthseeker,cpu,5e517d8177c07c4f4cf983a65ecf5db5,5e517d8177c07c4f4cf983a65ecf5db5,k-Logistic,5e517d8177c07c4f4cf983a65ecf5db5,5e517d8177c07c4f4cf983a65ecf5db5,0.5625,15.110882588233762,cpu,1725878431.4047494,1725878396.7903695,30.89087627,0.077227190675,cpu,1725878396.790283,1725878375.7728589,21.48465881,0.04296931762,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,500,deckard.base.files.FileConfig,data,bb6edce29ee76b848c2884c654f5d3e2,.pkl,truthseeker,5e517d8177c07c4f4cf983a65ecf5db5,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,500,BotScoreBinary,0.548785938348791,balanced,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.4517711805450914e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
52f3164c2824276707246fc3b5c4a569,train,deckard.base.experiment.Experiment,52f3164c2824276707246fc3b5c4a569,Truthseeker,cpu,52f3164c2824276707246fc3b5c4a569,52f3164c2824276707246fc3b5c4a569,k-Logistic,52f3164c2824276707246fc3b5c4a569,52f3164c2824276707246fc3b5c4a569,0.5625,15.110882588233762,cpu,1727419304.4164114,1727419289.8240857,15.04524491,0.037613112275,cpu,1727419289.8240044,1727419278.204076,11.96095677,0.02392191354,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,500,deckard.base.files.FileConfig,data,bb6edce29ee76b848c2884c654f5d3e2,.pkl,truthseeker,52f3164c2824276707246fc3b5c4a569,predictions.json,reports/modified/gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,500,BotScoreBinary,60.471909119655656,balanced,True,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,1.6277137698011742e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
5f0ed6e8c2d047dd5cdbe80fb3c70bb5,train,deckard.base.experiment.Experiment,5f0ed6e8c2d047dd5cdbe80fb3c70bb5,Truthseeker,cpu,5f0ed6e8c2d047dd5cdbe80fb3c70bb5,5f0ed6e8c2d047dd5cdbe80fb3c70bb5,k-Logistic,5f0ed6e8c2d047dd5cdbe80fb3c70bb5,5f0ed6e8c2d047dd5cdbe80fb3c70bb5,0.565,15.02453364825291,cpu,1725879149.909697,1725879114.4632783,31.78846162,0.07947115405,cpu,1725879114.4631977,1725879091.6527898,23.37536805,0.0467507361,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,500,deckard.base.files.FileConfig,data,bb6edce29ee76b848c2884c654f5d3e2,.pkl,truthseeker,5f0ed6e8c2d047dd5cdbe80fb3c70bb5,predictions.json,reports/modified//gzip_logistic/500/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,500,BotScoreBinary,0.1863929962748622,balanced,False,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,1.5989374160585275e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
