,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
baaf900f2a3f3c9986daf57899104f45,train,deckard.base.experiment.Experiment,baaf900f2a3f3c9986daf57899104f45,Truthseeker,cpu,baaf900f2a3f3c9986daf57899104f45,baaf900f2a3f3c9986daf57899104f45,k-KNN,baaf900f2a3f3c9986daf57899104f45,baaf900f2a3f3c9986daf57899104f45,0.45,18.996562898442782,cpu,1727425736.3329525,1727425735.7483864,0.61106495,0.001527662375,cpu,1727425735.7482362,1727425735.6472862,0.10327451,0.0051637255,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,5,True,True,400,20,deckard.base.files.FileConfig,data,b9ee3dc6319c7692a89edca281e80aa8,.pkl,truthseeker,baaf900f2a3f3c9986daf57899104f45,predictions.json,reports/modified/gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,5,True,True,400,20,BotScoreBinary,brute,3,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
ba9e67c19ac3e11e8f88663091234a43,train,deckard.base.experiment.Experiment,ba9e67c19ac3e11e8f88663091234a43,Truthseeker,cpu,ba9e67c19ac3e11e8f88663091234a43,ba9e67c19ac3e11e8f88663091234a43,k-KNN,ba9e67c19ac3e11e8f88663091234a43,ba9e67c19ac3e11e8f88663091234a43,0.4575,18.73765600805051,cpu,1727425812.2664506,1727425801.4588456,11.05509184,0.0276377296,cpu,1727425801.4587138,1727425801.116181,0.34423055,0.0172115275,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,20,deckard.base.files.FileConfig,data,e596d5ae2b9aca0ee1e5d2a9e3992cc0,.pkl,truthseeker,ba9e67c19ac3e11e8f88663091234a43,predictions.json,reports/modified/gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,20,BotScoreBinary,brute,7,1,SeqRatio,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
ba57d51254c3cae826d0d7afd5c53ac9,train,deckard.base.experiment.Experiment,ba57d51254c3cae826d0d7afd5c53ac9,Truthseeker,cpu,ba57d51254c3cae826d0d7afd5c53ac9,ba57d51254c3cae826d0d7afd5c53ac9,k-KNN,ba57d51254c3cae826d0d7afd5c53ac9,ba57d51254c3cae826d0d7afd5c53ac9,0.5025,17.183319116575056,cpu,1727425663.3064425,1727425662.7811508,0.54631212,0.0013657803,cpu,1727425662.781034,1727425662.6523955,0.12716365,0.0063581825,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,9,True,True,400,20,deckard.base.files.FileConfig,data,46e505f845e5aa943e6ba65b9643a064,.pkl,truthseeker,ba57d51254c3cae826d0d7afd5c53ac9,predictions.json,reports/modified/gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,9,True,True,400,20,BotScoreBinary,brute,1,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
b873b05f04e61aaf0e9520f33a1fce61,train,deckard.base.experiment.Experiment,b873b05f04e61aaf0e9520f33a1fce61,Truthseeker,cpu,b873b05f04e61aaf0e9520f33a1fce61,b873b05f04e61aaf0e9520f33a1fce61,k-KNN,b873b05f04e61aaf0e9520f33a1fce61,b873b05f04e61aaf0e9520f33a1fce61,0.49,17.61487191309607,cpu,1727425801.7098188,1727425801.1468956,0.58053608,0.0014513402,cpu,1727425801.146771,1727425801.104202,0.04319464,0.002159732,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,4,True,True,400,20,deckard.base.files.FileConfig,data,5fd677636b3277f24cc8b9edc171d053,.pkl,truthseeker,b873b05f04e61aaf0e9520f33a1fce61,predictions.json,reports/modified/gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,4,True,True,400,20,BotScoreBinary,brute,5,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
b587f33f25bb0a1e96f119d7b2751717,train,deckard.base.experiment.Experiment,b587f33f25bb0a1e96f119d7b2751717,Truthseeker,cpu,b587f33f25bb0a1e96f119d7b2751717,b587f33f25bb0a1e96f119d7b2751717,k-KNN,b587f33f25bb0a1e96f119d7b2751717,b587f33f25bb0a1e96f119d7b2751717,0.49,17.615111792325127,cpu,1727425655.3841112,1727425654.7133732,0.72193092,0.0018048273,cpu,1727425654.7130818,1727425654.6060336,0.10848109,0.0054240545,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,9,True,True,400,20,deckard.base.files.FileConfig,data,46e505f845e5aa943e6ba65b9643a064,.pkl,truthseeker,b587f33f25bb0a1e96f119d7b2751717,predictions.json,reports/modified/gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,9,True,True,400,20,BotScoreBinary,brute,5,1,Ratio,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
b583544665b102125a274ea1ad4b3925,train,deckard.base.experiment.Experiment,b583544665b102125a274ea1ad4b3925,Truthseeker,cpu,b583544665b102125a274ea1ad4b3925,b583544665b102125a274ea1ad4b3925,k-KNN,b583544665b102125a274ea1ad4b3925,b583544665b102125a274ea1ad4b3925,0.515,16.75156042371577,cpu,1727425616.933854,1727425615.823246,1.31607033,0.003290175825,cpu,1727425615.8230634,1727425615.6470942,0.18933044,0.009466522,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,5,True,True,400,20,deckard.base.files.FileConfig,data,b9ee3dc6319c7692a89edca281e80aa8,.pkl,truthseeker,b583544665b102125a274ea1ad4b3925,predictions.json,reports/modified/gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,5,True,True,400,20,BotScoreBinary,brute,3,1,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
b51c8978a48566087dfd01f44d007a20,train,deckard.base.experiment.Experiment,b51c8978a48566087dfd01f44d007a20,Truthseeker,cpu,b51c8978a48566087dfd01f44d007a20,b51c8978a48566087dfd01f44d007a20,k-KNN,b51c8978a48566087dfd01f44d007a20,b51c8978a48566087dfd01f44d007a20,0.5125,16.83790936369662,cpu,1727425607.973775,1727425607.4004345,0.59123311,0.001478082775,cpu,1727425607.4000936,1727425607.3144307,0.08382923,0.0041914615,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,5,True,True,400,20,deckard.base.files.FileConfig,data,b9ee3dc6319c7692a89edca281e80aa8,.pkl,truthseeker,b51c8978a48566087dfd01f44d007a20,predictions.json,reports/modified/gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,5,True,True,400,20,BotScoreBinary,brute,11,1,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
bdb96ad297e6b14d1cba319a255946e9,train,deckard.base.experiment.Experiment,bdb96ad297e6b14d1cba319a255946e9,Truthseeker,cpu,bdb96ad297e6b14d1cba319a255946e9,bdb96ad297e6b14d1cba319a255946e9,k-KNN,bdb96ad297e6b14d1cba319a255946e9,bdb96ad297e6b14d1cba319a255946e9,0.5225,16.492461629940248,cpu,1725757620.4621923,1725757618.434122,2.8639032,0.007159758,cpu,1725757618.4340174,1725757618.2543554,0.20493493,0.0102467465,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,400,20,deckard.base.files.FileConfig,data,83a68d33fa9b9e108a85dc94131bcd37,.pkl,truthseeker,bdb96ad297e6b14d1cba319a255946e9,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,400,20,BotScoreBinary,brute,5,1,BZ2,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
0cefc1b3fd38ab9bed3b1c1b6a4cd829,train,deckard.base.experiment.Experiment,0cefc1b3fd38ab9bed3b1c1b6a4cd829,Truthseeker,cpu,0cefc1b3fd38ab9bed3b1c1b6a4cd829,0cefc1b3fd38ab9bed3b1c1b6a4cd829,k-KNN,0cefc1b3fd38ab9bed3b1c1b6a4cd829,0cefc1b3fd38ab9bed3b1c1b6a4cd829,0.4475,19.082903842449333,cpu,1725805617.7745357,1725805598.8556292,19.5305687,0.04882642175,cpu,1725805598.8552756,1725805591.4153292,7.62846521,0.0254282173666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,7,True,True,400,300,deckard.base.files.FileConfig,data,2fedfbf3528aa1992e323553419a5e13,.pkl,truthseeker,0cefc1b3fd38ab9bed3b1c1b6a4cd829,predictions.json,reports/modified//gzip_knn/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,7,True,True,400,300,BotScoreBinary,brute,7,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
0ff67dbac7e12866bceda857c5613b77,train,deckard.base.experiment.Experiment,0ff67dbac7e12866bceda857c5613b77,Truthseeker,cpu,0ff67dbac7e12866bceda857c5613b77,0ff67dbac7e12866bceda857c5613b77,k-KNN,0ff67dbac7e12866bceda857c5613b77,0ff67dbac7e12866bceda857c5613b77,0.56,15.197271508086128,cpu,1725806405.990404,1725806379.9406526,37.81862392,0.0945465598,cpu,1725806379.9404483,1725806369.6530983,14.64785142,0.0488261714,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,4,True,True,400,300,deckard.base.files.FileConfig,data,68491e4f3cf32997fd7b2c61da0942d0,.pkl,truthseeker,0ff67dbac7e12866bceda857c5613b77,predictions.json,reports/modified//gzip_knn/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,4,True,True,400,300,BotScoreBinary,brute,7,1,BZ2,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
130b411c41f6648433df8a4d79cfbbf3,train,deckard.base.experiment.Experiment,130b411c41f6648433df8a4d79cfbbf3,Truthseeker,cpu,130b411c41f6648433df8a4d79cfbbf3,130b411c41f6648433df8a4d79cfbbf3,k-KNN,130b411c41f6648433df8a4d79cfbbf3,130b411c41f6648433df8a4d79cfbbf3,0.5,17.269432175314,cpu,1725806356.2380495,1725806339.5139284,17.06162583,0.042654064575,cpu,1725806339.5134215,1725806333.3392763,6.2599126,0.0208663753333333,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,5,True,True,400,300,deckard.base.files.FileConfig,data,41f02c92ff8d10f434bd962a3fa77150,.pkl,truthseeker,130b411c41f6648433df8a4d79cfbbf3,predictions.json,reports/modified//gzip_knn/300/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,5,True,True,400,300,BotScoreBinary,brute,7,1,Ratio,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
86541b7b5dee50c854508e8359d570fa,train,deckard.base.experiment.Experiment,86541b7b5dee50c854508e8359d570fa,Truthseeker,cpu,86541b7b5dee50c854508e8359d570fa,86541b7b5dee50c854508e8359d570fa,k-KNN,86541b7b5dee50c854508e8359d570fa,86541b7b5dee50c854508e8359d570fa,0.5425,15.80169209902276,cpu,1725876991.673323,1725876948.4889507,44.23690453,0.110592261325,cpu,1725876948.4885442,1725876918.615598,29.09354567,0.05818709134,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,500,deckard.base.files.FileConfig,data,bb6edce29ee76b848c2884c654f5d3e2,.pkl,truthseeker,86541b7b5dee50c854508e8359d570fa,predictions.json,reports/modified//gzip_knn/500/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,500,BotScoreBinary,brute,11,1,GZIP,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
7d6c4671eb9ca0fa1bc043700c17dadd,train,deckard.base.experiment.Experiment,7d6c4671eb9ca0fa1bc043700c17dadd,Truthseeker,cpu,7d6c4671eb9ca0fa1bc043700c17dadd,7d6c4671eb9ca0fa1bc043700c17dadd,k-KNN,7d6c4671eb9ca0fa1bc043700c17dadd,7d6c4671eb9ca0fa1bc043700c17dadd,0.5225,16.492481619876003,cpu,1725876907.1715791,1725876528.913319,406.39264381,1.015981609525,cpu,1725876528.9130938,1725876283.1504104,261.12666995,0.5222533399,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,3,True,True,400,500,deckard.base.files.FileConfig,data,fbaaa7f800605538614052bdab458fe5,.pkl,truthseeker,7d6c4671eb9ca0fa1bc043700c17dadd,predictions.json,reports/modified//gzip_knn/500/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,3,True,True,400,500,BotScoreBinary,brute,7,1,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
