,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.gamma,model.init.kernel,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
6c6f576a669fb9e9b7c4e496c06b8cd5,train,deckard.base.experiment.Experiment,6c6f576a669fb9e9b7c4e496c06b8cd5,Truthseeker,cpu,6c6f576a669fb9e9b7c4e496c06b8cd5,6c6f576a669fb9e9b7c4e496c06b8cd5,k-SVC,6c6f576a669fb9e9b7c4e496c06b8cd5,6c6f576a669fb9e9b7c4e496c06b8cd5,0.505,17.096974174581355,cpu,1725758263.887355,1725758262.6415884,1.28596159,0.003214903975,cpu,1725758262.6412811,1725758262.5324652,0.11174224,0.005587112,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,4,True,True,400,20,deckard.base.files.FileConfig,data,5fd677636b3277f24cc8b9edc171d053,.pkl,truthseeker,6c6f576a669fb9e9b7c4e496c06b8cd5,predictions.json,reports/modified//gzip_svc/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,4,True,True,400,20,BotScoreBinary,10.888251336133193,,scale,precomputed,1,Jaro,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
6ce524e386e08e3ddba45029c940f44f,train,deckard.base.experiment.Experiment,6ce524e386e08e3ddba45029c940f44f,Truthseeker,cpu,6ce524e386e08e3ddba45029c940f44f,6ce524e386e08e3ddba45029c940f44f,k-SVC,6ce524e386e08e3ddba45029c940f44f,6ce524e386e08e3ddba45029c940f44f,0.515,16.751654376413818,cpu,1727425456.8781476,1727425456.257616,0.65356287,0.001633907175,cpu,1727425456.2573605,1727425456.1806376,0.0798381,0.003991905,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,400,20,deckard.base.files.FileConfig,data,83a68d33fa9b9e108a85dc94131bcd37,.pkl,truthseeker,6ce524e386e08e3ddba45029c940f44f,predictions.json,reports/modified/gzip_svc/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,400,20,BotScoreBinary,3.897741469658285,,scale,rbf,1,Jaro-Winkler,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
6dac5b6b335623bf9346be72586a5bf3,train,deckard.base.experiment.Experiment,6dac5b6b335623bf9346be72586a5bf3,Truthseeker,cpu,6dac5b6b335623bf9346be72586a5bf3,6dac5b6b335623bf9346be72586a5bf3,k-SVC,6dac5b6b335623bf9346be72586a5bf3,6dac5b6b335623bf9346be72586a5bf3,0.515,16.751654376413818,cpu,1727425456.8389668,1727425456.2365766,0.63404773,0.001585119325,cpu,1727425456.2362962,1727425456.161743,0.07680009,0.0038400045,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,400,20,deckard.base.files.FileConfig,data,83a68d33fa9b9e108a85dc94131bcd37,.pkl,truthseeker,6dac5b6b335623bf9346be72586a5bf3,predictions.json,reports/modified/gzip_svc/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,400,20,BotScoreBinary,18.56440855647497,,scale,rbf,1,Jaro-Winkler,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
6e0ea1bb1ab7f01605914c6fde63b178,train,deckard.base.experiment.Experiment,6e0ea1bb1ab7f01605914c6fde63b178,Truthseeker,cpu,6e0ea1bb1ab7f01605914c6fde63b178,6e0ea1bb1ab7f01605914c6fde63b178,k-SVC,6e0ea1bb1ab7f01605914c6fde63b178,6e0ea1bb1ab7f01605914c6fde63b178,0.425,19.859932358636776,cpu,1725758338.2712457,1725758337.0993922,1.19987797,0.002999694925,cpu,1725758337.0992682,1725758336.9702115,0.13160395,0.0065801975,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,20,deckard.base.files.FileConfig,data,e596d5ae2b9aca0ee1e5d2a9e3992cc0,.pkl,truthseeker,6e0ea1bb1ab7f01605914c6fde63b178,predictions.json,reports/modified//gzip_svc/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,20,BotScoreBinary,2.8601478169926624,,auto,precomputed,1,Hamming,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
6fd2e4569c80d799aac7777b9d7a7606,train,deckard.base.experiment.Experiment,6fd2e4569c80d799aac7777b9d7a7606,Truthseeker,cpu,6fd2e4569c80d799aac7777b9d7a7606,6fd2e4569c80d799aac7777b9d7a7606,k-SVC,6fd2e4569c80d799aac7777b9d7a7606,6fd2e4569c80d799aac7777b9d7a7606,0.52,16.578866541741213,cpu,1727425465.1087875,1727425464.54517,0.58385002,0.00145962505,cpu,1727425464.5450146,1727425464.4591436,0.08911714,0.004455857,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,400,20,deckard.base.files.FileConfig,data,83a68d33fa9b9e108a85dc94131bcd37,.pkl,truthseeker,6fd2e4569c80d799aac7777b9d7a7606,predictions.json,reports/modified/gzip_svc/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,400,20,BotScoreBinary,1.2948808051642902,,scale,precomputed,1,Ratio,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
7033eb1bc653108670171d77747a872f,train,deckard.base.experiment.Experiment,7033eb1bc653108670171d77747a872f,Truthseeker,cpu,7033eb1bc653108670171d77747a872f,7033eb1bc653108670171d77747a872f,k-SVC,7033eb1bc653108670171d77747a872f,7033eb1bc653108670171d77747a872f,0.4325,19.600959501456515,cpu,1725758303.6970284,1725758291.954652,13.26550307,0.033163757675,cpu,1725758291.9544835,1725758291.4966238,0.49050697,0.0245253485,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,20,deckard.base.files.FileConfig,data,e596d5ae2b9aca0ee1e5d2a9e3992cc0,.pkl,truthseeker,7033eb1bc653108670171d77747a872f,predictions.json,reports/modified//gzip_svc/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,20,BotScoreBinary,0.0759343893637651,,auto,precomputed,1,LZMA,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
7224e55d44d56fc09b80ab0d07881a41,train,deckard.base.experiment.Experiment,7224e55d44d56fc09b80ab0d07881a41,Truthseeker,cpu,7224e55d44d56fc09b80ab0d07881a41,7224e55d44d56fc09b80ab0d07881a41,k-SVC,7224e55d44d56fc09b80ab0d07881a41,7224e55d44d56fc09b80ab0d07881a41,0.4775,18.046688576769046,cpu,1727425514.0141118,1727425513.448299,0.58374529,0.001459363225,cpu,1727425513.448012,1727425513.3555734,0.09615586,0.004807793,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,400,20,deckard.base.files.FileConfig,data,83a68d33fa9b9e108a85dc94131bcd37,.pkl,truthseeker,7224e55d44d56fc09b80ab0d07881a41,predictions.json,reports/modified/gzip_svc/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,400,20,BotScoreBinary,26.57032922671995,,auto,rbf,1,Jaro-Winkler,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
722d28407bb0a0a20169aff59a8c49e2,train,deckard.base.experiment.Experiment,722d28407bb0a0a20169aff59a8c49e2,Truthseeker,cpu,722d28407bb0a0a20169aff59a8c49e2,722d28407bb0a0a20169aff59a8c49e2,k-SVC,722d28407bb0a0a20169aff59a8c49e2,722d28407bb0a0a20169aff59a8c49e2,0.5125,16.83773745024913,cpu,1725758392.6114433,1725758391.1826124,1.49766502,0.00374416255,cpu,1725758391.182311,1725758391.0578997,0.11916077,0.0059580385,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,400,20,deckard.base.files.FileConfig,data,c6e90bd64f9eb81246d4b64fa1ed2ba3,.pkl,truthseeker,722d28407bb0a0a20169aff59a8c49e2,predictions.json,reports/modified//gzip_svc/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,400,20,BotScoreBinary,0.2642480339877219,balanced,scale,rbf,1,Jaro-Winkler,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
72a252a88d03e95ed13a5042d8493149,train,deckard.base.experiment.Experiment,72a252a88d03e95ed13a5042d8493149,Truthseeker,cpu,72a252a88d03e95ed13a5042d8493149,72a252a88d03e95ed13a5042d8493149,k-SVC,72a252a88d03e95ed13a5042d8493149,72a252a88d03e95ed13a5042d8493149,0.48,17.96043558847982,cpu,1727425576.601797,1727425576.0287173,0.59671969,0.001491799225,cpu,1727425576.0285752,1727425575.988979,0.04174513,0.0020872565,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,3,True,True,400,20,deckard.base.files.FileConfig,data,7b9730f3e31d952aea1da304c7315d31,.pkl,truthseeker,72a252a88d03e95ed13a5042d8493149,predictions.json,reports/modified/gzip_svc/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,3,True,True,400,20,BotScoreBinary,14.29610238473705,,auto,rbf,1,Jaro-Winkler,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
72d856d1ec9db5454a1e33086c6e60d9,train,deckard.base.experiment.Experiment,72d856d1ec9db5454a1e33086c6e60d9,Truthseeker,cpu,72d856d1ec9db5454a1e33086c6e60d9,72d856d1ec9db5454a1e33086c6e60d9,k-SVC,72d856d1ec9db5454a1e33086c6e60d9,72d856d1ec9db5454a1e33086c6e60d9,0.5,17.26978799617044,cpu,1727425448.865243,1727425448.1288311,0.79369067,0.001984226675,cpu,1727425448.1286604,1727425448.0355935,0.09668706,0.004834353,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,400,20,deckard.base.files.FileConfig,data,e596d5ae2b9aca0ee1e5d2a9e3992cc0,.pkl,truthseeker,72d856d1ec9db5454a1e33086c6e60d9,predictions.json,reports/modified/gzip_svc/20/modified_true/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,400,20,BotScoreBinary,12.389603694079955,,auto,rbf,1,Levenshtein,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
