,Unnamed: 0,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,train_time,train_time_per_sample,train_start_time,train_end_time,train_device,predict_time,predict_time_per_sample,predict_start_time,predict_end_time,predict_device,accuracy,log_loss,predictions,data._target_,data.generate.name,data.generate.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.art._target_,model.art.initialize.nb_classes,model.art.library,model.data._target_,model.data.generate.name,model.data.generate.target,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.init._target_,model.init.compressor,model.init.distance_matrix,model.init.k,model.init.m,model.init.method,model.init.metric,model.init.name,model.init.precompute,model.init.symmetric,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
41,6354a84a84a8ff61eb24cd96f1a1bafa,train,deckard.base.experiment.Experiment,6354a84a84a8ff61eb24cd96f1a1bafa,truthseeker,cpu,6354a84a84a8ff61eb24cd96f1a1bafa,6354a84a84a8ff61eb24cd96f1a1bafa,GzipClassifier,6354a84a84a8ff61eb24cd96f1a1bafa,6354a84a84a8ff61eb24cd96f1a1bafa,86.131230305,0.086131230305,1708249895.3011286,1708249975.5521083,cpu,67.509457161,0.067509457161,1708248687.0189626,1708248749.2795024,cpu,0.97,1.0361632918473211,truthseeker/reports/train/6354a84a84a8ff61eb24cd96f1a1bafa/predictions.json,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.files.FileConfig,truthseeker,6354a84a84a8ff61eb24cd96f1a1bafa,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,7,500,Sum,Levenshtein,gzip_classifier.GzipClassifier,False,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
42,6373753dc563eab8597e6ae42962ddcc,train,deckard.base.experiment.Experiment,6373753dc563eab8597e6ae42962ddcc,truthseeker,cpu,6373753dc563eab8597e6ae42962ddcc,6373753dc563eab8597e6ae42962ddcc,GzipClassifier,6373753dc563eab8597e6ae42962ddcc,6373753dc563eab8597e6ae42962ddcc,158.228580352,0.158228580352,1708262177.9631605,1708262307.391642,cpu,12.54902785,0.01254902785,1708259262.8049145,1708259273.3388712,cpu,0.43,19.68710254509909,truthseeker/reports/train/6373753dc563eab8597e6ae42962ddcc/predictions.json,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.files.FileConfig,truthseeker,6373753dc563eab8597e6ae42962ddcc,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,11,500,SVC,NCD,gzip_classifier.GzipClassifier,False,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
44,676b559192d34ad4779c6e2ee933295c,train,deckard.base.experiment.Experiment,676b559192d34ad4779c6e2ee933295c,truthseeker,cpu,676b559192d34ad4779c6e2ee933295c,676b559192d34ad4779c6e2ee933295c,GzipClassifier,676b559192d34ad4779c6e2ee933295c,676b559192d34ad4779c6e2ee933295c,82.856424994,0.082856424994,1708264952.138385,1708265029.6259482,cpu,23.674933048,0.023674933048,1708256885.2263737,1708256907.0223715,cpu,0.97,1.0361632918473211,truthseeker/reports/train/676b559192d34ad4779c6e2ee933295c/predictions.json,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.files.FileConfig,truthseeker,676b559192d34ad4779c6e2ee933295c,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.model.ModelInitializer,Pickle,,11,500,Medoid,NCD,gzip_classifier.GzipClassifier,False,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
45,67b15906fb518627a968c16b1710863a,train,deckard.base.experiment.Experiment,67b15906fb518627a968c16b1710863a,truthseeker,cpu,67b15906fb518627a968c16b1710863a,67b15906fb518627a968c16b1710863a,GzipClassifier,67b15906fb518627a968c16b1710863a,67b15906fb518627a968c16b1710863a,265.571718438,0.265571718438,1708257954.233824,1708258165.5908363,cpu,52.541928662,0.052541928662,1708258165.591973,1708258207.8043687,cpu,0.97,1.0361632919311523,truthseeker/reports/train/67b15906fb518627a968c16b1710863a/predictions.json,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.files.FileConfig,truthseeker,67b15906fb518627a968c16b1710863a,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,11,500,Medoid,NCD,gzip_classifier.GzipClassifier,False,False,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
46,6de2a9b7a4588f8348b28b977c88439b,train,deckard.base.experiment.Experiment,6de2a9b7a4588f8348b28b977c88439b,truthseeker,cpu,6de2a9b7a4588f8348b28b977c88439b,6de2a9b7a4588f8348b28b977c88439b,GzipClassifier,6de2a9b7a4588f8348b28b977c88439b,6de2a9b7a4588f8348b28b977c88439b,84.468881401,0.084468881401,1708249178.0478246,1708249256.5862412,cpu,7.229123853,0.007229123853,1708249256.587084,1708249263.4707582,cpu,0.97,1.0361632919311523,truthseeker/reports/train/6de2a9b7a4588f8348b28b977c88439b/predictions.json,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.files.FileConfig,truthseeker,6de2a9b7a4588f8348b28b977c88439b,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,5,20,Medoid,Jaro-Winkler,gzip_classifier.GzipClassifier,False,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
47,6f831042674fdca12d5012458ae77e79,train,deckard.base.experiment.Experiment,6f831042674fdca12d5012458ae77e79,truthseeker,cpu,6f831042674fdca12d5012458ae77e79,6f831042674fdca12d5012458ae77e79,GzipClassifier,6f831042674fdca12d5012458ae77e79,6f831042674fdca12d5012458ae77e79,134.913256238,0.134913256238,1708256056.4540029,1708256171.1048694,cpu,13.491003216,0.013491003216,1708256171.1061227,1708256183.6074598,cpu,0.97,1.0361632919311523,truthseeker/reports/train/6f831042674fdca12d5012458ae77e79/predictions.json,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.files.FileConfig,truthseeker,6f831042674fdca12d5012458ae77e79,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.model.ModelInitializer,Zstd,,11,50,Medoid,NCD,gzip_classifier.GzipClassifier,False,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
48,7373640c79c83f696bf6fd7f2b889376,train,deckard.base.experiment.Experiment,7373640c79c83f696bf6fd7f2b889376,truthseeker,cpu,7373640c79c83f696bf6fd7f2b889376,7373640c79c83f696bf6fd7f2b889376,GzipClassifier,7373640c79c83f696bf6fd7f2b889376,7373640c79c83f696bf6fd7f2b889376,87.019864974,0.087019864974,1708246634.3337576,1708246715.5104182,cpu,6.180259703,0.006180259703,1708246715.5123684,1708246721.5135937,cpu,0.97,1.0361632919311523,truthseeker/reports/train/7373640c79c83f696bf6fd7f2b889376/predictions.json,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.files.FileConfig,truthseeker,7373640c79c83f696bf6fd7f2b889376,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,5,10,Medoid,Jaro,gzip_classifier.GzipClassifier,False,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
49,784b60bad5c0847e353cd665f9a9ebb8,train,deckard.base.experiment.Experiment,784b60bad5c0847e353cd665f9a9ebb8,truthseeker,cpu,784b60bad5c0847e353cd665f9a9ebb8,784b60bad5c0847e353cd665f9a9ebb8,GzipClassifier,784b60bad5c0847e353cd665f9a9ebb8,784b60bad5c0847e353cd665f9a9ebb8,85.107800204,0.085107800204,1708244686.9168797,1708244766.4034014,cpu,67.965093171,0.067965093171,1708244766.4045267,1708244829.152501,cpu,0.96,1.3815510559082032,truthseeker/reports/train/784b60bad5c0847e353cd665f9a9ebb8/predictions.json,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.files.FileConfig,truthseeker,784b60bad5c0847e353cd665f9a9ebb8,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,7,500,Medoid,Hamming,gzip_classifier.GzipClassifier,False,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
50,795f62be92a8ee9a41b4e194de3e95e4,train,deckard.base.experiment.Experiment,795f62be92a8ee9a41b4e194de3e95e4,truthseeker,cpu,795f62be92a8ee9a41b4e194de3e95e4,795f62be92a8ee9a41b4e194de3e95e4,GzipClassifier,795f62be92a8ee9a41b4e194de3e95e4,795f62be92a8ee9a41b4e194de3e95e4,158.841719776,0.158841719776,1708258959.5101888,1708259089.27811,cpu,53.693375678,0.053693375678,1708259089.279313,1708259132.0417938,cpu,0.96,1.3815510559082032,truthseeker/reports/train/795f62be92a8ee9a41b4e194de3e95e4/predictions.json,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.files.FileConfig,truthseeker,795f62be92a8ee9a41b4e194de3e95e4,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,11,500,Sum,NCD,gzip_classifier.GzipClassifier,False,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
52,7d20ee6e13dd3733a81cb70544b7755f,train,deckard.base.experiment.Experiment,7d20ee6e13dd3733a81cb70544b7755f,truthseeker,cpu,7d20ee6e13dd3733a81cb70544b7755f,7d20ee6e13dd3733a81cb70544b7755f,GzipClassifier,7d20ee6e13dd3733a81cb70544b7755f,7d20ee6e13dd3733a81cb70544b7755f,86.479445558,0.086479445558,1708251659.7023911,1708251740.0627396,cpu,68.337560172,0.068337560172,1708247815.4479554,1708247878.311222,cpu,0.97,1.0361632918473211,truthseeker/reports/train/7d20ee6e13dd3733a81cb70544b7755f/predictions.json,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.files.FileConfig,truthseeker,7d20ee6e13dd3733a81cb70544b7755f,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,11,500,Medoid,Levenshtein,gzip_classifier.GzipClassifier,False,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
