,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.gamma,model.init.kernel,Condensing Ratio,Metric,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified
5816ddaae80643741f5ef6326fafcc5b,train,deckard.base.experiment.Experiment,5816ddaae80643741f5ef6326fafcc5b,DDoS,cpu,5816ddaae80643741f5ef6326fafcc5b,5816ddaae80643741f5ef6326fafcc5b,k-SVC,5816ddaae80643741f5ef6326fafcc5b,5816ddaae80643741f5ef6326fafcc5b,1.0,9.992007221626413e-16,cpu,1725631413.5512528,1725631409.4524486,4.57566954,0.0457566954,cpu,1725631409.4522588,1725631405.3497102,4.58939513,0.0458939513,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,100,deckard.base.files.FileConfig,data,b49075cf249ba3cf7662da175b35658c,.pkl,ddos,5816ddaae80643741f5ef6326fafcc5b,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,100,Label,46.91922840404366,,scale,rbf,1,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
593a33bb965f02b10aa7eccb0d141bd1,train,deckard.base.experiment.Experiment,593a33bb965f02b10aa7eccb0d141bd1,DDoS,cpu,593a33bb965f02b10aa7eccb0d141bd1,593a33bb965f02b10aa7eccb0d141bd1,k-SVC,593a33bb965f02b10aa7eccb0d141bd1,593a33bb965f02b10aa7eccb0d141bd1,0.5,17.269388197455342,cpu,1725631118.5683472,1725631115.117834,3.5200738,0.035200738,cpu,1725631115.1174448,1725631111.7725763,3.40999705,0.0340999705,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,100,deckard.base.files.FileConfig,data,b49075cf249ba3cf7662da175b35658c,.pkl,ddos,593a33bb965f02b10aa7eccb0d141bd1,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,100,Label,109.48025020938964,,auto,rbf,1,Jaro,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
59e9836eaec4a422a27ef965c4790993,train,deckard.base.experiment.Experiment,59e9836eaec4a422a27ef965c4790993,DDoS,cpu,59e9836eaec4a422a27ef965c4790993,59e9836eaec4a422a27ef965c4790993,k-SVC,59e9836eaec4a422a27ef965c4790993,59e9836eaec4a422a27ef965c4790993,1.0,9.992007221626413e-16,cpu,1725631162.9914718,1725631158.8837807,4.58938882,0.0458938882,cpu,1725631158.8834634,1725631154.6905084,4.71790182,0.0471790182,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,8,True,True,100,100,deckard.base.files.FileConfig,data,cd984976d55fd7c4d2a8b148f1cb7395,.pkl,ddos,59e9836eaec4a422a27ef965c4790993,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,8,True,True,100,100,Label,51.78310019703023,,scale,rbf,1,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
5cb4cf9a458fd382fad351b43c9ce170,train,deckard.base.experiment.Experiment,5cb4cf9a458fd382fad351b43c9ce170,DDoS,cpu,5cb4cf9a458fd382fad351b43c9ce170,5cb4cf9a458fd382fad351b43c9ce170,k-SVC,5cb4cf9a458fd382fad351b43c9ce170,5cb4cf9a458fd382fad351b43c9ce170,0.5,17.269388197455342,cpu,1725631401.2206712,1725631398.151274,3.1418992,0.031418992,cpu,1725631398.1511471,1725631395.116158,3.10159377,0.0310159377,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,100,deckard.base.files.FileConfig,data,b49075cf249ba3cf7662da175b35658c,.pkl,ddos,5cb4cf9a458fd382fad351b43c9ce170,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,100,Label,120.83655363255023,,scale,rbf,1,Hamming,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
49a861a5f0f2c1b16168327bf82574ae,train,deckard.base.experiment.Experiment,49a861a5f0f2c1b16168327bf82574ae,DDoS,cpu,49a861a5f0f2c1b16168327bf82574ae,49a861a5f0f2c1b16168327bf82574ae,k-SVC,49a861a5f0f2c1b16168327bf82574ae,49a861a5f0f2c1b16168327bf82574ae,0.5,17.269388197455342,cpu,1725631474.04661,1725631470.7086625,3.41521566,0.0341521566,cpu,1725631470.708428,1725631466.9914246,3.84406298,0.0384406298,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,100,deckard.base.files.FileConfig,data,b49075cf249ba3cf7662da175b35658c,.pkl,ddos,49a861a5f0f2c1b16168327bf82574ae,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,100,Label,180.07177961628156,,scale,rbf,1,Jaro,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
5f8fbe49e821d5c34196b9e20c5b26c4,train,deckard.base.experiment.Experiment,5f8fbe49e821d5c34196b9e20c5b26c4,DDoS,cpu,5f8fbe49e821d5c34196b9e20c5b26c4,5f8fbe49e821d5c34196b9e20c5b26c4,k-SVC,5f8fbe49e821d5c34196b9e20c5b26c4,5f8fbe49e821d5c34196b9e20c5b26c4,0.29,24.52282709143576,cpu,1725631147.8116496,1725631130.0027142,21.23457519,0.2123457519,cpu,1725631130.0026412,1725631111.7678638,21.67418385,0.2167418385,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,100,deckard.base.files.FileConfig,data,b49075cf249ba3cf7662da175b35658c,.pkl,ddos,5f8fbe49e821d5c34196b9e20c5b26c4,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,100,Label,115.92826666590577,,auto,precomputed,1,LZMA,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
5fe574ca5cee6ea3be92366f6e65e8fe,train,deckard.base.experiment.Experiment,5fe574ca5cee6ea3be92366f6e65e8fe,DDoS,cpu,5fe574ca5cee6ea3be92366f6e65e8fe,5fe574ca5cee6ea3be92366f6e65e8fe,k-SVC,5fe574ca5cee6ea3be92366f6e65e8fe,5fe574ca5cee6ea3be92366f6e65e8fe,1.0,9.992007221626413e-16,cpu,1725631424.600972,1725631420.3882904,4.70224592,0.0470224592,cpu,1725631420.3881438,1725631416.1701307,4.72005606,0.0472005606,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,100,100,deckard.base.files.FileConfig,data,6a13d6f380f9f52a857535a72d181ee9,.pkl,ddos,5fe574ca5cee6ea3be92366f6e65e8fe,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,100,100,Label,186.36480328468895,,auto,rbf,1,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
6296226902d87dca11773ecd3b45d25b,train,deckard.base.experiment.Experiment,6296226902d87dca11773ecd3b45d25b,DDoS,cpu,6296226902d87dca11773ecd3b45d25b,6296226902d87dca11773ecd3b45d25b,k-SVC,6296226902d87dca11773ecd3b45d25b,6296226902d87dca11773ecd3b45d25b,1.0,9.992007221626413e-16,cpu,1725631733.361671,1725631729.2504432,4.57174302,0.0457174302,cpu,1725631729.2503157,1725631724.8544402,4.8923098,0.048923098,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,100,deckard.base.files.FileConfig,data,b49075cf249ba3cf7662da175b35658c,.pkl,ddos,6296226902d87dca11773ecd3b45d25b,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,100,Label,150.11609312066082,,auto,rbf,1,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
63ccb4495e408a89d80156d76169d44e,train,deckard.base.experiment.Experiment,63ccb4495e408a89d80156d76169d44e,DDoS,cpu,63ccb4495e408a89d80156d76169d44e,63ccb4495e408a89d80156d76169d44e,k-SVC,63ccb4495e408a89d80156d76169d44e,63ccb4495e408a89d80156d76169d44e,1.0,9.992007221626413e-16,cpu,1725631733.1817646,1725631729.0290544,4.62859826,0.0462859826,cpu,1725631729.028919,1725631724.886247,4.59961287,0.0459961287,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,100,deckard.base.files.FileConfig,data,b49075cf249ba3cf7662da175b35658c,.pkl,ddos,63ccb4495e408a89d80156d76169d44e,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,100,Label,95.60593865682624,,auto,rbf,1,GZIP,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
6466992037348af5dd6518a20d7caf7e,train,deckard.base.experiment.Experiment,6466992037348af5dd6518a20d7caf7e,DDoS,cpu,6466992037348af5dd6518a20d7caf7e,6466992037348af5dd6518a20d7caf7e,k-SVC,6466992037348af5dd6518a20d7caf7e,6466992037348af5dd6518a20d7caf7e,0.5,17.269388197455342,cpu,1725631401.5827706,1725631398.395184,3.27338658,0.0327338658,cpu,1725631398.395022,1725631395.0938275,3.37128254,0.0337128254,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,100,deckard.base.files.FileConfig,data,b49075cf249ba3cf7662da175b35658c,.pkl,ddos,6466992037348af5dd6518a20d7caf7e,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,100,Label,99.8026618056885,,scale,rbf,1,Ratio,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
