,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data._target_,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.data._target_,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init._target_,model.init.algorithm,model.init.k,model.init.m,model.init.metric,model.init.name,model.init.precompute,model.init.symmetric,model.init.weights,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
be3e8801621194b87f3096aaaee4da07,train,deckard.base.experiment.Experiment,be3e8801621194b87f3096aaaee4da07,DDoS,cpu,be3e8801621194b87f3096aaaee4da07,be3e8801621194b87f3096aaaee4da07,k-KNN,be3e8801621194b87f3096aaaee4da07,be3e8801621194b87f3096aaaee4da07,0.87,4.490144879004316,cpu,1721649316.7657013,1721649310.5403166,7.19131236,0.0719131236,cpu,1721649310.5401907,1721649309.2293353,1.50582418,0.075291209,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9762,True,True,100,20,deckard.base.files.FileConfig,.csv,ddos,be3e8801621194b87f3096aaaee4da07,predictions.json,reports/gzip_knn/20,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9762,True,True,100,20,Label,deckard.base.model.ModelInitializer,brute,5,1,GZIP,gzip_classifier.GzipKNN,True,Asymmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
c4c9a14988c7bc61b18dd3b24c275311,train,deckard.base.experiment.Experiment,c4c9a14988c7bc61b18dd3b24c275311,DDoS,cpu,c4c9a14988c7bc61b18dd3b24c275311,c4c9a14988c7bc61b18dd3b24c275311,k-KNN,c4c9a14988c7bc61b18dd3b24c275311,c4c9a14988c7bc61b18dd3b24c275311,0.86,4.835540638927724,cpu,1721396962.7234323,1721396956.7116618,6.94539611,0.0694539611,cpu,1721396956.7115324,1721396955.444964,1.4473821,0.072369105,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4536,True,True,100,20,deckard.base.files.FileConfig,.csv,ddos,c4c9a14988c7bc61b18dd3b24c275311,predictions.json,reports/gzip_knn/20,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4536,True,True,100,20,Label,deckard.base.model.ModelInitializer,brute,7,1,GZIP,gzip_classifier.GzipKNN,True,Asymmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
be01552eb2557b79bbfb035db2a41e2a,train,deckard.base.experiment.Experiment,be01552eb2557b79bbfb035db2a41e2a,DDoS,cpu,be01552eb2557b79bbfb035db2a41e2a,be01552eb2557b79bbfb035db2a41e2a,k-KNN,be01552eb2557b79bbfb035db2a41e2a,be01552eb2557b79bbfb035db2a41e2a,0.86,4.835508655030516,cpu,1721649425.456565,1721649419.6115596,6.70520795,0.0670520795,cpu,1721649419.6114376,1721649418.3325942,1.45881478,0.072940739,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,37,True,True,100,20,deckard.base.files.FileConfig,.csv,ddos,be01552eb2557b79bbfb035db2a41e2a,predictions.json,reports/gzip_knn/20,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,37,True,True,100,20,Label,deckard.base.model.ModelInitializer,brute,11,1,ZSTD,gzip_classifier.GzipKNN,True,Asymmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
c7b70bf3d3bd053f78635ed0935f2b43,train,deckard.base.experiment.Experiment,c7b70bf3d3bd053f78635ed0935f2b43,DDoS,cpu,c7b70bf3d3bd053f78635ed0935f2b43,c7b70bf3d3bd053f78635ed0935f2b43,k-KNN,c7b70bf3d3bd053f78635ed0935f2b43,c7b70bf3d3bd053f78635ed0935f2b43,0.75,8.63473407859918,cpu,1721649409.860634,1721649403.841195,7.26816424,0.0726816424,cpu,1721649403.8410535,1721649402.6059408,1.37003415,0.0685017075,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,5388,True,True,100,20,deckard.base.files.FileConfig,.csv,ddos,c7b70bf3d3bd053f78635ed0935f2b43,predictions.json,reports/gzip_knn/20,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,5388,True,True,100,20,Label,deckard.base.model.ModelInitializer,brute,5,1,BZ2,gzip_classifier.GzipKNN,True,Symmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
c8dd917c8aa8b2dcb68fcdbcf8d011d6,train,deckard.base.experiment.Experiment,c8dd917c8aa8b2dcb68fcdbcf8d011d6,DDoS,cpu,c8dd917c8aa8b2dcb68fcdbcf8d011d6,c8dd917c8aa8b2dcb68fcdbcf8d011d6,k-KNN,c8dd917c8aa8b2dcb68fcdbcf8d011d6,c8dd917c8aa8b2dcb68fcdbcf8d011d6,0.94,2.072374559540453,cpu,1721396710.121888,1721396704.0836744,6.96766317,0.0696766317,cpu,1721396704.0835686,1721396702.7811484,1.47594182,0.073797091,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,1411,True,True,100,20,deckard.base.files.FileConfig,.csv,ddos,c8dd917c8aa8b2dcb68fcdbcf8d011d6,predictions.json,reports/gzip_knn/20,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,1411,True,True,100,20,Label,deckard.base.model.ModelInitializer,brute,11,1,GZIP,gzip_classifier.GzipKNN,True,Asymmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
d3fc095ee9cab4e7141df7cbe9b6a906,train,deckard.base.experiment.Experiment,d3fc095ee9cab4e7141df7cbe9b6a906,DDoS,cpu,d3fc095ee9cab4e7141df7cbe9b6a906,d3fc095ee9cab4e7141df7cbe9b6a906,k-KNN,d3fc095ee9cab4e7141df7cbe9b6a906,d3fc095ee9cab4e7141df7cbe9b6a906,0.47,18.30583134840323,cpu,1721649316.4535773,1721649310.3904629,6.77013473,0.0677013473,cpu,1721649310.3903322,1721649309.1734269,1.36260775,0.0681303875,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,730,True,True,100,20,deckard.base.files.FileConfig,.csv,ddos,d3fc095ee9cab4e7141df7cbe9b6a906,predictions.json,reports/gzip_knn/20,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,730,True,True,100,20,Label,deckard.base.model.ModelInitializer,brute,7,1,Jaro,gzip_classifier.GzipKNN,True,Asymmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
d3b6b34b52de22eda236a0f54c752baf,train,deckard.base.experiment.Experiment,d3b6b34b52de22eda236a0f54c752baf,DDoS,cpu,d3b6b34b52de22eda236a0f54c752baf,d3b6b34b52de22eda236a0f54c752baf,k-KNN,d3b6b34b52de22eda236a0f54c752baf,d3b6b34b52de22eda236a0f54c752baf,0.98,0.6907915198468184,cpu,1721649389.689144,1721649383.5713177,7.06606786,0.0706606786,cpu,1721649383.5711732,1721649382.3384464,1.34413828,0.067206914,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,1084,True,True,100,20,deckard.base.files.FileConfig,.csv,ddos,d3b6b34b52de22eda236a0f54c752baf,predictions.json,reports/gzip_knn/20,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,1084,True,True,100,20,Label,deckard.base.model.ModelInitializer,brute,1,1,GZIP,gzip_classifier.GzipKNN,True,Symmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
d2ff26a64b0354e39ce94ed699a9dc6e,train,deckard.base.experiment.Experiment,d2ff26a64b0354e39ce94ed699a9dc6e,DDoS,cpu,d2ff26a64b0354e39ce94ed699a9dc6e,d2ff26a64b0354e39ce94ed699a9dc6e,k-KNN,d2ff26a64b0354e39ce94ed699a9dc6e,d2ff26a64b0354e39ce94ed699a9dc6e,0.94,2.072374559540453,cpu,1721597658.812069,1721597653.2778742,6.42993467,0.0642993467,cpu,1721597653.2778068,1721597652.076537,1.3885915,0.069429575,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3449,True,True,100,20,deckard.base.files.FileConfig,.csv,ddos,d2ff26a64b0354e39ce94ed699a9dc6e,predictions.json,reports/gzip_knn/20,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3449,True,True,100,20,Label,deckard.base.model.ModelInitializer,brute,3,1,GZIP,gzip_classifier.GzipKNN,True,Asymmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
d1b45454bc8e7c58bfad15c628905a1f,train,deckard.base.experiment.Experiment,d1b45454bc8e7c58bfad15c628905a1f,DDoS,cpu,d1b45454bc8e7c58bfad15c628905a1f,d1b45454bc8e7c58bfad15c628905a1f,k-KNN,d1b45454bc8e7c58bfad15c628905a1f,d1b45454bc8e7c58bfad15c628905a1f,0.95,1.7269787996170447,cpu,1721649556.5644634,1721649550.6593611,6.61814786,0.0661814786,cpu,1721649550.6591954,1721649549.5344956,1.19893891,0.0599469455,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,933,True,True,100,20,deckard.base.files.FileConfig,.csv,ddos,d1b45454bc8e7c58bfad15c628905a1f,predictions.json,reports/gzip_knn/20,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,933,True,True,100,20,Label,deckard.base.model.ModelInitializer,brute,1,1,Levenshtein,gzip_classifier.GzipKNN,True,Symmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
cf6576152dfacb54d13c6e8423cccb7f,train,deckard.base.experiment.Experiment,cf6576152dfacb54d13c6e8423cccb7f,DDoS,cpu,cf6576152dfacb54d13c6e8423cccb7f,cf6576152dfacb54d13c6e8423cccb7f,k-KNN,cf6576152dfacb54d13c6e8423cccb7f,cf6576152dfacb54d13c6e8423cccb7f,0.29,24.52269915584693,cpu,1721396839.577366,1721396833.1479352,7.15626113,0.0715626113,cpu,1721396833.1477845,1721396831.8195553,1.40582587,0.0702912935,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,2982,True,True,100,20,deckard.base.files.FileConfig,.csv,ddos,cf6576152dfacb54d13c6e8423cccb7f,predictions.json,reports/gzip_knn/20,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,2982,True,True,100,20,Label,deckard.base.model.ModelInitializer,brute,5,1,Ratio,gzip_classifier.GzipKNN,True,Symmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
