,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified
c661f78147d92361ed737fd5f00d13f2,train,deckard.base.experiment.Experiment,c661f78147d92361ed737fd5f00d13f2,Truthseeker,cpu,c661f78147d92361ed737fd5f00d13f2,c661f78147d92361ed737fd5f00d13f2,k-KNN,c661f78147d92361ed737fd5f00d13f2,c661f78147d92361ed737fd5f00d13f2,0.47,18.305807360480323,cpu,1725736927.565396,1725736920.559427,11.73964844,0.1173964844,cpu,1725736920.559344,1725736904.6346526,28.02407904,0.05604815808,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,6,True,True,100,500,deckard.base.files.FileConfig,data,e9675e8bba4abacf540b89bedf754e63,.pkl,truthseeker,c661f78147d92361ed737fd5f00d13f2,predictions.json,reports/gzip_knn/500/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,6,True,True,100,500,BotScoreBinary,brute,11,1,BZ2,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
bcf24ccf7ee1fcaedfdd85f11e9056dd,train,deckard.base.experiment.Experiment,bcf24ccf7ee1fcaedfdd85f11e9056dd,Truthseeker,cpu,bcf24ccf7ee1fcaedfdd85f11e9056dd,bcf24ccf7ee1fcaedfdd85f11e9056dd,k-KNN,bcf24ccf7ee1fcaedfdd85f11e9056dd,bcf24ccf7ee1fcaedfdd85f11e9056dd,0.54,15.88804503699076,cpu,1725736661.1327224,1725736657.2577517,4.04286001,0.0404286001,cpu,1725736657.2574234,1725736648.1237442,9.42495933,0.01884991866,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,500,deckard.base.files.FileConfig,data,013977b613fd98e28012647dde33c003,.pkl,truthseeker,bcf24ccf7ee1fcaedfdd85f11e9056dd,predictions.json,reports/gzip_knn/500/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,500,BotScoreBinary,brute,7,1,Levenshtein,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
bb33f9bfad0564cd309988f3ca3e07d8,train,deckard.base.experiment.Experiment,bb33f9bfad0564cd309988f3ca3e07d8,Truthseeker,cpu,bb33f9bfad0564cd309988f3ca3e07d8,bb33f9bfad0564cd309988f3ca3e07d8,k-KNN,bb33f9bfad0564cd309988f3ca3e07d8,bb33f9bfad0564cd309988f3ca3e07d8,0.58,14.506485985220031,cpu,1725736618.6120777,1725736412.0849724,223.44798698,2.2344798698,cpu,1725736412.083151,1725735914.8827057,536.44967609,1.07289935218,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,1,True,True,100,500,deckard.base.files.FileConfig,data,c3da79af1a3742077e52e856931bbc46,.pkl,truthseeker,bb33f9bfad0564cd309988f3ca3e07d8,predictions.json,reports/gzip_knn/500/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,1,True,True,100,500,BotScoreBinary,brute,3,1,LZMA,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
b64a2db8559608179d7ce3f499980cef,train,deckard.base.experiment.Experiment,b64a2db8559608179d7ce3f499980cef,Truthseeker,cpu,b64a2db8559608179d7ce3f499980cef,b64a2db8559608179d7ce3f499980cef,k-KNN,b64a2db8559608179d7ce3f499980cef,b64a2db8559608179d7ce3f499980cef,0.52,16.57862066553143,cpu,1725737469.066546,1725737465.7461874,3.42943519,0.0342943519,cpu,1725737465.7457185,1725737457.2717097,8.81879728,0.01763759456,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,500,deckard.base.files.FileConfig,data,013977b613fd98e28012647dde33c003,.pkl,truthseeker,b64a2db8559608179d7ce3f499980cef,predictions.json,reports/gzip_knn/500/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,500,BotScoreBinary,brute,7,1,Ratio,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
b1d350228fcc1b75252cf6b240824066,train,deckard.base.experiment.Experiment,b1d350228fcc1b75252cf6b240824066,Truthseeker,cpu,b1d350228fcc1b75252cf6b240824066,b1d350228fcc1b75252cf6b240824066,k-KNN,b1d350228fcc1b75252cf6b240824066,b1d350228fcc1b75252cf6b240824066,0.58,14.506469993271429,cpu,1725738737.1990333,1725738604.7639918,144.71655902,1.4471655902,cpu,1725738604.763475,1725738271.8229718,362.93522642,0.72587045284,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,3,True,True,100,500,deckard.base.files.FileConfig,data,acb988c2db9337f5656fe56115109ae7,.pkl,truthseeker,b1d350228fcc1b75252cf6b240824066,predictions.json,reports/gzip_knn/500/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,3,True,True,100,500,BotScoreBinary,brute,3,1,LZMA,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
ab182afb15fbb3f6ba4f62621abe989e,train,deckard.base.experiment.Experiment,ab182afb15fbb3f6ba4f62621abe989e,Truthseeker,cpu,ab182afb15fbb3f6ba4f62621abe989e,ab182afb15fbb3f6ba4f62621abe989e,k-KNN,ab182afb15fbb3f6ba4f62621abe989e,ab182afb15fbb3f6ba4f62621abe989e,0.6,13.81571845329612,cpu,1725738736.4588146,1725738604.394541,144.59320361,1.4459320361,cpu,1725738604.394318,1725738271.7050176,363.23876842,0.72647753684,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,4,True,True,100,500,deckard.base.files.FileConfig,data,a197ea077744cef793bdaafbd9d07342,.pkl,truthseeker,ab182afb15fbb3f6ba4f62621abe989e,predictions.json,reports/gzip_knn/500/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,4,True,True,100,500,BotScoreBinary,brute,3,1,LZMA,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
098e26c3d7a5618aea1cc6c09ae145b8,train,deckard.base.experiment.Experiment,098e26c3d7a5618aea1cc6c09ae145b8,Truthseeker,cpu,098e26c3d7a5618aea1cc6c09ae145b8,098e26c3d7a5618aea1cc6c09ae145b8,k-KNN,098e26c3d7a5618aea1cc6c09ae145b8,098e26c3d7a5618aea1cc6c09ae145b8,0.57,14.851809781374728,cpu,1725737446.2190638,1725737442.6908572,3.63060432,0.0363060432,cpu,1725737442.690541,1725737433.5614958,9.42710092,0.01885420184,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,500,deckard.base.files.FileConfig,data,013977b613fd98e28012647dde33c003,.pkl,truthseeker,098e26c3d7a5618aea1cc6c09ae145b8,predictions.json,reports/gzip_knn/500/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,500,BotScoreBinary,brute,3,1,Jaro-Winkler,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
a69793dfcbbcbb8bcda21b58fdac48a8,train,deckard.base.experiment.Experiment,a69793dfcbbcbb8bcda21b58fdac48a8,Truthseeker,cpu,a69793dfcbbcbb8bcda21b58fdac48a8,a69793dfcbbcbb8bcda21b58fdac48a8,k-KNN,a69793dfcbbcbb8bcda21b58fdac48a8,a69793dfcbbcbb8bcda21b58fdac48a8,0.6,13.81558252173299,cpu,1725736927.982241,1725736921.161748,11.53443848,0.1153443848,cpu,1725736921.1616664,1725736904.6339548,28.52120736,0.05704241472,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,500,deckard.base.files.FileConfig,data,013977b613fd98e28012647dde33c003,.pkl,truthseeker,a69793dfcbbcbb8bcda21b58fdac48a8,predictions.json,reports/gzip_knn/500/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,500,BotScoreBinary,brute,5,1,BZ2,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
978e56aef4b408459c94cb89ffa04d4c,train,deckard.base.experiment.Experiment,978e56aef4b408459c94cb89ffa04d4c,Truthseeker,cpu,978e56aef4b408459c94cb89ffa04d4c,978e56aef4b408459c94cb89ffa04d4c,k-KNN,978e56aef4b408459c94cb89ffa04d4c,978e56aef4b408459c94cb89ffa04d4c,0.55,15.542697252913166,cpu,1725735910.3321097,1725735759.913797,163.34049847,1.6334049847,cpu,1725735759.9136195,1725735360.1911633,433.14186099,0.86628372198,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,500,deckard.base.files.FileConfig,data,013977b613fd98e28012647dde33c003,.pkl,truthseeker,978e56aef4b408459c94cb89ffa04d4c,predictions.json,reports/gzip_knn/500/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,500,BotScoreBinary,brute,7,1,LZMA,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
940269c45825fa5e3ea4260b66fc0bc7,train,deckard.base.experiment.Experiment,940269c45825fa5e3ea4260b66fc0bc7,Truthseeker,cpu,940269c45825fa5e3ea4260b66fc0bc7,940269c45825fa5e3ea4260b66fc0bc7,k-KNN,940269c45825fa5e3ea4260b66fc0bc7,940269c45825fa5e3ea4260b66fc0bc7,0.58,14.506461997297128,cpu,1725736897.839131,1725736832.9043422,73.89246825,0.7389246825,cpu,1725736832.903237,1725736668.6032555,187.16467048,0.37432934096,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,8,True,True,100,500,deckard.base.files.FileConfig,data,826459c3120699217cf226c0667bfcc8,.pkl,truthseeker,940269c45825fa5e3ea4260b66fc0bc7,predictions.json,reports/gzip_knn/500/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,8,True,True,100,500,BotScoreBinary,brute,3,1,LZMA,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
