,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.fit_intercept,Condensing Ratio,model.init.max_iter,Metric,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified
5f27af95db4719bba07c6866aeef80ef,train,deckard.base.experiment.Experiment,5f27af95db4719bba07c6866aeef80ef,Truthseeker,cpu,5f27af95db4719bba07c6866aeef80ef,5f27af95db4719bba07c6866aeef80ef,k-Logistic,5f27af95db4719bba07c6866aeef80ef,5f27af95db4719bba07c6866aeef80ef,0.61,13.470274717526904,cpu,1725672149.4359703,1725672145.157737,7.25416309,0.0725416309,cpu,1725672145.157612,1725672137.9881887,11.59903929,0.0386634643,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,5f27af95db4719bba07c6866aeef80ef,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,236.4723256277972,balanced,True,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,7.250181702852612e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
5f368604540f45adf5384bc0aee34864,train,deckard.base.experiment.Experiment,5f368604540f45adf5384bc0aee34864,Truthseeker,cpu,5f368604540f45adf5384bc0aee34864,5f368604540f45adf5384bc0aee34864,k-Logistic,5f368604540f45adf5384bc0aee34864,5f368604540f45adf5384bc0aee34864,0.56,15.197277505066854,cpu,1725672323.8216634,1725672320.2520478,4.05621175,0.0405621175,cpu,1725672320.251959,1725672314.3917243,6.62390985,0.0220796995,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,5f368604540f45adf5384bc0aee34864,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,12.04735798443803,balanced,True,1,1000,ZSTD,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001023441680787,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
5fe7f3b413fffbaea6263025b78d970f,train,deckard.base.experiment.Experiment,5fe7f3b413fffbaea6263025b78d970f,Truthseeker,cpu,5fe7f3b413fffbaea6263025b78d970f,5fe7f3b413fffbaea6263025b78d970f,k-Logistic,5fe7f3b413fffbaea6263025b78d970f,5fe7f3b413fffbaea6263025b78d970f,0.61,13.470274717526904,cpu,1725672003.798272,1725671999.5024695,7.17709661,0.0717709661,cpu,1725671999.5023952,1725671992.107098,11.75821252,0.0391940417333333,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,5fe7f3b413fffbaea6263025b78d970f,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,265.1209067459945,balanced,True,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001619081077296,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
60ef7cc0abf6b6ab814f45955043b02f,train,deckard.base.experiment.Experiment,60ef7cc0abf6b6ab814f45955043b02f,Truthseeker,cpu,60ef7cc0abf6b6ab814f45955043b02f,60ef7cc0abf6b6ab814f45955043b02f,k-Logistic,60ef7cc0abf6b6ab814f45955043b02f,60ef7cc0abf6b6ab814f45955043b02f,0.6,13.81567047745031,cpu,1725672040.5621536,1725672036.3602092,7.15956846,0.0715956846,cpu,1725672036.360132,1725672029.0818477,11.71423241,0.0390474413666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,60ef7cc0abf6b6ab814f45955043b02f,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,15.20663705411505,balanced,True,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,8.546920543733962e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
4bdcd7dcffda4b6c6bc1e8a00a0f071f,train,deckard.base.experiment.Experiment,4bdcd7dcffda4b6c6bc1e8a00a0f071f,Truthseeker,cpu,4bdcd7dcffda4b6c6bc1e8a00a0f071f,4bdcd7dcffda4b6c6bc1e8a00a0f071f,k-Logistic,4bdcd7dcffda4b6c6bc1e8a00a0f071f,4bdcd7dcffda4b6c6bc1e8a00a0f071f,0.47,18.305775376583117,cpu,1725672305.95239,1725672303.7757163,2.27155135,0.0227155135,cpu,1725672303.7756257,1725672300.0001342,3.87160076,0.0129053358666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,4bdcd7dcffda4b6c6bc1e8a00a0f071f,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,698.9219223448308,balanced,True,1,1000,Hamming,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,7.427321886045181e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
635004c6f756bc0be51da461779bdf23,train,deckard.base.experiment.Experiment,635004c6f756bc0be51da461779bdf23,Truthseeker,cpu,635004c6f756bc0be51da461779bdf23,635004c6f756bc0be51da461779bdf23,k-Logistic,635004c6f756bc0be51da461779bdf23,635004c6f756bc0be51da461779bdf23,0.58,14.506461997297128,cpu,1725671839.3385143,1725671835.089192,7.24655606,0.0724655606,cpu,1725671835.0891092,1725671827.888563,11.65236224,0.0388412074666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,635004c6f756bc0be51da461779bdf23,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,8.815749723235504,balanced,True,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,9.831196395287386e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
67e30538775930b20f178526dd9babb9,train,deckard.base.experiment.Experiment,67e30538775930b20f178526dd9babb9,Truthseeker,cpu,67e30538775930b20f178526dd9babb9,67e30538775930b20f178526dd9babb9,k-Logistic,67e30538775930b20f178526dd9babb9,67e30538775930b20f178526dd9babb9,0.56,15.197277505066852,cpu,1725672057.7417097,1725672054.2552888,3.97452576,0.0397452576,cpu,1725672054.255206,1725672047.903134,7.13876682,0.0237958894,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,67e30538775930b20f178526dd9babb9,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,192.2338086520804,balanced,True,1,1000,ZSTD,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001445858094875,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
67f5244b3d00b241298f3d852ae0ec3b,train,deckard.base.experiment.Experiment,67f5244b3d00b241298f3d852ae0ec3b,Truthseeker,cpu,67f5244b3d00b241298f3d852ae0ec3b,67f5244b3d00b241298f3d852ae0ec3b,k-Logistic,67f5244b3d00b241298f3d852ae0ec3b,67f5244b3d00b241298f3d852ae0ec3b,0.51,16.924224320786685,cpu,1725672017.1670997,1725672014.9590423,2.23286943,0.0223286943,cpu,1725672014.9589543,1725672010.8211932,4.25626306,0.0141875435333333,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,67f5244b3d00b241298f3d852ae0ec3b,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,17.407958454877786,balanced,True,1,1000,Jaro-Winkler,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0001208540159526,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
6998f29134db15bd6d30f58a79d0fcd8,train,deckard.base.experiment.Experiment,6998f29134db15bd6d30f58a79d0fcd8,Truthseeker,cpu,6998f29134db15bd6d30f58a79d0fcd8,6998f29134db15bd6d30f58a79d0fcd8,k-Logistic,6998f29134db15bd6d30f58a79d0fcd8,6998f29134db15bd6d30f58a79d0fcd8,0.61,13.470274717526904,cpu,1725672115.5633714,1725672111.4984496,6.99169566,0.0699169566,cpu,1725672111.4983609,1725672103.852647,12.09620642,0.0403206880666666,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,6998f29134db15bd6d30f58a79d0fcd8,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,448.0527051740431,balanced,True,1,1000,BZ2,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0001589503863456,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
6af010cc576fd4ea3ca897e70abe20f7,train,deckard.base.experiment.Experiment,6af010cc576fd4ea3ca897e70abe20f7,Truthseeker,cpu,6af010cc576fd4ea3ca897e70abe20f7,6af010cc576fd4ea3ca897e70abe20f7,k-Logistic,6af010cc576fd4ea3ca897e70abe20f7,6af010cc576fd4ea3ca897e70abe20f7,0.52,16.57882056488898,cpu,1725672306.1631565,1725672303.915529,2.32675712,0.0232675712,cpu,1725672303.915451,1725672299.9851696,4.07085931,0.0135695310333333,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,2,True,True,100,300,deckard.base.files.FileConfig,data,67952775d35950112b4680f4dc2a0252,.pkl,truthseeker,6af010cc576fd4ea3ca897e70abe20f7,predictions.json,reports/gzip_logistic/300/symmetry_true,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,2,True,True,100,300,BotScoreBinary,650.4115766119306,balanced,True,1,1000,Ratio,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,7.136917764522876e-05,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random,Vanilla
