,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.gamma,model.init.kernel,Condensing Ratio,Metric,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified
e96edc923b09977c5388219fca17d8a1,train,deckard.base.experiment.Experiment,e96edc923b09977c5388219fca17d8a1,Truthseeker,cpu,e96edc923b09977c5388219fca17d8a1,e96edc923b09977c5388219fca17d8a1,k-SVC,e96edc923b09977c5388219fca17d8a1,e96edc923b09977c5388219fca17d8a1,0.53,16.23343280093987,cpu,1725637628.1438591,1725637626.4386544,2.68026398,0.0268026398,cpu,1725637626.438238,1725637624.7889624,2.65468931,0.0265468931,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,7,True,True,100,100,deckard.base.files.FileConfig,data,74e20b432fe6108ebdcca0671ee23c07,.pkl,truthseeker,e96edc923b09977c5388219fca17d8a1,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,7,True,True,100,100,BotScoreBinary,0.2709228185120991,,scale,rbf,1,BZ2,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
eded6b04c771db962e9da17c23f13fcc,train,deckard.base.experiment.Experiment,eded6b04c771db962e9da17c23f13fcc,Truthseeker,cpu,eded6b04c771db962e9da17c23f13fcc,eded6b04c771db962e9da17c23f13fcc,k-SVC,eded6b04c771db962e9da17c23f13fcc,eded6b04c771db962e9da17c23f13fcc,0.49,17.61494387686479,cpu,1725637585.2730484,1725637584.3664858,0.94055501,0.0094055501,cpu,1725637584.366355,1725637583.6390238,0.73958659,0.0073958659,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,100,deckard.base.files.FileConfig,data,b130b08195a3f3929d5b133fc8ddce92,.pkl,truthseeker,eded6b04c771db962e9da17c23f13fcc,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,100,BotScoreBinary,448.3576893637302,balanced,auto,rbf,1,Jaro-Winkler,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
f1c44e5852f6dc73b94c547a95748ab6,train,deckard.base.experiment.Experiment,f1c44e5852f6dc73b94c547a95748ab6,Truthseeker,cpu,f1c44e5852f6dc73b94c547a95748ab6,f1c44e5852f6dc73b94c547a95748ab6,k-SVC,f1c44e5852f6dc73b94c547a95748ab6,f1c44e5852f6dc73b94c547a95748ab6,0.5,17.269644068633003,cpu,1725637674.9780748,1725637673.3847888,2.57834499,0.0257834499,cpu,1725637673.384548,1725637671.7229526,2.69061202,0.0269061202,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,100,deckard.base.files.FileConfig,data,b130b08195a3f3929d5b133fc8ddce92,.pkl,truthseeker,f1c44e5852f6dc73b94c547a95748ab6,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,100,BotScoreBinary,308.7151838536262,balanced,scale,rbf,1,BZ2,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
f243451d12a9dc7d56adbfd623d7c1d2,train,deckard.base.experiment.Experiment,f243451d12a9dc7d56adbfd623d7c1d2,Truthseeker,cpu,f243451d12a9dc7d56adbfd623d7c1d2,f243451d12a9dc7d56adbfd623d7c1d2,k-SVC,f243451d12a9dc7d56adbfd623d7c1d2,f243451d12a9dc7d56adbfd623d7c1d2,0.5,17.269644068633003,cpu,1725637617.4835572,1725637615.9226067,2.5238643,0.025238643,cpu,1725637615.9222925,1725637614.281554,2.67751973,0.0267751973,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,100,deckard.base.files.FileConfig,data,b130b08195a3f3929d5b133fc8ddce92,.pkl,truthseeker,f243451d12a9dc7d56adbfd623d7c1d2,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,100,BotScoreBinary,436.1341166605997,balanced,scale,rbf,1,BZ2,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
f2744c41667447301888be29f9898c57,train,deckard.base.experiment.Experiment,f2744c41667447301888be29f9898c57,Truthseeker,cpu,f2744c41667447301888be29f9898c57,f2744c41667447301888be29f9898c57,k-SVC,f2744c41667447301888be29f9898c57,f2744c41667447301888be29f9898c57,0.46,18.651163140532223,cpu,1725637586.7483878,1725637585.2328548,2.4740555,0.024740555,cpu,1725637585.2327397,1725637583.646089,2.59724575,0.0259724575,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,100,deckard.base.files.FileConfig,data,b130b08195a3f3929d5b133fc8ddce92,.pkl,truthseeker,f2744c41667447301888be29f9898c57,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,100,BotScoreBinary,576.4157851684669,balanced,auto,rbf,1,BZ2,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
f4d209ae0d916cf61d87ee0bd902bc59,train,deckard.base.experiment.Experiment,f4d209ae0d916cf61d87ee0bd902bc59,Truthseeker,cpu,f4d209ae0d916cf61d87ee0bd902bc59,f4d209ae0d916cf61d87ee0bd902bc59,k-SVC,f4d209ae0d916cf61d87ee0bd902bc59,f4d209ae0d916cf61d87ee0bd902bc59,0.5,17.269644068633003,cpu,1725637492.8891835,1725637491.1785326,2.69417127,0.0269417127,cpu,1725637491.178318,1725637489.4390576,2.75542632,0.0275542632,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,100,deckard.base.files.FileConfig,data,b130b08195a3f3929d5b133fc8ddce92,.pkl,truthseeker,f4d209ae0d916cf61d87ee0bd902bc59,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,100,BotScoreBinary,806.7148694292798,balanced,scale,rbf,1,BZ2,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
f645ec2bc7ca6d45707c5e18235e2ac1,train,deckard.base.experiment.Experiment,f645ec2bc7ca6d45707c5e18235e2ac1,Truthseeker,cpu,f645ec2bc7ca6d45707c5e18235e2ac1,f645ec2bc7ca6d45707c5e18235e2ac1,k-SVC,f645ec2bc7ca6d45707c5e18235e2ac1,f645ec2bc7ca6d45707c5e18235e2ac1,0.5,17.269644068633003,cpu,1725637597.3568094,1725637595.7891786,2.5282204,0.025282204,cpu,1725637595.7890186,1725637594.183463,2.62163625,0.0262163625,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,100,deckard.base.files.FileConfig,data,b130b08195a3f3929d5b133fc8ddce92,.pkl,truthseeker,f645ec2bc7ca6d45707c5e18235e2ac1,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,100,BotScoreBinary,853.2420180131645,balanced,scale,rbf,1,BZ2,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
dce3ff14daa23c350b0b86823c6d0e5c,train,deckard.base.experiment.Experiment,dce3ff14daa23c350b0b86823c6d0e5c,Truthseeker,cpu,dce3ff14daa23c350b0b86823c6d0e5c,dce3ff14daa23c350b0b86823c6d0e5c,k-SVC,dce3ff14daa23c350b0b86823c6d0e5c,dce3ff14daa23c350b0b86823c6d0e5c,0.5,17.269644068633003,cpu,1725637748.4900987,1725637746.7133214,2.75334534,0.0275334534,cpu,1725637746.7131488,1725637744.891714,2.8446695,0.028446695,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,100,deckard.base.files.FileConfig,data,b130b08195a3f3929d5b133fc8ddce92,.pkl,truthseeker,dce3ff14daa23c350b0b86823c6d0e5c,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,100,BotScoreBinary,740.3801531047208,balanced,scale,rbf,1,BZ2,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
7a7c583cd1e624ed8685464b7c9babeb,train,deckard.base.experiment.Experiment,7a7c583cd1e624ed8685464b7c9babeb,Truthseeker,cpu,7a7c583cd1e624ed8685464b7c9babeb,7a7c583cd1e624ed8685464b7c9babeb,k-SVC,7a7c583cd1e624ed8685464b7c9babeb,7a7c583cd1e624ed8685464b7c9babeb,0.47,18.305775376583117,cpu,1725637684.788342,1725637683.220029,2.51616779,0.0251616779,cpu,1725637683.2198467,1725637681.5924408,2.63514342,0.0263514342,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,100,deckard.base.files.FileConfig,data,b130b08195a3f3929d5b133fc8ddce92,.pkl,truthseeker,7a7c583cd1e624ed8685464b7c9babeb,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,100,BotScoreBinary,61.12271018394311,balanced,auto,rbf,1,BZ2,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
c33861405a9c08c9a54a76a881872b5c,train,deckard.base.experiment.Experiment,c33861405a9c08c9a54a76a881872b5c,Truthseeker,cpu,c33861405a9c08c9a54a76a881872b5c,c33861405a9c08c9a54a76a881872b5c,k-SVC,c33861405a9c08c9a54a76a881872b5c,c33861405a9c08c9a54a76a881872b5c,0.5,17.26955611291568,cpu,1725637704.2642183,1725637702.6777198,2.56251127,0.0256251127,cpu,1725637702.6775827,1725637701.0641596,2.62718585,0.0262718585,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,10,True,True,100,100,deckard.base.files.FileConfig,data,b130b08195a3f3929d5b133fc8ddce92,.pkl,truthseeker,c33861405a9c08c9a54a76a881872b5c,predictions.json,reports/gzip_svc/100/symmetry_false,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,10,True,True,100,100,BotScoreBinary,686.4051388538154,balanced,scale,precomputed,1,BZ2,gzip_classifier.GzipSVC,Asymmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random,Vanilla
