,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.fit_intercept,Condensing Ratio,model.init.max_iter,Metric,model.init.modified,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
b41bb6a009ec5cd1eb23de07bba31f43,train,deckard.base.experiment.Experiment,b41bb6a009ec5cd1eb23de07bba31f43,KDD NSL,cpu,b41bb6a009ec5cd1eb23de07bba31f43,b41bb6a009ec5cd1eb23de07bba31f43,k-Logistic,b41bb6a009ec5cd1eb23de07bba31f43,b41bb6a009ec5cd1eb23de07bba31f43,0.5,17.269388197455342,cpu,1725756474.0465405,1725756470.347555,3.76915958,0.00942289895,cpu,1725756470.3474069,1725756470.189365,0.15528414,0.007764207,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,9,True,400,20,deckard.base.files.FileConfig,data,da0b1cc778f24308421edd6293051ec0,.pkl,kdd_nsl,b41bb6a009ec5cd1eb23de07bba31f43,predictions.json,reports/modified//gzip_logistic/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,9,True,400,20,label,0.6781620987407272,balanced,False,1,1000,Ratio,Modified,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0116345252556777,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
afffccfdbed43ff34ec5c9d052a16796,train,deckard.base.experiment.Experiment,afffccfdbed43ff34ec5c9d052a16796,KDD NSL,cpu,afffccfdbed43ff34ec5c9d052a16796,afffccfdbed43ff34ec5c9d052a16796,k-Logistic,afffccfdbed43ff34ec5c9d052a16796,afffccfdbed43ff34ec5c9d052a16796,0.69,10.707022681415888,cpu,1725756239.701632,1725756235.6291196,4.1468022,0.0103670055,cpu,1725756235.628845,1725756235.4554212,0.17341171,0.0086705855,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,8,True,400,20,deckard.base.files.FileConfig,data,291e0b7c90e41735d8a324462687c066,.pkl,kdd_nsl,afffccfdbed43ff34ec5c9d052a16796,predictions.json,reports/modified//gzip_logistic/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,8,True,400,20,label,0.4072998646471323,balanced,True,1,1000,Hamming,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0007254240437163,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
af43a6d2e9442c21c2325cad7e85cef2,train,deckard.base.experiment.Experiment,af43a6d2e9442c21c2325cad7e85cef2,KDD NSL,cpu,af43a6d2e9442c21c2325cad7e85cef2,af43a6d2e9442c21c2325cad7e85cef2,k-Logistic,af43a6d2e9442c21c2325cad7e85cef2,af43a6d2e9442c21c2325cad7e85cef2,0.5,17.26978799617044,cpu,1725756362.2612298,1725756357.4596374,5.02891726,0.01257229315,cpu,1725756357.4595234,1725756357.2227087,0.24389911,0.0121949555,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,1,True,400,20,deckard.base.files.FileConfig,data,2b463270d0ec062ba7274bd5da9d1df2,.pkl,kdd_nsl,af43a6d2e9442c21c2325cad7e85cef2,predictions.json,reports/modified//gzip_logistic/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,1,True,400,20,label,0.0050218751984617,balanced,True,1,1000,ZSTD,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0085016342952792,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
aed968b79d2672700d92ea146ab69208,train,deckard.base.experiment.Experiment,aed968b79d2672700d92ea146ab69208,KDD NSL,cpu,aed968b79d2672700d92ea146ab69208,aed968b79d2672700d92ea146ab69208,k-Logistic,aed968b79d2672700d92ea146ab69208,aed968b79d2672700d92ea146ab69208,0.5,17.269388197455342,cpu,1725756222.0342944,1725756212.2747552,10.01867239,0.025046680975,cpu,1725756212.27445,1725756211.9223137,0.34995482,0.017497741,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,400,20,deckard.base.files.FileConfig,data,2d7a6be887dabd732efec4be21302a40,.pkl,kdd_nsl,aed968b79d2672700d92ea146ab69208,predictions.json,reports/modified//gzip_logistic/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,400,20,label,0.1020982920839095,balanced,False,1,1000,SeqRatio,Modified,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0017336107149871,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
acd2369d2b8575eac8e2fb7472afead7,train,deckard.base.experiment.Experiment,acd2369d2b8575eac8e2fb7472afead7,KDD NSL,cpu,acd2369d2b8575eac8e2fb7472afead7,acd2369d2b8575eac8e2fb7472afead7,k-Logistic,acd2369d2b8575eac8e2fb7472afead7,acd2369d2b8575eac8e2fb7472afead7,0.91,3.1084998705098394,cpu,1725756362.6517763,1725756357.4670951,5.7992102,0.0144980255,cpu,1725756357.4669256,1725756357.2207856,0.26089079,0.0130445395,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,400,20,deckard.base.files.FileConfig,data,66519e77c18f7e707d58c982347db81d,.pkl,kdd_nsl,acd2369d2b8575eac8e2fb7472afead7,predictions.json,reports/modified//gzip_logistic/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,400,20,label,0.9132415469193866,balanced,False,1,1000,BZ2,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0389885193316595,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
c245b16251c614a72ea14517f6324f0a,train,deckard.base.experiment.Experiment,c245b16251c614a72ea14517f6324f0a,KDD NSL,cpu,c245b16251c614a72ea14517f6324f0a,c245b16251c614a72ea14517f6324f0a,k-Logistic,c245b16251c614a72ea14517f6324f0a,c245b16251c614a72ea14517f6324f0a,0.1925,27.89041775974681,cpu,1725756328.5943203,1725756324.5383308,4.12356205,0.010308905125,cpu,1725756324.5380182,1725756324.3406255,0.1948869,0.009744345,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,5,True,400,20,deckard.base.files.FileConfig,data,cd8d29969d73af99f5e19a51a5dcc718,.pkl,kdd_nsl,c245b16251c614a72ea14517f6324f0a,predictions.json,reports/modified//gzip_logistic/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,5,True,400,20,label,6.549706376612239,,False,1,1000,Jaro-Winkler,Modified,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0089660174152614,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a9fd06612f2f219c85aa6d0b76f34f7a,train,deckard.base.experiment.Experiment,a9fd06612f2f219c85aa6d0b76f34f7a,KDD NSL,cpu,a9fd06612f2f219c85aa6d0b76f34f7a,a9fd06612f2f219c85aa6d0b76f34f7a,k-Logistic,a9fd06612f2f219c85aa6d0b76f34f7a,a9fd06612f2f219c85aa6d0b76f34f7a,0.5,17.269388197455342,cpu,1725756362.5124235,1725756357.4971397,5.3051779,0.01326294475,cpu,1725756357.496964,1725756357.2405102,0.26130756,0.013065378,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,400,20,deckard.base.files.FileConfig,data,2d7a6be887dabd732efec4be21302a40,.pkl,kdd_nsl,a9fd06612f2f219c85aa6d0b76f34f7a,predictions.json,reports/modified//gzip_logistic/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,400,20,label,0.0014054473537049,balanced,False,1,1000,GZIP,Modified,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0049117841297018,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a83c08a055f198e338133260fae6f0dc,train,deckard.base.experiment.Experiment,a83c08a055f198e338133260fae6f0dc,KDD NSL,cpu,a83c08a055f198e338133260fae6f0dc,a83c08a055f198e338133260fae6f0dc,k-Logistic,a83c08a055f198e338133260fae6f0dc,a83c08a055f198e338133260fae6f0dc,0.9125,3.02220290436195,cpu,1725756256.6701877,1725756252.4774537,4.26573298,0.01066433245,cpu,1725756252.4773808,1725756252.2839394,0.19279683,0.0096398415,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,400,20,deckard.base.files.FileConfig,data,66519e77c18f7e707d58c982347db81d,.pkl,kdd_nsl,a83c08a055f198e338133260fae6f0dc,predictions.json,reports/modified//gzip_logistic/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,400,20,label,14.651743835792615,,False,1,1000,Levenshtein,Modified,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0011943220337577,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a77c238bd4a889d4b54ef5ac91a5a88c,train,deckard.base.experiment.Experiment,a77c238bd4a889d4b54ef5ac91a5a88c,KDD NSL,cpu,a77c238bd4a889d4b54ef5ac91a5a88c,a77c238bd4a889d4b54ef5ac91a5a88c,k-Logistic,a77c238bd4a889d4b54ef5ac91a5a88c,a77c238bd4a889d4b54ef5ac91a5a88c,0.1625,28.926561061658376,cpu,1725756245.2890038,1725756235.750761,9.82027312,0.0245506828,cpu,1725756235.7506511,1725756235.4094343,0.33972903,0.0169864515,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,4,True,400,20,deckard.base.files.FileConfig,data,7b4f63311231ea52cc55858dddd898ef,.pkl,kdd_nsl,a77c238bd4a889d4b54ef5ac91a5a88c,predictions.json,reports/modified//gzip_logistic/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,4,True,400,20,label,178.9612381898421,balanced,True,1,1000,SeqRatio,Modified,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0160364094544318,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
a5a5ee02158d80432564b8eabbc69097,train,deckard.base.experiment.Experiment,a5a5ee02158d80432564b8eabbc69097,KDD NSL,cpu,a5a5ee02158d80432564b8eabbc69097,a5a5ee02158d80432564b8eabbc69097,k-Logistic,a5a5ee02158d80432564b8eabbc69097,a5a5ee02158d80432564b8eabbc69097,0.5,17.26978799617044,cpu,1725756403.8316104,1725756398.699906,5.68765654,0.01421914135,cpu,1725756398.6997285,1725756398.4076111,0.30640079,0.0153200395,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,7,True,400,20,deckard.base.files.FileConfig,data,53a46a715aa307d9affd8a1c6d74d40b,.pkl,kdd_nsl,a5a5ee02158d80432564b8eabbc69097,predictions.json,reports/modified//gzip_logistic/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,7,True,400,20,label,0.0041091190882045,balanced,True,1,1000,BZ2,Modified,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0262104588525887,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor,Random
