,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
49e092a1b7409c59f78af8dd0ffeb068,train,deckard.base.experiment.Experiment,49e092a1b7409c59f78af8dd0ffeb068,KDD NSL,cpu,49e092a1b7409c59f78af8dd0ffeb068,49e092a1b7409c59f78af8dd0ffeb068,k-KNN,49e092a1b7409c59f78af8dd0ffeb068,49e092a1b7409c59f78af8dd0ffeb068,0.9125,3.0221469325418364,cpu,1725756066.1666806,1725756061.7626104,4.49918632,0.0112479658,cpu,1725756061.762496,1725756061.565815,0.19237482,0.009618741,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,8,True,400,20,deckard.base.files.FileConfig,data,291e0b7c90e41735d8a324462687c066,.pkl,kdd_nsl,49e092a1b7409c59f78af8dd0ffeb068,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,8,True,400,20,label,brute,7,1,Levenshtein,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
51a907ca74f16514a10c11010df19807,train,deckard.base.experiment.Experiment,51a907ca74f16514a10c11010df19807,KDD NSL,cpu,51a907ca74f16514a10c11010df19807,51a907ca74f16514a10c11010df19807,k-KNN,51a907ca74f16514a10c11010df19807,51a907ca74f16514a10c11010df19807,0.25,25.90447609791738,cpu,1725755947.633011,1725755938.0546196,9.82222156,0.0245555539,cpu,1725755938.054142,1725755937.711377,0.34271454,0.017135727,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,8,True,400,20,deckard.base.files.FileConfig,data,291e0b7c90e41735d8a324462687c066,.pkl,kdd_nsl,51a907ca74f16514a10c11010df19807,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,8,True,400,20,label,brute,5,1,SeqRatio,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
55b05dc77ecf80410a34387320d6b4c7,train,deckard.base.experiment.Experiment,55b05dc77ecf80410a34387320d6b4c7,KDD NSL,cpu,55b05dc77ecf80410a34387320d6b4c7,55b05dc77ecf80410a34387320d6b4c7,k-KNN,55b05dc77ecf80410a34387320d6b4c7,55b05dc77ecf80410a34387320d6b4c7,0.14,29.703709517460357,cpu,1725756093.1957924,1725756083.7091732,9.66869297,0.024171732425,cpu,1725756083.7088344,1725756083.344984,0.36442382,0.018221191,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,1,True,400,20,deckard.base.files.FileConfig,data,2b463270d0ec062ba7274bd5da9d1df2,.pkl,kdd_nsl,55b05dc77ecf80410a34387320d6b4c7,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,1,True,400,20,label,brute,7,1,SeqRatio,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
586df9d8730f51093ef7575927ea7147,train,deckard.base.experiment.Experiment,586df9d8730f51093ef7575927ea7147,KDD NSL,cpu,586df9d8730f51093ef7575927ea7147,586df9d8730f51093ef7575927ea7147,k-KNN,586df9d8730f51093ef7575927ea7147,586df9d8730f51093ef7575927ea7147,0.9225,2.6767651655734563,cpu,1725756109.3335576,1725756105.5304503,3.93288214,0.00983220535,cpu,1725756105.5302918,1725756105.3193326,0.22658339,0.0113291695,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,400,20,deckard.base.files.FileConfig,data,ef005e04975437479422a5f344a1d198,.pkl,kdd_nsl,586df9d8730f51093ef7575927ea7147,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,400,20,label,brute,3,1,ZSTD,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
5b4e98a7f9604d3fbae5c52dbed0493a,train,deckard.base.experiment.Experiment,5b4e98a7f9604d3fbae5c52dbed0493a,KDD NSL,cpu,5b4e98a7f9604d3fbae5c52dbed0493a,5b4e98a7f9604d3fbae5c52dbed0493a,k-KNN,5b4e98a7f9604d3fbae5c52dbed0493a,5b4e98a7f9604d3fbae5c52dbed0493a,0.4775,18.046562640173796,cpu,1725756087.7565415,1725756083.4495316,4.40398482,0.01100996205,cpu,1725756083.4494028,1725756083.2856534,0.1585188,0.00792594,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,7,True,400,20,deckard.base.files.FileConfig,data,53a46a715aa307d9affd8a1c6d74d40b,.pkl,kdd_nsl,5b4e98a7f9604d3fbae5c52dbed0493a,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,7,True,400,20,label,brute,3,1,Jaro-Winkler,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
5fb0dde90d3e68b7d1a2bf406e458a10,train,deckard.base.experiment.Experiment,5fb0dde90d3e68b7d1a2bf406e458a10,KDD NSL,cpu,5fb0dde90d3e68b7d1a2bf406e458a10,5fb0dde90d3e68b7d1a2bf406e458a10,k-KNN,5fb0dde90d3e68b7d1a2bf406e458a10,5fb0dde90d3e68b7d1a2bf406e458a10,0.795,7.080535117680435,cpu,1725755981.3891215,1725755977.1512048,4.33281475,0.010832036875,cpu,1725755977.1509373,1725755976.9851837,0.16339711,0.0081698555,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,1,True,400,20,deckard.base.files.FileConfig,data,2b463270d0ec062ba7274bd5da9d1df2,.pkl,kdd_nsl,5fb0dde90d3e68b7d1a2bf406e458a10,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,1,True,400,20,label,brute,7,1,Hamming,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
606d5006a8a07b142610f58ac98c4010,train,deckard.base.experiment.Experiment,606d5006a8a07b142610f58ac98c4010,KDD NSL,cpu,606d5006a8a07b142610f58ac98c4010,606d5006a8a07b142610f58ac98c4010,k-KNN,606d5006a8a07b142610f58ac98c4010,606d5006a8a07b142610f58ac98c4010,0.3075,23.918436485402754,cpu,1725756049.2369063,1725756045.1428251,4.17772714,0.01044431785,cpu,1725756045.14248,1725756044.9448657,0.19327476,0.009663738,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,9,True,400,20,deckard.base.files.FileConfig,data,da0b1cc778f24308421edd6293051ec0,.pkl,kdd_nsl,606d5006a8a07b142610f58ac98c4010,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,9,True,400,20,label,brute,5,1,Jaro,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
607675c6ec242d677a4df1277a72cb08,train,deckard.base.experiment.Experiment,607675c6ec242d677a4df1277a72cb08,KDD NSL,cpu,607675c6ec242d677a4df1277a72cb08,607675c6ec242d677a4df1277a72cb08,k-KNN,607675c6ec242d677a4df1277a72cb08,607675c6ec242d677a4df1277a72cb08,0.8425,5.439865278172735,cpu,1725756127.300485,1725756121.925311,6.04392119,0.015109802975,cpu,1725756121.925175,1725756121.6372497,0.31075027,0.0155375135,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,9,True,400,20,deckard.base.files.FileConfig,data,da0b1cc778f24308421edd6293051ec0,.pkl,kdd_nsl,607675c6ec242d677a4df1277a72cb08,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,9,True,400,20,label,brute,7,1,BZ2,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
51915f3056b4d8e16db831920f3cfd14,train,deckard.base.experiment.Experiment,51915f3056b4d8e16db831920f3cfd14,KDD NSL,cpu,51915f3056b4d8e16db831920f3cfd14,51915f3056b4d8e16db831920f3cfd14,k-KNN,51915f3056b4d8e16db831920f3cfd14,51915f3056b4d8e16db831920f3cfd14,0.8925,3.712956443330833,cpu,1725755943.0375292,1725755937.9550147,5.72085591,0.014302139775,cpu,1725755937.954793,1725755937.7235851,0.24385229,0.0121926145,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,10,True,400,20,deckard.base.files.FileConfig,data,ef005e04975437479422a5f344a1d198,.pkl,kdd_nsl,51915f3056b4d8e16db831920f3cfd14,predictions.json,reports/modified//gzip_knn/20/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,10,True,400,20,label,brute,1,1,BZ2,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
ce1963ec17dd95b2f0ff74851ac35a5c,train,deckard.base.experiment.Experiment,ce1963ec17dd95b2f0ff74851ac35a5c,KDD NSL,cpu,ce1963ec17dd95b2f0ff74851ac35a5c,ce1963ec17dd95b2f0ff74851ac35a5c,k-KNN,ce1963ec17dd95b2f0ff74851ac35a5c,ce1963ec17dd95b2f0ff74851ac35a5c,0.2925,24.436558111197925,cpu,1725841244.2458522,1725841003.9838874,239.8108698,0.5995271745,cpu,1725841003.9829378,1725840820.097314,180.19157137,0.36038314274,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,9,True,400,500,deckard.base.files.FileConfig,data,f76604e7037d1aa9a8aefec40e4ad203,.pkl,kdd_nsl,ce1963ec17dd95b2f0ff74851ac35a5c,predictions.json,reports/modified//gzip_knn/500/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,9,True,400,500,label,brute,3,1,SeqRatio,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random
