,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,model.init.gamma,model.init.kernel,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method
61ee0bbaf189d06c27b7a3e64d06d915,train,deckard.base.experiment.Experiment,61ee0bbaf189d06c27b7a3e64d06d915,KDD NSL,cpu,61ee0bbaf189d06c27b7a3e64d06d915,61ee0bbaf189d06c27b7a3e64d06d915,k-SVC,61ee0bbaf189d06c27b7a3e64d06d915,61ee0bbaf189d06c27b7a3e64d06d915,0.95,1.7269728026363185,cpu,1725766902.1536467,1725766878.412741,24.90769925,0.062269248125,cpu,1725766878.4126134,1725766875.4579835,3.09932231,0.0309932231,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,400,100,deckard.base.files.FileConfig,data,6ce52794ba6aaaac6c6fade701eded47,.pkl,kdd_nsl,61ee0bbaf189d06c27b7a3e64d06d915,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,400,100,label,423.5164182934937,balanced,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
614f3657abc31f21655a0b1bed17ffb3,train,deckard.base.experiment.Experiment,614f3657abc31f21655a0b1bed17ffb3,KDD NSL,cpu,614f3657abc31f21655a0b1bed17ffb3,614f3657abc31f21655a0b1bed17ffb3,k-SVC,614f3657abc31f21655a0b1bed17ffb3,614f3657abc31f21655a0b1bed17ffb3,0.9525,1.640623862655466,cpu,1725766902.521589,1725766878.4604046,25.17435079,0.062935876975,cpu,1725766878.460204,1725766875.4660242,3.12815653,0.0312815653,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,400,100,deckard.base.files.FileConfig,data,6ce52794ba6aaaac6c6fade701eded47,.pkl,kdd_nsl,614f3657abc31f21655a0b1bed17ffb3,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,400,100,label,236.22701584497287,balanced,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
5f42493422d44f6b3d0f7e3bc8bcd047,train,deckard.base.experiment.Experiment,5f42493422d44f6b3d0f7e3bc8bcd047,KDD NSL,cpu,5f42493422d44f6b3d0f7e3bc8bcd047,5f42493422d44f6b3d0f7e3bc8bcd047,k-SVC,5f42493422d44f6b3d0f7e3bc8bcd047,5f42493422d44f6b3d0f7e3bc8bcd047,0.945,1.8996586886365696,cpu,1725766783.899269,1725766759.6762135,25.38507929,0.063462698225,cpu,1725766759.6759171,1725766756.5998669,3.20289018,0.0320289018,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,400,100,deckard.base.files.FileConfig,data,89c1c8300167d03139e806fd444fd5dd,.pkl,kdd_nsl,5f42493422d44f6b3d0f7e3bc8bcd047,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,400,100,label,55.97810896930035,balanced,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
58aea3e40ce2ff03b5e6f5760f7a09e7,train,deckard.base.experiment.Experiment,58aea3e40ce2ff03b5e6f5760f7a09e7,KDD NSL,cpu,58aea3e40ce2ff03b5e6f5760f7a09e7,58aea3e40ce2ff03b5e6f5760f7a09e7,k-SVC,58aea3e40ce2ff03b5e6f5760f7a09e7,58aea3e40ce2ff03b5e6f5760f7a09e7,0.9525,1.640623862655466,cpu,1725766989.9531353,1725766966.348153,24.75046874,0.06187617185,cpu,1725766966.348037,1725766963.264071,3.21467887,0.0321467887,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,6,True,400,100,deckard.base.files.FileConfig,data,6ce52794ba6aaaac6c6fade701eded47,.pkl,kdd_nsl,58aea3e40ce2ff03b5e6f5760f7a09e7,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,6,True,400,100,label,339.36714823904686,balanced,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
53e4b955cda12b0076dd646322d377ff,train,deckard.base.experiment.Experiment,53e4b955cda12b0076dd646322d377ff,KDD NSL,cpu,53e4b955cda12b0076dd646322d377ff,53e4b955cda12b0076dd646322d377ff,k-SVC,53e4b955cda12b0076dd646322d377ff,53e4b955cda12b0076dd646322d377ff,0.8825,4.058318220363459,cpu,1725766510.715116,1725766485.6573937,26.50712279,0.066267806975,cpu,1725766485.657283,1725766482.435197,3.38091157,0.0338091157,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,8,True,400,100,deckard.base.files.FileConfig,data,a32d95f01e9621cd6cbf99026602a838,.pkl,kdd_nsl,53e4b955cda12b0076dd646322d377ff,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,8,True,400,100,label,5.710834891199538,balanced,auto,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
52a944552a7e35e22374d859b30339b9,train,deckard.base.experiment.Experiment,52a944552a7e35e22374d859b30339b9,KDD NSL,cpu,52a944552a7e35e22374d859b30339b9,52a944552a7e35e22374d859b30339b9,k-SVC,52a944552a7e35e22374d859b30339b9,52a944552a7e35e22374d859b30339b9,0.9425,1.9860096276109973,cpu,1725766614.7777386,1725766590.9020402,25.01321146,0.06253302865,cpu,1725766590.9019132,1725766587.8863325,3.14683046,0.0314683046,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,400,100,deckard.base.files.FileConfig,data,89c1c8300167d03139e806fd444fd5dd,.pkl,kdd_nsl,52a944552a7e35e22374d859b30339b9,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,400,100,label,40.15842608795955,balanced,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
52593255fb8819c6b50346702db93fc1,train,deckard.base.experiment.Experiment,52593255fb8819c6b50346702db93fc1,KDD NSL,cpu,52593255fb8819c6b50346702db93fc1,52593255fb8819c6b50346702db93fc1,k-SVC,52593255fb8819c6b50346702db93fc1,52593255fb8819c6b50346702db93fc1,0.925,2.590432217541208,cpu,1725766545.0008922,1725766521.1528358,25.00318628,0.0625079657,cpu,1725766521.1527252,1725766518.1046128,3.17112379,0.0317112379,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,8,True,400,100,deckard.base.files.FileConfig,data,a32d95f01e9621cd6cbf99026602a838,.pkl,kdd_nsl,52593255fb8819c6b50346702db93fc1,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,8,True,400,100,label,61.04722077192616,balanced,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
4dc676ed9f577808665ea5d496394bca,train,deckard.base.experiment.Experiment,4dc676ed9f577808665ea5d496394bca,KDD NSL,cpu,4dc676ed9f577808665ea5d496394bca,4dc676ed9f577808665ea5d496394bca,k-SVC,4dc676ed9f577808665ea5d496394bca,4dc676ed9f577808665ea5d496394bca,0.945,1.8996586886365696,cpu,1725766843.6807044,1725766819.5787177,25.19244793,0.062981119825,cpu,1725766819.5784135,1725766816.6064727,3.11388825,0.0311388825,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,400,100,deckard.base.files.FileConfig,data,89c1c8300167d03139e806fd444fd5dd,.pkl,kdd_nsl,4dc676ed9f577808665ea5d496394bca,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,400,100,label,57.05946782562934,balanced,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
4b24dca0b7118adef7d6e94b59ecd544,train,deckard.base.experiment.Experiment,4b24dca0b7118adef7d6e94b59ecd544,KDD NSL,cpu,4b24dca0b7118adef7d6e94b59ecd544,4b24dca0b7118adef7d6e94b59ecd544,k-SVC,4b24dca0b7118adef7d6e94b59ecd544,4b24dca0b7118adef7d6e94b59ecd544,0.885,3.971965282395456,cpu,1725766510.9464366,1725766485.6757758,26.70666009,0.066766650225,cpu,1725766485.675575,1725766482.427921,3.4437342,0.034437342,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,8,True,400,100,deckard.base.files.FileConfig,data,a32d95f01e9621cd6cbf99026602a838,.pkl,kdd_nsl,4b24dca0b7118adef7d6e94b59ecd544,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,8,True,400,100,label,1.2679471019745396,balanced,auto,rbf,1,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
703faadfe1d3f44ba99862ffeb7870b5,train,deckard.base.experiment.Experiment,703faadfe1d3f44ba99862ffeb7870b5,KDD NSL,cpu,703faadfe1d3f44ba99862ffeb7870b5,703faadfe1d3f44ba99862ffeb7870b5,k-SVC,703faadfe1d3f44ba99862ffeb7870b5,703faadfe1d3f44ba99862ffeb7870b5,0.9425,1.9860096276109973,cpu,1725766614.7994275,1725766590.9175005,24.99665322,0.06249163305,cpu,1725766590.9172635,1725766587.8445525,3.23902196,0.0323902196,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,2,True,400,100,deckard.base.files.FileConfig,data,89c1c8300167d03139e806fd444fd5dd,.pkl,kdd_nsl,703faadfe1d3f44ba99862ffeb7870b5,predictions.json,reports/modified//gzip_svc/100/modified_true/,score_dict.json,train,sklearn,['id'],raw_data/kdd_nsl_undersampled_5000.csv,2,True,400,100,label,42.65189226932305,balanced,auto,rbf,1,ZSTD,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC,Random
