,Unnamed: 0,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,predictions,exception,data._target_,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.art._target_,model.art.initialize.nb_classes,model.art.library,model.data._target_,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init._target_,model.init.class_weight,model.init.fit_intercept,model.init.m,model.init.metric,model.init.name,model.init.penalty,model.init.precompute,model.init.solver,model.init.symmetric,model.init.tol,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
91,c05af58f56e250f27aae8a318f55f688,train,deckard.base.experiment.Experiment,c05af58f56e250f27aae8a318f55f688,ddos,cpu,c05af58f56e250f27aae8a318f55f688,c05af58f56e250f27aae8a318f55f688,GzipLogisticRegressor,c05af58f56e250f27aae8a318f55f688,c05af58f56e250f27aae8a318f55f688,0.5,17.26938819885254,cpu,1709326833.2784152,1709326822.501316,11.297753646,0.11297753646,cpu,1709326822.5010824,1709326813.2228856,9.827858817,0.09827858817,ddos/reports/gzip_logistic/100-0/train/c05af58f56e250f27aae8a318f55f688/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,c05af58f56e250f27aae8a318f55f688,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,100.0,deckard.base.model.ModelInitializer,balanced,True,-1,Zstd,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
92,c443e04062b687a02ce3dd2d1fc54449,train,deckard.base.experiment.Experiment,c443e04062b687a02ce3dd2d1fc54449,ddos,cpu,c443e04062b687a02ce3dd2d1fc54449,c443e04062b687a02ce3dd2d1fc54449,GzipLogisticRegressor,c443e04062b687a02ce3dd2d1fc54449,c443e04062b687a02ce3dd2d1fc54449,0.5,17.26938819885254,cpu,1709327240.5740328,1709327230.638973,10.263064899,0.10263064899,cpu,1709327230.6388142,1709327221.9715252,9.197585351,0.09197585351,ddos/reports/gzip_logistic/100-0/train/c443e04062b687a02ce3dd2d1fc54449/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,c443e04062b687a02ce3dd2d1fc54449,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.1,deckard.base.model.ModelInitializer,,True,-1,Zstd,gzip_classifier.GzipLogisticRegressor,l1,True,saga,Symmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
94,c9f50d10a455ed0c9b107cf841a81a7a,train,deckard.base.experiment.Experiment,c9f50d10a455ed0c9b107cf841a81a7a,ddos,cpu,c9f50d10a455ed0c9b107cf841a81a7a,c9f50d10a455ed0c9b107cf841a81a7a,GzipLogisticRegressor,c9f50d10a455ed0c9b107cf841a81a7a,c9f50d10a455ed0c9b107cf841a81a7a,0.43,19.687102546691893,cpu,1709327063.3225238,1709327053.3412838,10.275789964,0.10275789964,cpu,1709327053.341,1709327042.7988348,10.832645229,0.10832645229,ddos/reports/gzip_logistic/100-0/train/c9f50d10a455ed0c9b107cf841a81a7a/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,c9f50d10a455ed0c9b107cf841a81a7a,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.01,deckard.base.model.ModelInitializer,balanced,True,-1,Hamming,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Asymmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
95,cba1b1c810302927dd4b901cd46ac473,train,deckard.base.experiment.Experiment,cba1b1c810302927dd4b901cd46ac473,ddos,cpu,cba1b1c810302927dd4b901cd46ac473,cba1b1c810302927dd4b901cd46ac473,GzipLogisticRegressor,cba1b1c810302927dd4b901cd46ac473,cba1b1c810302927dd4b901cd46ac473,1.0,0.0,cpu,1709326247.1829884,1709326236.1886685,11.314418821,0.11314418821,cpu,1709326236.1884587,1709326224.321145,12.27518641,0.1227518641,ddos/reports/gzip_logistic/100-0/train/cba1b1c810302927dd4b901cd46ac473/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,cba1b1c810302927dd4b901cd46ac473,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.1,deckard.base.model.ModelInitializer,balanced,False,-1,Levenshtein,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Asymmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
97,cffa4a649b839c615ce59c10e705af80,train,deckard.base.experiment.Experiment,cffa4a649b839c615ce59c10e705af80,ddos,cpu,cffa4a649b839c615ce59c10e705af80,cffa4a649b839c615ce59c10e705af80,GzipLogisticRegressor,cffa4a649b839c615ce59c10e705af80,cffa4a649b839c615ce59c10e705af80,0.5,17.26938819885254,cpu,1709326267.7333076,1709326248.0017624,22.885582404,0.22885582404,cpu,1709326248.0016382,1709326224.2479713,26.149654208,0.26149654208,ddos/reports/gzip_logistic/100-0/train/cffa4a649b839c615ce59c10e705af80/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,cffa4a649b839c615ce59c10e705af80,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.01,deckard.base.model.ModelInitializer,balanced,True,-1,Lzma,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
98,cffb1caf46a00bc6142ab6e13a6405d2,train,deckard.base.experiment.Experiment,cffb1caf46a00bc6142ab6e13a6405d2,ddos,cpu,cffb1caf46a00bc6142ab6e13a6405d2,cffb1caf46a00bc6142ab6e13a6405d2,GzipLogisticRegressor,cffb1caf46a00bc6142ab6e13a6405d2,cffb1caf46a00bc6142ab6e13a6405d2,0.99,0.3453877639770508,cpu,1709327014.876286,1709327003.571786,12.016940272,0.12016940272,cpu,1709327003.571406,1709326991.8031642,12.581590145,0.12581590145,ddos/reports/gzip_logistic/100-0/train/cffb1caf46a00bc6142ab6e13a6405d2/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,cffb1caf46a00bc6142ab6e13a6405d2,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,balanced,True,-1,Gzip,gzip_classifier.GzipLogisticRegressor,none,True,saga,Asymmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
99,d19a8d67dd180aa7e256291b35c8d46b,train,deckard.base.experiment.Experiment,d19a8d67dd180aa7e256291b35c8d46b,ddos,cpu,d19a8d67dd180aa7e256291b35c8d46b,d19a8d67dd180aa7e256291b35c8d46b,GzipLogisticRegressor,d19a8d67dd180aa7e256291b35c8d46b,d19a8d67dd180aa7e256291b35c8d46b,1.0,0.0,cpu,1709327012.9995651,1709327002.3749645,10.952645678,0.10952645678,cpu,1709327002.3748417,1709326991.7376504,10.986310691,0.10986310691,ddos/reports/gzip_logistic/100-0/train/d19a8d67dd180aa7e256291b35c8d46b/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,d19a8d67dd180aa7e256291b35c8d46b,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,1.0,deckard.base.model.ModelInitializer,balanced,True,-1,Ratio,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Asymmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
100,d950d0bd8b7a950ab6fc90de168e1997,train,deckard.base.experiment.Experiment,d950d0bd8b7a950ab6fc90de168e1997,ddos,cpu,d950d0bd8b7a950ab6fc90de168e1997,d950d0bd8b7a950ab6fc90de168e1997,GzipLogisticRegressor,d950d0bd8b7a950ab6fc90de168e1997,d950d0bd8b7a950ab6fc90de168e1997,0.5,17.26938819885254,cpu,1709327063.712026,1709327052.1758292,13.720570119,0.13720570119,cpu,1709327052.175494,1709327042.9126976,10.551080672,0.10551080672,ddos/reports/gzip_logistic/100-0/train/d950d0bd8b7a950ab6fc90de168e1997/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,d950d0bd8b7a950ab6fc90de168e1997,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,,True,-1,BZ2,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
101,db0380a0c2684255ba2617e44ca25680,train,deckard.base.experiment.Experiment,db0380a0c2684255ba2617e44ca25680,ddos,cpu,db0380a0c2684255ba2617e44ca25680,db0380a0c2684255ba2617e44ca25680,GzipLogisticRegressor,db0380a0c2684255ba2617e44ca25680,db0380a0c2684255ba2617e44ca25680,1.0,0.0,cpu,1709326298.6349847,1709326288.2717135,10.673743073,0.10673743073,cpu,1709326288.2716095,1709326277.3038702,11.350543499,0.11350543499,ddos/reports/gzip_logistic/100-0/train/db0380a0c2684255ba2617e44ca25680/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,db0380a0c2684255ba2617e44ca25680,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,,True,-1,Ratio,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Asymmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
103,e253ddf32067dd98b02cbb29be69cf90,train,deckard.base.experiment.Experiment,e253ddf32067dd98b02cbb29be69cf90,ddos,cpu,e253ddf32067dd98b02cbb29be69cf90,e253ddf32067dd98b02cbb29be69cf90,GzipLogisticRegressor,e253ddf32067dd98b02cbb29be69cf90,e253ddf32067dd98b02cbb29be69cf90,1.0,0.0,cpu,1709327013.2748487,1709327002.5755112,11.019998092,0.11019998092,cpu,1709327002.5753582,1709326991.7223926,11.216115964,0.11216115964,ddos/reports/gzip_logistic/100-0/train/e253ddf32067dd98b02cbb29be69cf90/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,e253ddf32067dd98b02cbb29be69cf90,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.01,deckard.base.model.ModelInitializer,,False,-1,Levenshtein,gzip_classifier.GzipLogisticRegressor,l1,True,saga,Asymmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
