,Unnamed: 0,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,train_time,train_time_per_sample,train_start_time,train_end_time,train_device,predict_time,predict_time_per_sample,predict_start_time,predict_end_time,predict_device,accuracy,log_loss,predictions,exception,data._target_,data.generate.name,data.generate.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.art._target_,model.art.initialize.nb_classes,model.art.library,model.data._target_,model.data.generate.name,model.data.generate.target,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.init._target_,model.init.compressor,model.init.distance_matrix,model.init.k,model.init.m,model.init.method,model.init.metric,model.init.name,model.init.symmetric,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
17,gzip,train,,gzip,,cpu,gzip,gzip,,,gzip,4.742425578,0.04742425578,1708474172.6336744,1708474182.4223478,cpu,1.370663852,0.01370663852,1708474182.4224143,1708474184.6236756,cpu,0.99,0.3453877639770508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
18,hamming,train,,hamming,,cpu,hamming,hamming,,,hamming,5.150966093,0.05150966093,1708474437.1143892,1708474447.3632572,cpu,7.072456147,0.07072456147,1708474447.3633263,1708474454.642306,cpu,0.53,16.233224906921386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
19,jaro,train,,jaro,,cpu,jaro,jaro,,,jaro,5.123511703,0.05123511703,1708474491.027892,1708474500.97631,cpu,6.54184523,0.0654184523,1708474500.976375,1708474508.159716,cpu,0.49,17.61477596282959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
20,jaro_winkler,train,,jaro_winkler,,cpu,jaro_winkler,jaro_winkler,,,jaro_winkler,5.09612208,0.0509612208,1708474544.576864,1708474554.5945215,cpu,7.135454695,0.07135454695,1708474554.5945969,1708474562.1627283,cpu,0.49,17.61477596282959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
21,knn,train,,knn,,cpu,knn,knn,,,knn,40.660646238,0.40660646238,1708474062.2976017,1708474072.2696724,cpu,3.30006101,0.0330006101,1708474072.2697878,1708474076.4468696,cpu,0.49,17.61477596282959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
22,levenshtein,train,,levenshtein,,cpu,levenshtein,levenshtein,,,levenshtein,5.150753232,0.05150753232,1708474330.0889046,1708474340.337991,cpu,7.046291754,0.07046291754,1708474340.338061,1708474347.569382,cpu,0.99,0.3453877639770508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
23,medoid,train,,medoid,,cpu,medoid,medoid,,,medoid,4.708114678,0.04708114678,1708474107.53836,1708474117.11053,cpu,1.384447882,0.01384447882,1708474117.110594,1708474119.3131194,cpu,0.99,0.3453877639770508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
24,ncd,train,,ncd,,cpu,ncd,ncd,,,ncd,4.835386703,0.04835386703,1708474659.5265758,1708474669.3932607,cpu,6.162818507,0.06162818507,1708474669.393324,1708474676.158303,cpu,0.99,0.3453877639770508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
25,pkl,train,,pkl,,cpu,pkl,pkl,,,pkl,4.680891795,0.04680891795,1708474215.8305511,1708474225.2640898,cpu,1.407743583,0.01407743583,1708474225.2641604,1708474227.4725714,cpu,0.5,17.26938819885254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
26,precompute_False,train,,precompute_False,,cpu,precompute_False,precompute_False,,,precompute_False,4.69063803,0.0469063803,1708474282.1510825,1708474292.0507512,cpu,1.402588952,0.01402588952,1708474292.0508204,1708474294.261528,cpu,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
27,precompute_True,train,,precompute_True,,cpu,precompute_True,precompute_True,,,precompute_True,4.738559477,0.04738559477,1708474259.5568228,1708474269.9066222,cpu,1.436527968,0.01436527968,1708474269.9068716,1708474272.1083844,cpu,0.99,0.3453877639770508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
28,random,train,,random,,cpu,random,random,,,random,4.683985511,0.04683985511,1708474150.980589,1708474160.5209117,cpu,1.414349957,0.01414349957,1708474160.5209775,1708474162.720718,cpu,0.99,0.3453877639770508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
29,ratio,train,,ratio,,cpu,ratio,ratio,,,ratio,5.106749198,0.05106749198,1708474383.2156217,1708474393.4037592,cpu,7.165835628,0.07165835628,1708474393.4040124,1708474401.237368,cpu,0.05,32.81183757781982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
30,seqratio,train,,seqratio,,cpu,seqratio,seqratio,,,seqratio,6.05582836,0.0605582836,1708474599.2912412,1708474611.3378632,cpu,8.523103652,0.08523103652,1708474611.3380682,1708474621.3994637,cpu,0.05,32.81183757781982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
31,sum,train,,sum,,cpu,sum,sum,,,sum,4.721697022,0.04721697022,1708474128.861287,1708474138.5924022,cpu,1.423413782,0.01423413782,1708474138.592466,1708474140.794357,cpu,0.95,1.726938819885254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
32,svc,train,,svc,,cpu,svc,svc,,,svc,4.743860345,0.04743860345,1708474086.1569626,1708474095.815435,cpu,0.900878231,0.00900878231,1708474095.8155084,1708474097.9810617,cpu,0.5,17.26938819885254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
33,symmetric_false,train,deckard.base.experiment.Experiment,symmetric_false,ddos,cpu,symmetric_false,symmetric_false,GzipClassifier,d8228ac3148b4f7546217d5cd3047061,symmetric_false,0.041151242,0.00041151242,1708510796.985372,1708510798.6311991,cpu,1.472513518,0.01472513518,1708510798.6313078,1708510800.8356578,cpu,0.99,0.3453877639770508,ddos/reports/train/symmetric_false/predictions.json,,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,100.0,deckard.base.files.FileConfig,ddos,symmetric_false,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2.0,sklearn,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,100.0,deckard.base.model.ModelInitializer,Gzip,ddos/model/gzip_classifier/None/symmetric_false.npz,1.0,10.0,Random,NCD,gzip_classifier.GzipClassifier,False,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
34,symmetric_true,train,deckard.base.experiment.Experiment,symmetric_true,ddos,cpu,symmetric_true,symmetric_true,GzipClassifier,d61283b718975952ca6d4d8edbe34729,symmetric_true,0.04344757,0.0004344757,1708510775.576742,1708510777.274732,cpu,1.430783068,0.01430783068,1708510777.2748206,1708510779.4776847,cpu,1.0,0.0,ddos/reports/train/symmetric_true/predictions.json,,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,100.0,deckard.base.files.FileConfig,ddos,symmetric_true,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2.0,sklearn,deckard.base.data.Data,raw_data/ddos.csv,Label,0.0,True,True,100.0,100.0,deckard.base.model.ModelInitializer,Gzip,ddos/model/gzip_classifier/None/symmetric_true.npz,1.0,10.0,Random,NCD,gzip_classifier.GzipClassifier,True,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
35,zstd,train,,zstd,,cpu,zstd,zstd,,,zstd,4.666591536,0.04666591536,1708474194.3613167,1708474203.8226652,cpu,1.38322512,0.0138322512,1708474203.8228796,1708474206.0216527,cpu,0.94,2.0723265838623046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1000.0,Random,NCD,,,,,,,,,,nan
