,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,Condensing Method,model.init.distance_matrix,model.init.k,Condensing Ratio,Metric,model.init.modified,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers
9b312552239ba45a243d712faf64baa6,train,deckard.base.experiment.Experiment,9b312552239ba45a243d712faf64baa6,DDoS,cpu,9b312552239ba45a243d712faf64baa6,9b312552239ba45a243d712faf64baa6,k-KNN,9b312552239ba45a243d712faf64baa6,9b312552239ba45a243d712faf64baa6,0.98,0.6907915198468183,cpu,1726375931.1912866,1726374977.2629335,1069.08718691,2.672717967275,cpu,1726374977.2627835,1726374972.27597,5.48753212,0.00548753212,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,9b312552239ba45a243d712faf64baa6,predictions.json,reports/condense/knn/lzma/0.4/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,NearMiss,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.4,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
a2c881158495cebf3f580fb96b83ebd0,train,deckard.base.experiment.Experiment,a2c881158495cebf3f580fb96b83ebd0,DDoS,cpu,a2c881158495cebf3f580fb96b83ebd0,a2c881158495cebf3f580fb96b83ebd0,k-KNN,a2c881158495cebf3f580fb96b83ebd0,a2c881158495cebf3f580fb96b83ebd0,0.975,0.8634893998085229,cpu,1726376913.2049646,1726375956.1471832,1073.30291873,2.683257296825,cpu,1726375956.1469562,1726375951.3380802,5.30382029,0.00530382029,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,a2c881158495cebf3f580fb96b83ebd0,predictions.json,reports/condense/knn/lzma/0.4/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Medoid,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.4,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
c5001c300faa77fa0d5e15ad98e04f1e,train,deckard.base.experiment.Experiment,c5001c300faa77fa0d5e15ad98e04f1e,DDoS,cpu,c5001c300faa77fa0d5e15ad98e04f1e,c5001c300faa77fa0d5e15ad98e04f1e,k-KNN,c5001c300faa77fa0d5e15ad98e04f1e,c5001c300faa77fa0d5e15ad98e04f1e,0.98,0.6907915198468183,cpu,1726374965.3355982,1726374003.135376,1079.26553709,2.698163842725,cpu,1726374003.1352515,1726373997.3203614,6.36664717,0.00636664717,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,c5001c300faa77fa0d5e15ad98e04f1e,predictions.json,reports/condense/knn/lzma/0.4/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,KNN,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.4,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
cb070dbbc4c5be144a80226954b62c37,train,deckard.base.experiment.Experiment,cb070dbbc4c5be144a80226954b62c37,DDoS,cpu,cb070dbbc4c5be144a80226954b62c37,cb070dbbc4c5be144a80226954b62c37,k-KNN,cb070dbbc4c5be144a80226954b62c37,cb070dbbc4c5be144a80226954b62c37,0.9825,0.6044425798659662,cpu,1726376799.716607,1726375956.222753,945.016455,2.3625411375,cpu,1726375956.2226143,1726375951.3923492,5.33689339,0.00533689339,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,cb070dbbc4c5be144a80226954b62c37,predictions.json,reports/condense/knn/lzma/0.4/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Random,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.4,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
f58ec76daa40c2d4622af4b0a7a26cac,train,deckard.base.experiment.Experiment,f58ec76daa40c2d4622af4b0a7a26cac,DDoS,cpu,f58ec76daa40c2d4622af4b0a7a26cac,f58ec76daa40c2d4622af4b0a7a26cac,k-KNN,f58ec76daa40c2d4622af4b0a7a26cac,f58ec76daa40c2d4622af4b0a7a26cac,0.985,0.5180936398851139,cpu,1726377875.642231,1726376925.1659858,1063.42717225,2.658567930625,cpu,1726376925.1658263,1726376920.242854,5.44513197,0.00544513197,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,f58ec76daa40c2d4622af4b0a7a26cac,predictions.json,reports/condense/knn/lzma/0.4/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Random,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.4,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
fe5d726a7502fdc2b4fb9058358e1762,train,deckard.base.experiment.Experiment,fe5d726a7502fdc2b4fb9058358e1762,DDoS,cpu,fe5d726a7502fdc2b4fb9058358e1762,fe5d726a7502fdc2b4fb9058358e1762,k-KNN,fe5d726a7502fdc2b4fb9058358e1762,fe5d726a7502fdc2b4fb9058358e1762,0.98,0.6907915198468183,cpu,1726378888.3734756,1726377926.0815625,1079.13469812,2.6978367453,cpu,1726377926.0814383,1726377921.052731,5.5089297,0.0055089297,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,fe5d726a7502fdc2b4fb9058358e1762,predictions.json,reports/condense/knn/lzma/0.4/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,NearMiss,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.4,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
4cf43a67b9115f87dff2df3734a1d42a,train,deckard.base.experiment.Experiment,4cf43a67b9115f87dff2df3734a1d42a,DDoS,cpu,4cf43a67b9115f87dff2df3734a1d42a,4cf43a67b9115f87dff2df3734a1d42a,k-KNN,4cf43a67b9115f87dff2df3734a1d42a,4cf43a67b9115f87dff2df3734a1d42a,0.98,0.6907915198468184,cpu,1726349316.4658957,1726348135.079342,1322.86288289,3.307157207225,cpu,1726348135.0792098,1726348130.5425465,5.02256227,0.00502256227,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,4cf43a67b9115f87dff2df3734a1d42a,predictions.json,reports/condense/knn/lzma/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,SVC,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.5,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
5ee29137b93b06257e4a9d7c3c7f01f6,train,deckard.base.experiment.Experiment,5ee29137b93b06257e4a9d7c3c7f01f6,DDoS,cpu,5ee29137b93b06257e4a9d7c3c7f01f6,5ee29137b93b06257e4a9d7c3c7f01f6,k-KNN,5ee29137b93b06257e4a9d7c3c7f01f6,5ee29137b93b06257e4a9d7c3c7f01f6,0.9825,0.6044425798659662,cpu,1726346043.1781256,1726344835.682903,1355.93563441,3.389839086025,cpu,1726344835.68279,1726344831.0120597,5.16226349,0.00516226349,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,5ee29137b93b06257e4a9d7c3c7f01f6,predictions.json,reports/condense/knn/lzma/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,NearMiss,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.5,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
7a42e3d0705ee0b50e8c6ceb7d1dc136,train,deckard.base.experiment.Experiment,7a42e3d0705ee0b50e8c6ceb7d1dc136,DDoS,cpu,7a42e3d0705ee0b50e8c6ceb7d1dc136,7a42e3d0705ee0b50e8c6ceb7d1dc136,k-KNN,7a42e3d0705ee0b50e8c6ceb7d1dc136,7a42e3d0705ee0b50e8c6ceb7d1dc136,0.9725,0.9498383397893752,cpu,1726416600.1576843,1726416119.9246426,539.62137357,1.349053433925,cpu,1726416119.924481,1726416113.6207483,6.9036076,0.0069036076,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,7a42e3d0705ee0b50e8c6ceb7d1dc136,predictions.json,reports/condense/knn/lzma/0.2/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,KNN,ddos/models/lzma/symmetry_true/modified_true/1000-400-0.npz,3,0.2,LZMA,Modified,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
145688f8c6e9d205309d75964cf6ab42,train,deckard.base.experiment.Experiment,145688f8c6e9d205309d75964cf6ab42,DDoS,cpu,145688f8c6e9d205309d75964cf6ab42,145688f8c6e9d205309d75964cf6ab42,k-KNN,145688f8c6e9d205309d75964cf6ab42,145688f8c6e9d205309d75964cf6ab42,0.3425,22.709371416249027,cpu,1726354387.4565382,1726354328.379347,60.19496677,0.150487416925,cpu,1726354328.37926,1726354328.2738087,0.10497079,0.00010497079,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,145688f8c6e9d205309d75964cf6ab42,predictions.json,reports/condense/knn/ratio/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,brute,Medoid,ddos/models/ratio/symmetry_true/modified_true/1000-400-0.npz,3,0.5,Ratio,Modified,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN
