,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,train_time,train_time_per_sample,train_start_time,train_end_time,train_device,predict_time,predict_time_per_sample,predict_start_time,predict_end_time,predict_device,accuracy,log_loss,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,Condensing Method,model.init.distance_matrix,model.init.fit_intercept,Condensing Ratio,Metric,model.init.name,model.init.penalty,model.init.solver,Symmetric,model.init.tol,model.init.max_iter,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers
8bad6810a88fcc330cb2a43dcd2120da,train,deckard.base.experiment.Experiment,8bad6810a88fcc330cb2a43dcd2120da,DDoS,cpu,8bad6810a88fcc330cb2a43dcd2120da,8bad6810a88fcc330cb2a43dcd2120da,k-Logistic,8bad6810a88fcc330cb2a43dcd2120da,8bad6810a88fcc330cb2a43dcd2120da,0.51196634,0.00051196634,1724761218.5030618,1724761218.971265,cpu,183.62321388,0.4590580347,1724761218.971351,1724761384.9104772,cpu,0.985,0.5180876429043876,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,8bad6810a88fcc330cb2a43dcd2120da,predictions.json,reports/condense/logistic/gzip/0.9/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,2.200790841296284,,SVC,ddos/models/logistic/gzip/symmetry_true/1000-400-0.npz,True,0.9,GZIP,gzip_classifier.GzipLogisticRegressor,l1,saga,Asymmetric,0.0908571528895908,1000.0,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
8c213c8c20fbfe09071e57f3fc2501a2,train,deckard.base.experiment.Experiment,8c213c8c20fbfe09071e57f3fc2501a2,DDoS,cpu,8c213c8c20fbfe09071e57f3fc2501a2,8c213c8c20fbfe09071e57f3fc2501a2,k-Logistic,8c213c8c20fbfe09071e57f3fc2501a2,8c213c8c20fbfe09071e57f3fc2501a2,0.42812863,0.00042812863,1724761567.1942148,1724761567.5896518,cpu,184.15057067,0.460376426675,1724761567.5897355,1724761734.077364,cpu,0.5,17.26978799617044,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,8c213c8c20fbfe09071e57f3fc2501a2,predictions.json,reports/condense/logistic/gzip/0.9/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,0.0269047710140959,,Random,ddos/models/logistic/gzip/symmetry_true/1000-400-0.npz,True,0.9,GZIP,gzip_classifier.GzipLogisticRegressor,l1,saga,Asymmetric,0.0462965102680131,1000.0,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
8eea002eb742e978850039fdaa7c9bbc,train,deckard.base.experiment.Experiment,8eea002eb742e978850039fdaa7c9bbc,DDoS,cpu,8eea002eb742e978850039fdaa7c9bbc,8eea002eb742e978850039fdaa7c9bbc,k-Logistic,8eea002eb742e978850039fdaa7c9bbc,8eea002eb742e978850039fdaa7c9bbc,0.55425149,0.00055425149,1724760404.9483984,1724760405.4681044,cpu,184.1291858,0.4603229645,1724760405.4681902,1724760571.937534,cpu,0.9925,0.2590468199425575,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,8eea002eb742e978850039fdaa7c9bbc,predictions.json,reports/condense/logistic/gzip/0.9/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,114.13251419661177,balanced,Random,ddos/models/logistic/gzip/symmetry_true/1000-400-0.npz,True,0.9,GZIP,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.03094903909712,1000.0,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
6b0963e8524d84f905f068592ae40374,train,deckard.base.experiment.Experiment,6b0963e8524d84f905f068592ae40374,DDoS,cpu,6b0963e8524d84f905f068592ae40374,6b0963e8524d84f905f068592ae40374,k-Logistic,6b0963e8524d84f905f068592ae40374,6b0963e8524d84f905f068592ae40374,0.93583519,0.00093583519,1724762244.343928,1724762245.2504723,cpu,110.35420631,0.275885515775,1724762245.2505567,1724762346.20591,cpu,0.9925,0.2590468199425575,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,6b0963e8524d84f905f068592ae40374,predictions.json,reports/condense/logistic/gzip/0.9/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,11.016528296119812,balanced,KNN,ddos/models/logistic/gzip/symmetry_true/1000-400-0.npz,True,0.9,GZIP,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0416958822713297,1000.0,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
6ec0923c78c2a8b9bedd6bd38496e062,train,deckard.base.experiment.Experiment,6ec0923c78c2a8b9bedd6bd38496e062,DDoS,cpu,6ec0923c78c2a8b9bedd6bd38496e062,6ec0923c78c2a8b9bedd6bd38496e062,k-Logistic,6ec0923c78c2a8b9bedd6bd38496e062,6ec0923c78c2a8b9bedd6bd38496e062,1.32479296,0.00132479296,1724761218.503126,1724761219.785652,cpu,183.48169032,0.4587042258,1724761219.7857385,1724761385.571778,cpu,1.0,9.992007221626413e-16,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,6ec0923c78c2a8b9bedd6bd38496e062,predictions.json,reports/condense/logistic/gzip/0.9/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,932.8212991274278,balanced,SVC,ddos/models/logistic/gzip/symmetry_true/1000-400-0.npz,True,0.9,GZIP,gzip_classifier.GzipLogisticRegressor,l1,saga,Asymmetric,0.0068531113986308,1000.0,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
746cd09316cf2f8b58fe7284b894c11b,train,deckard.base.experiment.Experiment,746cd09316cf2f8b58fe7284b894c11b,DDoS,cpu,746cd09316cf2f8b58fe7284b894c11b,746cd09316cf2f8b58fe7284b894c11b,k-Logistic,746cd09316cf2f8b58fe7284b894c11b,746cd09316cf2f8b58fe7284b894c11b,0.51575616,0.00051575616,1724760934.8564548,1724760935.3393414,cpu,178.73300511,0.446832512775,1724760935.3394492,1724761097.184951,cpu,0.9875,0.4317446999042619,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,746cd09316cf2f8b58fe7284b894c11b,predictions.json,reports/condense/logistic/gzip/0.9/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,74.76417786045856,,Medoid,ddos/models/logistic/gzip/symmetry_true/1000-400-0.npz,True,0.9,GZIP,gzip_classifier.GzipLogisticRegressor,l1,saga,Asymmetric,0.0866165528544808,1000.0,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
7633c876e8f9fdac687a3c0c74768635,train,deckard.base.experiment.Experiment,7633c876e8f9fdac687a3c0c74768635,DDoS,cpu,7633c876e8f9fdac687a3c0c74768635,7633c876e8f9fdac687a3c0c74768635,k-Logistic,7633c876e8f9fdac687a3c0c74768635,7633c876e8f9fdac687a3c0c74768635,3.03284643,0.00303284643,1724761905.3754628,1724761908.3776028,cpu,171.84173983,0.429604349575,1724761908.3776896,1724762064.1963012,cpu,0.9925,0.2590468199425575,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,7633c876e8f9fdac687a3c0c74768635,predictions.json,reports/condense/logistic/gzip/0.9/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,666.2822606751315,balanced,Hardness,ddos/models/logistic/gzip/symmetry_true/1000-400-0.npz,True,0.9,GZIP,gzip_classifier.GzipLogisticRegressor,l2,saga,Symmetric,0.0326378668691205,1000.0,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
7850dd4836662008bbea756b35933137,train,deckard.base.experiment.Experiment,7850dd4836662008bbea756b35933137,DDoS,cpu,7850dd4836662008bbea756b35933137,7850dd4836662008bbea756b35933137,k-Logistic,7850dd4836662008bbea756b35933137,7850dd4836662008bbea756b35933137,2.42222018,0.00242222018,1724761393.0983157,1724761395.4868858,cpu,185.19671545,0.462991788625,1724761395.486977,1724761562.8518095,cpu,0.52,16.578742604139535,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,7850dd4836662008bbea756b35933137,predictions.json,reports/condense/logistic/gzip/0.9/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,0.0621672928119944,,NearMiss,ddos/models/logistic/gzip/symmetry_true/1000-400-0.npz,True,0.9,GZIP,gzip_classifier.GzipLogisticRegressor,l1,saga,Symmetric,0.0025646561145855,1000.0,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
7b83675bdc79ceea5a909966c0890e1c,train,deckard.base.experiment.Experiment,7b83675bdc79ceea5a909966c0890e1c,DDoS,cpu,7b83675bdc79ceea5a909966c0890e1c,7b83675bdc79ceea5a909966c0890e1c,k-Logistic,7b83675bdc79ceea5a909966c0890e1c,7b83675bdc79ceea5a909966c0890e1c,0.33828498,0.00033828498,1724762069.097643,1724762069.402005,cpu,175.27115983,0.438177899575,1724762069.4020908,1724762228.872992,cpu,0.5,17.26978799617044,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,7b83675bdc79ceea5a909966c0890e1c,predictions.json,reports/condense/logistic/gzip/0.9/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,0.0034802352341666,,Sum,ddos/models/logistic/gzip/symmetry_true/1000-400-0.npz,True,0.9,GZIP,gzip_classifier.GzipLogisticRegressor,l1,saga,Asymmetric,0.0069538407269102,1000.0,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
9126123b050d3f4693afcf33562f8e9b,train,deckard.base.experiment.Experiment,9126123b050d3f4693afcf33562f8e9b,DDoS,cpu,9126123b050d3f4693afcf33562f8e9b,9126123b050d3f4693afcf33562f8e9b,k-Logistic,9126123b050d3f4693afcf33562f8e9b,9126123b050d3f4693afcf33562f8e9b,1.2693172,0.0012693172,1724761218.50316,1724761219.7390404,cpu,183.66877988,0.4591719497,1724761219.7391376,1724761385.6942456,cpu,0.9925,0.2590468199425575,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,400,1000,deckard.base.files.FileConfig,data,0fa1514d5859e7773300543572faa257,.pkl,ddos,9126123b050d3f4693afcf33562f8e9b,predictions.json,reports/condense/logistic/gzip/0.9/symmetry_true/,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,400,1000,Label,152.5055827120747,balanced,SVC,ddos/models/logistic/gzip/symmetry_true/1000-400-0.npz,True,0.9,GZIP,gzip_classifier.GzipLogisticRegressor,l1,saga,Asymmetric,0.0075791681389085,1000.0,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
